soVseVyu soVseV(N15)+yu_#_NOM
soVseVyiMxale soVseV(N15)+yiMxa_#_ABL+le_#_DECL
soVseVyiMxale soVseV(N15)+yiMxa_#_ABL+le_#_RIS
soVseVyalliyA soVseV(N15)+yalli_#_LOC+yA_#_INTR
soVseVyalliyU soVseV(N15)+yalli_#_LOC+yU_#_INCL
soVseVyalliyo soVseV(N15)+yalli_#_LOC+yo_#_DUB
soVseVyalliyo soVseV(N15)+yalli_#_LOC+yo_#_INDF
soVseVyalliyo soVseV(N15)+yalli_#_LOC+yo_#_PRES
soVseVyalliye soVseV(N15)+yalli_#_LOC+ye_#_IMPH
soVseVyalliye soVseV(N15)+yalli_#_LOC+ye_#_DECL
soVseVyalliye soVseV(N15)+yalli_#_LOC+ye_#_RIS
soVseVyaMxirA soVseV(N15)+yaMxiru_#_NOM+rA_ru_INTR
soVseVyaMxirU soVseV(N15)+yaMxiru_#_NOM+rU_ru_INCL
soVseVyaMxiro soVseV(N15)+yaMxiru_#_NOM+ro_ru_DUB
soVseVyaMxiro soVseV(N15)+yaMxiru_#_NOM+ro_ru_INDF
soVseVyaMxiro soVseV(N15)+yaMxiru_#_NOM+ro_ru_PRES
soVseVyaMxire soVseV(N15)+yaMxiru_#_NOM+re_ru_IMPH
soVseVyaMxire soVseV(N15)+yaMxiru_#_NOM+re_ru_DECL
soVseVyaMxire soVseV(N15)+yaMxiru_#_NOM+re_ru_RIS
soVseVyaMxirannA soVseV(N15)+yaMxiru_#_ACC+rannA_ru_INTR
soVseVyaMxirannU soVseV(N15)+yaMxiru_#_ACC+rannU_ru_INCL
soVseVyaMxiranno soVseV(N15)+yaMxiru_#_ACC+ranno_ru_DUB
soVseVyaMxiranno soVseV(N15)+yaMxiru_#_ACC+ranno_ru_INDF
soVseVyaMxiranno soVseV(N15)+yaMxiru_#_ACC+ranno_ru_PRES
soVseVyaMxiranne soVseV(N15)+yaMxiru_#_ACC+ranne_ru_IMPH
soVseVyaMxiranne soVseV(N15)+yaMxiru_#_ACC+ranne_ru_DECL
soVseVyaMxiranne soVseV(N15)+yaMxiru_#_ACC+ranne_ru_RIS
soVseVyaMxiriMxalA soVseV(N15)+yaMxiru_#_INS+riMxalA_ru_INTR
soVseVyaMxiriMxalU soVseV(N15)+yaMxiru_#_INS+riMxalU_ru_INCL
soVseVyaMxiriMxalo soVseV(N15)+yaMxiru_#_INS+riMxalo_ru_DUB
soVseVyaMxiriMxalo soVseV(N15)+yaMxiru_#_INS+riMxalo_ru_INDF
soVseVyaMxiriMxalo soVseV(N15)+yaMxiru_#_INS+riMxalo_ru_PRES
soVseVyaMxiriMxale soVseV(N15)+yaMxiru_#_INS+riMxale_ru_IMPH
soVseVyaMxiriMxale soVseV(N15)+yaMxiru_#_INS+riMxale_ru_DECL
soVseVyaMxiriMxale soVseV(N15)+yaMxiru_#_INS+riMxale_ru_RIS
soVseVyaMxirigA soVseV(N15)+yaMxiru_#_DAT+rigA_ru_INTR
soVseVyaMxirigU soVseV(N15)+yaMxiru_#_DAT+rigU_ru_INCL
soVseVyaMxirigo soVseV(N15)+yaMxiru_#_DAT+rigo_ru_DUB
soVseVyaMxirigo soVseV(N15)+yaMxiru_#_DAT+rigo_ru_INDF
soVseVyaMxirigo soVseV(N15)+yaMxiru_#_DAT+rigo_ru_PRES
soVseVyaMxirige soVseV(N15)+yaMxiru_#_DAT+rige_ru_IMPH
soVseVyaMxirige soVseV(N15)+yaMxiru_#_DAT+rige_ru_DECL
soVseVyaMxirige soVseV(N15)+yaMxiru_#_DAT+rige_ru_RIS
soVseVyaMxiriMxalA soVseV(N15)+yaMxiru_#_ABL+riMxalA_ru_INTR
soVseVyaMxiriMxalU soVseV(N15)+yaMxiru_#_ABL+riMxalU_ru_INCL
soVseVyaMxiriMxalo soVseV(N15)+yaMxiru_#_ABL+riMxalo_ru_DUB
soVseVyaMxiriMxalo soVseV(N15)+yaMxiru_#_ABL+riMxalo_ru_INDF
soVseVyaMxiriMxalo soVseV(N15)+yaMxiru_#_ABL+riMxalo_ru_PRES
soVseVyaMxiriMxale soVseV(N15)+yaMxiru_#_ABL+riMxale_ru_IMPH
soVseVyaMxiriMxale soVseV(N15)+yaMxiru_#_ABL+riMxale_ru_DECL
soVseVyaMxiriMxale soVseV(N15)+yaMxiru_#_ABL+riMxale_ru_RIS
soVseVyaMxirallA soVseV(N15)+yaMxiru_#_LOC+rallA_ru_INTR
soVseVyaMxirallU soVseV(N15)+yaMxiru_#_LOC+rallU_ru_INCL
soVseVyaMxirallo soVseV(N15)+yaMxiru_#_LOC+rallo_ru_DUB
soVseVyaMxirallo soVseV(N15)+yaMxiru_#_LOC+rallo_ru_INDF
soVseVyaMxirallo soVseV(N15)+yaMxiru_#_LOC+rallo_ru_PRES
soVseVyaMxiralle soVseV(N15)+yaMxiru_#_LOC+ralle_ru_IMPH
soVseVyaMxiralle soVseV(N15)+yaMxiru_#_LOC+ralle_ru_DECL
soVseVyaMxiralle soVseV(N15)+yaMxiru_#_LOC+ralle_ru_RIS
soVseVgoskaravA soVseV(N15)+goskara_#_BEN+vA_#_INTR
soVseVgoskaravU soVseV(N15)+goskara_#_BEN+vU_#_INCL
soVseVgoskaravo soVseV(N15)+goskara_#_BEN+vo_#_DUB
soVseVgoskaravo soVseV(N15)+goskara_#_BEN+vo_#_INDF
soVseVgoskaravo soVseV(N15)+goskara_#_BEN+vo_#_PRES
soVseVgoskarave soVseV(N15)+goskara_#_BEN+ve_#_IMPH
soVseVgoskarave soVseV(N15)+goskara_#_BEN+ve_#_DECL
soVseVgoskarave soVseV(N15)+goskara_#_BEN+ve_#_RIS
soVseVgoskaravA soVseV(N15)+goskara_#_PUR+vA_#_INTR
soVseVgoskaravU soVseV(N15)+goskara_#_PUR+vU_#_INCL
soVseVgoskaravo soVseV(N15)+goskara_#_PUR+vo_#_DUB
soVseVgoskaravo soVseV(N15)+goskara_#_PUR+vo_#_INDF
soVseVgoskaravo soVseV(N15)+goskara_#_PUR+vo_#_PRES
soVseVgoskarave soVseV(N15)+goskara_#_PUR+ve_#_IMPH
soVseVgoskarave soVseV(N15)+goskara_#_PUR+ve_#_DECL
soVseVgoskarave soVseV(N15)+goskara_#_PUR+ve_#_RIS
soVseVgAgiyA soVseV(N15)+gAgi_#_BEN+yA_#_INTR
soVseVgAgiyU soVseV(N15)+gAgi_#_BEN+yU_#_INCL
soVseVgAgiyo soVseV(N15)+gAgi_#_BEN+yo_#_DUB
soVseVgAgiyo soVseV(N15)+gAgi_#_BEN+yo_#_INDF
soVseVgAgiyo soVseV(N15)+gAgi_#_BEN+yo_#_PRES
soVseVgAgiye soVseV(N15)+gAgi_#_BEN+ye_#_IMPH
soVseVgAgiye soVseV(N15)+gAgi_#_BEN+ye_#_DECL
soVseVgAgiye soVseV(N15)+gAgi_#_BEN+ye_#_RIS
soVseVgAgiyA soVseV(N15)+gAgi_#_PUR+yA_#_INTR
soVseVgAgiyU soVseV(N15)+gAgi_#_PUR+yU_#_INCL
soVseVgAgiyo soVseV(N15)+gAgi_#_PUR+yo_#_DUB
soVseVgAgiyo soVseV(N15)+gAgi_#_PUR+yo_#_INDF
soVseVgAgiyo soVseV(N15)+gAgi_#_PUR+yo_#_PRES
soVseVgAgiye soVseV(N15)+gAgi_#_PUR+ye_#_IMPH
soVseVgAgiye soVseV(N15)+gAgi_#_PUR+ye_#_DECL
soVseVgAgiye soVseV(N15)+gAgi_#_PUR+ye_#_RIS
soVseVgosugavA soVseV(N15)+gosuga_#_BEN+vA_#_INTR
soVseVgosugavU soVseV(N15)+gosuga_#_BEN+vU_#_INCL
soVseVgosugavo soVseV(N15)+gosuga_#_BEN+vo_#_DUB
soVseVgosugavo soVseV(N15)+gosuga_#_BEN+vo_#_INDF
soVseVgosugavo soVseV(N15)+gosuga_#_BEN+vo_#_PRES
soVseVgosugave soVseV(N15)+gosuga_#_BEN+ve_#_IMPH
soVseVgosugave soVseV(N15)+gosuga_#_BEN+ve_#_DECL
soVseVgosugave soVseV(N15)+gosuga_#_BEN+ve_#_RIS
soVseVgosugavA soVseV(N15)+gosuga_#_PUR+vA_#_INTR
soVseVgosugavU soVseV(N15)+gosuga_#_PUR+vU_#_INCL
soVseVgosugavo soVseV(N15)+gosuga_#_PUR+vo_#_DUB
soVseVgosugavo soVseV(N15)+gosuga_#_PUR+vo_#_INDF
soVseVgosugavo soVseV(N15)+gosuga_#_PUR+vo_#_PRES
soVseVgosugave soVseV(N15)+gosuga_#_PUR+ve_#_IMPH
soVseVgosugave soVseV(N15)+gosuga_#_PUR+ve_#_DECL
soVseVgosugave soVseV(N15)+gosuga_#_PUR+ve_#_RIS
soVseVgiMwalA soVseV(N15)+giMwa_#_COMP+lA_#_INTR
soVseVgiMwalU soVseV(N15)+giMwa_#_COMP+lU_#_INCL
soVseVgiMwalo soVseV(N15)+giMwa_#_COMP+lo_#_DUB
soVseVgiMwalo soVseV(N15)+giMwa_#_COMP+lo_#_INDF
soVseVgiMwalo soVseV(N15)+giMwa_#_COMP+lo_#_PRES
soVseVgiMwale soVseV(N15)+giMwa_#_COMP+le_#_IMPH
soVseVgiMwale soVseV(N15)+giMwa_#_COMP+le_#_DECL
soVseVgiMwale soVseV(N15)+giMwa_#_COMP+le_#_RIS
soVseVyaMweVyA soVseV(N15)+yaMweV_#_SIM+yA_#_INTR
soVseVyaMweVyU soVseV(N15)+yaMweV_#_SIM+yU_#_INCL
soVseVyaMweVyo soVseV(N15)+yaMweV_#_SIM+yo_#_DUB
soVseVyaMweVyo soVseV(N15)+yaMweV_#_SIM+yo_#_INDF
soVseVyaMweVyo soVseV(N15)+yaMweV_#_SIM+yo_#_PRES
soVseVyaMweVye soVseV(N15)+yaMweV_#_SIM+ye_#_IMPH
soVseVyaMweVye soVseV(N15)+yaMweV_#_SIM+ye_#_DECL
soVseVyaMweVye soVseV(N15)+yaMweV_#_SIM+ye_#_RIS
soVseVyoVdaneVyA soVseV(N15)+yoVdaneV_#_SOC+yA_#_INTR
soVseVyoVdaneVyU soVseV(N15)+yoVdaneV_#_SOC+yU_#_INCL
soVseVyoVdaneVyo soVseV(N15)+yoVdaneV_#_SOC+yo_#_DUB
soVseVyoVdaneVyo soVseV(N15)+yoVdaneV_#_SOC+yo_#_INDF
soVseVyoVdaneVyo soVseV(N15)+yoVdaneV_#_SOC+yo_#_PRES
soVseVyoVdaneVye soVseV(N15)+yoVdaneV_#_SOC+ye_#_IMPH
soVseVyoVdaneVye soVseV(N15)+yoVdaneV_#_SOC+ye_#_DECL
soVseVyoVdaneVye soVseV(N15)+yoVdaneV_#_SOC+ye_#_RIS
soVseVyoVMxigeVyA soVseV(N15)+yoVMxigeV_#_SOC+yA_#_INTR
soVseVyoVMxigeVyU soVseV(N15)+yoVMxigeV_#_SOC+yU_#_INCL
soVseVyoVMxigeVyo soVseV(N15)+yoVMxigeV_#_SOC+yo_#_DUB
soVseVyoVMxigeVyo soVseV(N15)+yoVMxigeV_#_SOC+yo_#_INDF
soVseVyoVMxigeVyo soVseV(N15)+yoVMxigeV_#_SOC+yo_#_PRES
soVseVyoVMxigeVye soVseV(N15)+yoVMxigeV_#_SOC+ye_#_IMPH
soVseVyoVMxigeVye soVseV(N15)+yoVMxigeV_#_SOC+ye_#_DECL
soVseVyoVMxigeVye soVseV(N15)+yoVMxigeV_#_SOC+ye_#_RIS
soVseVyaMxirigoskaravA soVseV(N15)+yaMxiru_#_BEN+rigoskaravA_ru_INTR
soVseVyaMxirigoskaravU soVseV(N15)+yaMxiru_#_BEN+rigoskaravU_ru_INCL
soVseVyaMxirigoskaravo soVseV(N15)+yaMxiru_#_BEN+rigoskaravo_ru_DUB
soVseVyaMxirigoskaravo soVseV(N15)+yaMxiru_#_BEN+rigoskaravo_ru_INDF
soVseVyaMxirigoskaravo soVseV(N15)+yaMxiru_#_BEN+rigoskaravo_ru_PRES
soVseVyaMxirigoskarave soVseV(N15)+yaMxiru_#_BEN+rigoskarave_ru_IMPH
soVseVyaMxirigoskarave soVseV(N15)+yaMxiru_#_BEN+rigoskarave_ru_DECL
soVseVyaMxirigoskarave soVseV(N15)+yaMxiru_#_BEN+rigoskarave_ru_RIS
soVseVyaMxirigAgiyA soVseV(N15)+yaMxiru_#_BEN+rigAgiyA_ru_INTR
soVseVyaMxirigAgiyU soVseV(N15)+yaMxiru_#_BEN+rigAgiyU_ru_INCL
soVseVyaMxirigAgiyo soVseV(N15)+yaMxiru_#_BEN+rigAgiyo_ru_DUB
soVseVyaMxirigAgiyo soVseV(N15)+yaMxiru_#_BEN+rigAgiyo_ru_INDF
soVseVyaMxirigAgiyo soVseV(N15)+yaMxiru_#_BEN+rigAgiyo_ru_PRES
soVseVyaMxirigAgiye soVseV(N15)+yaMxiru_#_BEN+rigAgiye_ru_IMPH
soVseVyaMxirigAgiye soVseV(N15)+yaMxiru_#_BEN+rigAgiye_ru_DECL
soVseVyaMxirigAgiye soVseV(N15)+yaMxiru_#_BEN+rigAgiye_ru_RIS
soVseVyaMxirigosugavA soVseV(N15)+yaMxiru_#_BEN+rigosugavA_ru_INTR
soVseVyaMxirigosugavU soVseV(N15)+yaMxiru_#_BEN+rigosugavU_ru_INCL
soVseVyaMxirigosugavo soVseV(N15)+yaMxiru_#_BEN+rigosugavo_ru_DUB
soVseVyaMxirigosugavo soVseV(N15)+yaMxiru_#_BEN+rigosugavo_ru_INDF
soVseVyaMxirigosugavo soVseV(N15)+yaMxiru_#_BEN+rigosugavo_ru_PRES
soVseVyaMxirigosugave soVseV(N15)+yaMxiru_#_BEN+rigosugave_ru_IMPH
soVseVyaMxirigosugave soVseV(N15)+yaMxiru_#_BEN+rigosugave_ru_DECL
soVseVyaMxirigosugave soVseV(N15)+yaMxiru_#_BEN+rigosugave_ru_RIS
soVseVyaMxirigoskaravA soVseV(N15)+yaMxiru_#_PUR+rigoskaravA_ru_INTR
soVseVyaMxirigoskaravU soVseV(N15)+yaMxiru_#_PUR+rigoskaravU_ru_INCL
soVseVyaMxirigoskaravo soVseV(N15)+yaMxiru_#_PUR+rigoskaravo_ru_DUB
soVseVyaMxirigoskaravo soVseV(N15)+yaMxiru_#_PUR+rigoskaravo_ru_INDF
soVseVyaMxirigoskaravo soVseV(N15)+yaMxiru_#_PUR+rigoskaravo_ru_PRES
soVseVyaMxirigoskarave soVseV(N15)+yaMxiru_#_PUR+rigoskarave_ru_IMPH
soVseVyaMxirigoskarave soVseV(N15)+yaMxiru_#_PUR+rigoskarave_ru_DECL
soVseVyaMxirigoskarave soVseV(N15)+yaMxiru_#_PUR+rigoskarave_ru_RIS
soVseVyaMxirigAgiyA soVseV(N15)+yaMxiru_#_PUR+rigAgiyA_ru_INTR
soVseVyaMxirigAgiyU soVseV(N15)+yaMxiru_#_PUR+rigAgiyU_ru_INCL
soVseVyaMxirigAgiyo soVseV(N15)+yaMxiru_#_PUR+rigAgiyo_ru_DUB
soVseVyaMxirigAgiyo soVseV(N15)+yaMxiru_#_PUR+rigAgiyo_ru_INDF
soVseVyaMxirigAgiyo soVseV(N15)+yaMxiru_#_PUR+rigAgiyo_ru_PRES
soVseVyaMxirigAgiye soVseV(N15)+yaMxiru_#_PUR+rigAgiye_ru_IMPH
soVseVyaMxirigAgiye soVseV(N15)+yaMxiru_#_PUR+rigAgiye_ru_DECL
soVseVyaMxirigAgiye soVseV(N15)+yaMxiru_#_PUR+rigAgiye_ru_RIS
soVseVyaMxirigosugavA soVseV(N15)+yaMxiru_#_PUR+rigosugavA_ru_INTR
soVseVyaMxirigosugavU soVseV(N15)+yaMxiru_#_PUR+rigosugavU_ru_INCL
soVseVyaMxirigosugavo soVseV(N15)+yaMxiru_#_PUR+rigosugavo_ru_DUB
soVseVyaMxirigosugavo soVseV(N15)+yaMxiru_#_PUR+rigosugavo_ru_INDF
soVseVyaMxirigosugavo soVseV(N15)+yaMxiru_#_PUR+rigosugavo_ru_PRES
soVseVyaMxirigosugave soVseV(N15)+yaMxiru_#_PUR+rigosugave_ru_IMPH
soVseVyaMxirigosugave soVseV(N15)+yaMxiru_#_PUR+rigosugave_ru_DECL
soVseVyaMxirigosugave soVseV(N15)+yaMxiru_#_PUR+rigosugave_ru_RIS
soVseVyaMxirigiMwalA soVseV(N15)+yaMxiru_#_COMP+rigiMwalA_ru_INTR
soVseVyaMxirigiMwalU soVseV(N15)+yaMxiru_#_COMP+rigiMwalU_ru_INCL
soVseVyaMxirigiMwalo soVseV(N15)+yaMxiru_#_COMP+rigiMwalo_ru_DUB
soVseVyaMxirigiMwalo soVseV(N15)+yaMxiru_#_COMP+rigiMwalo_ru_INDF
soVseVyaMxirigiMwalo soVseV(N15)+yaMxiru_#_COMP+rigiMwalo_ru_PRES
soVseVyaMxirigiMwale soVseV(N15)+yaMxiru_#_COMP+rigiMwale_ru_IMPH
soVseVyaMxirigiMwale soVseV(N15)+yaMxiru_#_COMP+rigiMwale_ru_DECL
soVseVyaMxirigiMwale soVseV(N15)+yaMxiru_#_COMP+rigiMwale_ru_RIS
soVseVyaMxiraMweVyA soVseV(N15)+yaMxiru_#_SIM+raMweVyA_ru_INTR
soVseVyaMxiraMweVyU soVseV(N15)+yaMxiru_#_SIM+raMweVyU_ru_INCL
soVseVyaMxiraMweVyo soVseV(N15)+yaMxiru_#_SIM+raMweVyo_ru_DUB
soVseVyaMxiraMweVyo soVseV(N15)+yaMxiru_#_SIM+raMweVyo_ru_INDF
soVseVyaMxiraMweVyo soVseV(N15)+yaMxiru_#_SIM+raMweVyo_ru_PRES
soVseVyaMxiraMweVye soVseV(N15)+yaMxiru_#_SIM+raMweVye_ru_IMPH
soVseVyaMxiraMweVye soVseV(N15)+yaMxiru_#_SIM+raMweVye_ru_DECL
soVseVyaMxiraMweVye soVseV(N15)+yaMxiru_#_SIM+raMweVye_ru_RIS
soVseVyaMxiroVdaneVyA soVseV(N15)+yaMxiru_#_SOC+roVdaneVyA_ru_INTR
soVseVyaMxiroVdaneVyU soVseV(N15)+yaMxiru_#_SOC+roVdaneVyU_ru_INCL
soVseVyaMxiroVdaneVyo soVseV(N15)+yaMxiru_#_SOC+roVdaneVyo_ru_DUB
soVseVyaMxiroVdaneVyo soVseV(N15)+yaMxiru_#_SOC+roVdaneVyo_ru_INDF
soVseVyaMxiroVdaneVyo soVseV(N15)+yaMxiru_#_SOC+roVdaneVyo_ru_PRES
soVseVyaMxiroVdaneVye soVseV(N15)+yaMxiru_#_SOC+roVdaneVye_ru_IMPH
soVseVyaMxiroVdaneVye soVseV(N15)+yaMxiru_#_SOC+roVdaneVye_ru_DECL
soVseVyaMxiroVdaneVye soVseV(N15)+yaMxiru_#_SOC+roVdaneVye_ru_RIS
soVseVyaMxiroVMxigeVyA soVseV(N15)+yaMxiru_#_SOC+roVMxigeVyA_ru_INTR
soVseVyaMxiroVMxigeVyU soVseV(N15)+yaMxiru_#_SOC+roVMxigeVyU_ru_INCL
soVseVyaMxiroVMxigeVyo soVseV(N15)+yaMxiru_#_SOC+roVMxigeVyo_ru_DUB
soVseVyaMxiroVMxigeVyo soVseV(N15)+yaMxiru_#_SOC+roVMxigeVyo_ru_INDF
soVseVyaMxiroVMxigeVyo soVseV(N15)+yaMxiru_#_SOC+roVMxigeVyo_ru_PRES
soVseVyaMxiroVMxigeVye soVseV(N15)+yaMxiru_#_SOC+roVMxigeVye_ru_IMPH
soVseVyaMxiroVMxigeVye soVseV(N15)+yaMxiru_#_SOC+roVMxigeVye_ru_DECL
soVseVyaMxiroVMxigeVye soVseV(N15)+yaMxiru_#_SOC+roVMxigeVye_ru_RIS



