kaliwanu kali(V6)+wa_#_PAST+anu_a_3SM   
kaliyaliruvavaru kali(V6)+yalu_#_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
kaliyaliruvanu kali(V6)+yalu_#_AUX+liruvanu_lu_3SM
kaliyaliruvalYu kali(V6)+yalu_#_AUX+liruvalYu_lu_3SF
kaliyaliruvaru kali(V6)+yalu_#_AUX+liruvaru_lu_3P
kaliyaliruvaxu kali(V6)+yalu_#_AUX+liruvaxu_lu_3SN
kaliyaliruvavu kali(V6)+yalu_#_AUX+liruvavu_lu_3PN
kaliyaballavanu kali(V6)+ya_#_AVY+ballavanu_#_3SM
kaliyaballavalYu kali(V6)+ya_#_#_AVY+ballavalYu_#_3SF
kaliyaballavaru kali(V6)+ya_#_AVY+ballavaru_#_3P
kaliyaballaxu kali(V6)+ya_#_AVY+ballaxu_#_3SN
kaliyaballavu kali(V6)+ya_#_AVY+ballavu_#_3PN
kaliyuwwixxAneV kali(V6)+yuwwa_#_AUX+wwixxAneV_wwa_3SM
kaliyuwwixxAlYeV kali(V6)+yuwwa_#_AUX+wwixxAlYeV_wwa_3FM
kaliyuwwixxAreV kali(V6)+yuwwa_#_AUX+wwixxAreV_wwa_3FM
kaliyuwwixeV kali(V6)+yuwwa_#_AUX+wwixeV_wwa_3SN
kaliyuwwiveV kali(V6)+yuwwa_#_AUX+wwiveV_wwa_3PN

kaliyalpattanu kali(V6)+yalpadu_#_PAST+pattanu_padu_3SM
kaliyalpattalYu kali(V6)+yalpadu_#_PAST+pattalYu_padu_3SF
kaliyalpattaru kali(V6)+yalpadu_#_PAST+pattaru_padu_3P
kaliyalpattaru kali(V6)+yalpadu_#_PAST+pattaru_padu_3SH
kaliyalpattiwu kali(V6)+yalpadu_#_PAST+pattiwu_padu_3SN
kaliyalpattavu kali(V6)+yalpadu_#_PAST+pattavu_padu_3PN
kaliyalpaduwwaxeV kali(V6)+yalpadu_#_FUT+duwwaxeV_du_3SN
kaliyalpaduwwaveV kali(V6)+yalpadu_#_FUT+duwwaveV_du_3PN
kaliyalpaduvuxu kali(V6)+yalpadu_#_FUT+vuxu_#_3SN
kaliyalpaduvuvu kali(V6)+yalpadu_#_FUT+vuvu_#_3PN
kaliyalpadanu kali(V6)+yalpadu_#_FUTNEG+danu_du_3SM
kaliyalpadalYu kali(V6)+yalpadu_#_FUTNEG+dalYu_du_3SF
kaliyalpadaru kali(V6)+yalpadu_#_FUTNEG+daru_du_3P
kaliyalpadaru kali(V6)+yalpadu_#_FUTNEG+daru_du_3SH
kaliyalpadaxu kali(V6)+yalpadu_#_FUTNEG+daxu_du_3SN
kaliyalpadavu kali(V6)+yalpadu_#_FUTNEG+davu_du_3PN
kaliyalpattAnu kali(V6)+yalpadu_#_FUTDUB+ttAnu_du_3SM
kaliyalpattAlYu kali(V6)+yalpadu_#_FUTDUB+ttAlYu_du_3PF
kaliyalpattAru kali(V6)+yalpadu_#_FUTDUB+ttAru_du_3P
kaliyalpattAru kali(V6)+yalpadu_#_FUTDUB+ttAru_du_3SH
kaliyalpattIwu kali(V6)+yalpadu_#_FUTDUB+ttIwu_du_3SN
kaliyalpattAvu kali(V6)+yalpadu_#_FUTDUB+ttAvu_du_3PN
kaliyalpadabeku kali(V6)+yalpada_#_#_AVY+beku_#_FUTIMP
kaliyalpadabAraxu kali(V6)+yalpada_#_#_AVY+bAraxu_#_NEGIMPR
kaliyalpadakUdaxu kali(V6)+yalpada_#_#_AVY+kUdaxu_#_NEGIMPR
kaliyalpadali kali(V6)+yalpadu_#_FUTOPT+dali_du_3SN
kaliyalpadali kali(V6)+yalpadu_#_FUTOPT+dali_du_3PN
kaliyalpadaballa kali(V6)+yalpada_#_#_AVY+balla_#_FUTCAP
kaliyalpadaballaxu kali(V6)+yalpada_#_#_AVY+ballaxu_#_FUTCAP
kaliyalpadaballavu kali(V6)+yalpada_#_#_AVY+ballavu_#_FUTCAP
kaliyalpadabahuxu kali(V6)+yalpada_#_#_AVY+bahuxu_#_FUTPOTEN_#_3SN
kaliyalpadabahuxu kali(V6)+yalpada_#_#_AVY+bahuxu_#_FUTPOTEN_#_3PN
kaliyalpadabeku kali(V6)+yalpada_#_#_AVY+beku_#_FUTCOMP
kaliyalpadalebeku kali(V6)+yalpada_#_#_AVY+lebeku_#_FUTCOMP
kaliyalpadalAraxu kali(V6)+yalpadu_#_FUTNEG+alAraxu_u_3SN
kaliyalpadalAravu kali(V6)+yalpadu_#_FUTNEG+alAravu_u_3PN
kaliyalpadalAraxa kali(V6)+yalpadu_#_NEG+alAraxa_u_3SN
kaliyalpattarU kali(V6)+yalpadu_#_FUTCOND+ttarU_du_NFV
kaliyalpaduwwa kali(V6)+yalpadu_#_PRESCONT+uwwa_u_NFV
kaliyalpatta kali(V6)+yalpadu_#_RP+tta_du_PAST
kaliyalpadaxeV kali(V6)+yalpadu_#_NEG+axeV_u_NFV	

kaliyalpadaxa kali(V6)+yalpadu_#_NEG+axa_u_NFV
kaliyalpattu kali(V6)+yalpadu_#_PAST+pattu_padu_NFV
kaliyalpaduva kali(V6)+yalpadu_#_FUT+va_#_RP
kaliyalpadalu kali(V6)+yalpadu_#_INFN+alu_u_FUTINCH
kaliyalpadalikkeV kali(V6)+yalpadu_#_INFN+alikkeV_u_FUTINCH
kaliyalpattareV kali(V6)+yalpadu_#_FUTCOND+pattareV_padu_NFV
kaliyalpattalli kali(V6)+yalpadu_#_FUTCOND+pattalli_padu_NFV
kaliyalpaduwwaliruva kali(V6)+yalpadu_#_AUX+uwwaliruva_u_RP
kaliyalpaduwwalixxa kali(V6)+yalpadu_#_AUX+uwwalixxa_u_RP
kaliyalpaduwwirabekAxa kali(V6)+yalpadu_#_AUX+uwwiru_u_AVY+abekAxa_u_3SN
kaliwanA kali(V6)+wanA_#_INTR
kaliwalYA kali(V6)+walYA_#_INTR
kaliwiwA kali(V6)+wiwA_#_INTR
kaliwarA kali(V6)+warA_#_INTR
kaliwavA kali(V6)+wavA_#_INTR
kaliyuwwAnA kali(V6)+yuwwAnA_#_INTR
kaliyuwwAlYA kali(V6)+yuwwAlYA_#_INTR
kaliyuwwaxA kali(V6)+yuwwaxA_#_INTR
kaliyuvanA kali(V6)+yuvanA_#_INTR
kaliyuvalYA kali(V6)+yuvalYA_#_INTR
kaliyuvuxA kali(V6)+yuvuxA_#_INTR
kaliyuvarA kali(V6)+yuvarA_#_INTR
kaliyuvuvA kali(V6)+yuvuvA_#_INTR
kaliyuwwiyA kali(V6)+yuwwiyA_#_INTR
kaliyuwwiriyA kali(V6)+yuwwiriyA_#_INTR
kaliyuwwIrA kali(V6)+yuwwIrA_#_INTR
kaliyuviyA kali(V6)+yuviyA_#_INTR
kaliyuvirA kali(V6)+yuvirA_#_INTR
kaliyuvuxA kali(V6)+yuvuxA_#_INTR
kaliyalArA kali(V6)+yalArA_#_INTR
kaliyalikkA kali(V6)+yalikkA_#_INTR
kaliyokA kali(V6)+yokA_#_INTR
kaliyabekA kali(V6)+yabekA_#_INTR
kaliyakUdaxA kali(V6)+yakUdaxA_#_INTR
kaliyabAraxA kali(V6)+yabAraxA_#_INTR
kaliyanA kali(V6)+yanA_#_INTR
kaliyalYA kali(V6)+yalYA_#_INTR
kaliyaxA kali(V6)+yaxA_#_INTR
kaliyarA kali(V6)+yarA_#_INTR
kaliyavA kali(V6)+yavA_#_INTR
kaliyalareVvA kali(V6)+yalareVvA_#_INTR
kaliyalAreVnA kali(V6)+yalAreVnA_#_INTR
kaliyalArirA kali(V6)+yalArirA_#_INTR
kaliyalAranA kali(V6)+yalAranA_#_INTR


kaliyalAralYA kali(V6)+yalAralYA_#_INTR
kaliyalAraxA kali(V6)+yalAraxA_#_INTR
kaliyalAravA kali(V6)+yalAravA_#_INTR
kaliyalArarA kali(V6)+yalArarA_#_INTR
kaliyaballanA kali(V6)+yaballanA_#_INTR
kaliyaballalYA kali(V6)+yaballalYA_#_INTR
kaliyaballaxA kali(V6)+yaballaxA_#_INTR
kaliyaballarA kali(V6)+yaballarA_#_INTR
kaliyaballavA kali(V6)+yaballavA_#_INTR
kaliyabahuxA kali(V6)+yabahuxA_#_INTR
kaliyalebekA kali(V6)+yalebekA_#_INTR
kaliyalpattiwA kali(V6)+yalpattiwA_#_INTR
kaliyalpattavA kali(V6)+yalpattavA_#_INTR
kaliyalpadyuwwaxA kali(V6)+yalpadyuwwaxA_#_INTR
kaliyalpadyuwwavA kali(V6)+yalpadyuwwavA_#_INTR
kaliyalpaduvuxA kali(V6)+yalpaduvuxA_#_INTR
kaliyalpaduvuvA kali(V6)+yalpaduvuvA_#_INTR
kaliyalpadaxA kali(V6)+yalpadaxA_#_INTR
kaliyalpadavA kali(V6)+yalpadavA_#_INTR
kaliyalpadabekA kali(V6)+yalpadabekA_#_INTR
kaliyalpadabArxA kali(V6)+yalpadabArxA_#_INTR
kaliyalpadakUdaxA kali(V6)+yalpadakUdaxA_#_INTR
kaliyalpadabahuxA kali(V6)+yalpadabahuxA_#_INTR
kaliyalpadalebekA kali(V6)+yalpadalebekA_#_INTR
kaliyalpadayaraxA kali(V6)+yalpadayaraxA_#_INTR
kaliyalpadayaravA kali(V6)+yalpadayaravA_#_INTR

kaliwane kali(V6)+wane_#_INTR
kaliwalYe kali(V6)+walYe_#_INTR
kaliwwiwe kali(V6)+wwiwe_#_INTR
kaliware kali(V6)+ware_#_INTR

kaliwave kali(V6)+wave_#_INTR
kaliyuwwAnye kali(V6)+yuwwAnye_#_INTR
kaliyuwwAlYe kali(V6)+yuwwAlYe_#_INTR
kaliyuwwaxeVye kali(V6)+yuwwaxeVye_#_INTR
kaliyuvane kali(V6)+yuvane_#_INTR
kaliyuvalYe kali(V6)+yuvalYe_#_INTR
kaliyuvuxe kali(V6)+yuvuxe_#_INTR
kaliyuvare kali(V6)+yuvare_#_INTR
kaliyuvuve kali(V6)+yuvuve_#_INTR

kaliyuwwiriye kali(V6)+yuwwiriye_#_INTR
kaliyuwwiye kali(V6)+yuwwiye_#_INTR
kaliyuwwIre kali(V6)+yuwwIre_#_INTR
kaliyuviye kali(V6)+yuviye_#_INTR
kaliyuvire kali(V6)+yuvire_#_INTR
kaliyuvuxe kali(V6)+yuvuxe_#_INTR
kaliyale kali(V6)+yale_#_INTR
kaliyalikke kali(V6)+yalikke_#_INTR
kaliyabeke kali(V6)+yabeke_#_INTR
kaliyakUdaxe kali(V6)+yakUdaxe_#_INTR
kaliyabAraxe kali(V6)+yabAraxe_#_INTR
kaliyane kali(V6)+yane_#_INTR
kaliyalYe kali(V6)+yalYe_#_INTR
kaliyaxe kali(V6)+yaxe_#_INTR
kaliyare kali(V6)+yare_#_INTR
kaliyave kali(V6)+yave_#_INTR

kaliyalArave kali(V6)+yalArave_#_INTR
kaliyalAreVne kali(V6)+yalAreVne_#_INTR
kaliyalAririye kali(V6)+yalAririye_#_INTR
kaliyalAralYe kali(V6)+yalAralYe_#_INTR
kaliyalAraxe kali(V6)+yalAraxe_#_INTR
kaliyalArare kali(V6)+yalArare_#_INTR
kaliyalArave kali(V6)+yalArave_#_INTR
kaliyaballane kali(V6)+yaballane_#_INTR
kaliyaballalYe kali(V6)+yaballalYe_#_INTR
kaliyaballaxe kali(V6)+yaballaxe_#_INTR
kaliyaballare kali(V6)+yaballare_#_INTR
kaliyaballave kali(V6)+yaballave_#_INTR
kaliyabahuxe kali(V6)+yabahuxe_#_INTR
kaliyalebeke kali(V6)+yalebeke_#_INTR
kaliyalpattiwe kali(V6)+yalpattiwe_#_INTR
kaliyalpattave kali(V6)+yalpattave_#_INTR
kaliyalpadkaliwaxye kali(V6)+yalpadkaliwaxye_#_INTR
kaliyalpadkaliwavye kali(V6)+yalpadkaliwavye_#_INTR
kaliyyalpaduvuxe kali(V6)+yyalpaduvuxe_#_INTR
kaliyalpaduvuve kali(V6)+yalpaduvuve_#_INTR
kaliyalpadaxe kali(V6)+yalpadaxe_#_INTR
kaliyalpadave kali(V6)+yalpadave_#_INTR
kaliyalpadabeke kali(V6)+yalpadabeke_#_INTR
kaliyalpadabArxe kali(V6)+yalpadabArxe_#_INTR
kaliyalpadakUdaxe kali(V6)+yalpadakUdaxe_#_INTR

kaliyalpadaballaxe kali(V6)+yalpadaballaxe_#_INTR
kaliyalpadabahuxe kali(V6)+yalpadabahuxe_#_INTR
kaliyalpadalebeke kali(V6)+yalpadalebeke_#_INTR
kaliyalpadayaraxe kali(V6)+yalpadayaraxe_#_INTR
kaliyalpadayarave kali(V6)+yalpadayarave_#_INTR
kaliwano kali(V6)+wano_#_INDF
kaliwalYo kali(V6)+walYo_#_INDF
kaliwiwo kali(V6)+wiwo_#_INDF
kaliwaro kali(V6)+waro_#_INDF
kaliwavo kali(V6)+wavo_#_INDF
kaliwwAno kali(V6)+wwAno_#_INDF
kaliwwAlYo kali(V6)+wwAlYo_#_INDF
kaliyuwwaxeVyo kali(V6)+yuwwaxeVyo_#_INDF
kaliyuvano kali(V6)+yuvano_#_INDF
kaliyuvalYo kali(V6)+yuvalYo_#_INDF
kaliyuvuxo kali(V6)+yuvuxo_#_INDF
kaliyuvaro kali(V6)+yuvaro_#_INDF
kaliyuvuvo kali(V6)+yuvuvo_#_INDF
kaliyuvuxo kali(V6)+yuvuxo_#_INDF
kaliyalo kali(V6)+yalo_#_INDF
kaliyalikko kali(V6)+yalikko_#_INDF
kaliyabeko kali(V6)+yabeko_#_INDF
kaliyakUdaxo kali(V6)+yakUdaxo_#_INDF
kaliyabAraxo kali(V6)+yabAraxo_#_INDF
kaliyano kali(V6)+yano_#_INDF
kaliyalYo kali(V6)+yalYo_#_INDF
kaliyaxo kali(V6)+yaxo_#_INDF
kaliyaro kali(V6)+yaro_#_INDF
kaliyavo kali(V6)+yavo_#_INDF
kaliyalArano kali(V6)+yalArano_#_INDF
kaliyalAralYo kali(V6)+yalAralYo_#_INDF
kaliyalAraxo kali(V6)+yalAraxo_#_INDF
kaliyalAraro kali(V6)+yalAraro_#_INDF
kaliyalAravo kali(V6)+yalAravo_#_INDF
kaliyaballano kali(V6)+yaballano_#_INDF
kaliyaballalYo kali(V6)+yaballalYo_#_INDF
kaliyaballaxo kali(V6)+yaballaxo_#_INDF
kaliyaballaro kali(V6)+yaballaro_#_INDF
kaliyaballavo kali(V6)+yaballavo_#_INDF
kaliyalpattiwo kali(V6)+yalpattiwo_#_INDF
kaliyalpattavo kali(V6)+yalpattavo_#_INDF
kaliyalpaduwwaxo kali(V6)+yalpaduwwaxo_#_INDF
kaliyalpaduwwaveVyo kali(V6)+yalpaduwwaveVyo_#_INDF
kaliyalpaduvuxo kali(V6)+yalpaduvuxo_#_INDF
kaliyalpaduvuvo kali(V6)+yalpaduvuvo_#_INDF
kaliyalpadaxo kali(V6)+yalpadaxo_#_INDF
kaliyalpadavo kali(V6)+yalpadavo_#_INDF
kaliyalpadabeko kali(V6)+yalpadabeko_#_INDF
kaliyalpadabAraxo kali(V6)+yalpadabAraxo_#_INDF
kaliyalpadakUdaxo kali(V6)+yalpadakUdaxo_#_INDF
kaliyalpadalo kali(V6)+yalpadalo_#_INDF
kaliyalpadaballaxo kali(V6)+yalpadaballaxo_#_INDF
kaliyalpadabahuxo kali(V6)+yalpadabahuxo_#_INDF
kaliyalpadalebeko kali(V6)+yalpadalebeko_#_INDF
kaliyalpadayaraxo kali(V6)+yalpadayaraxo_#_INDF
kaliyalpadayaravo kali(V6)+yalpadayaravo_#_INDF
kaliyalpadkaliwaxo kali(V6)+yalpadkaliwaxo_#_INDF
kaliyalpadaxeVyo kali(V6)+yalpadaxeVyo_#_INDF
kaliyalpatto kali(V6)+yalpatto_#_INDF
kaliyalpadalo kali(V6)+yalpadalo_#_INDF
kaliyalpadalikko kali(V6)+yalpadalikko_#_INDF
kaliyalpattaro kali(V6)+yalpattaro_#_INDF
kaliyalpattalliyo kali(V6)+yalpattalliyo_#_INDF
kaliyuvuxe kali(V6)+yuvuxe_#_IMP
kaliyuvuxakkeVye kali(V6)+yuvuxakkeVye_#_IMP
kaliyale kali(V6)+yale_#_IMPH
kaliyalikke kali(V6)+yalikke_#_IMP
kaliyalikkye kali(V6)+yalikkye_#_IMP
kaliyuwwale kali(V6)+yuwwale_#_IMP
kaliyuwwe kali(V6)+yuwwe_#_IMP
kaliyalpaduvuxe kali(V6)+yalpaduvuxe_#_IMP
kaliyalpaduvuxakkeVye kali(V6)+yalpaduvuxakkeVye_#_IMP
kaliyalpatte kali(V6)+yalpatte_#_IMP
kaliyalpadyuwwale kali(V6)+yalpadyuwwale_#_IMP
kaliyuvuxU kali(V6)+yuvuxU_#_INCL
kaliwU kali(V6)+wU_#_INCL
kaliyalU kali(V6)+yalU_#_INCL
kaliyalikkU kali(V6)+yalikkU_#_INCL
kaliyalikkU kali(V6)+yalikkU_#_INCL
kaliyanU kali(V6)+yanU_#_INCL
kaliyalYU kali(V6)+yalYU_#_INCL
kaliyaxU kali(V6)+yaxU_#_INCL
kaliyarU kali(V6)+yarU_#_INCL
kaliyavU kali(V6)+yavU_#_INCL
kaliwarU kali(V6)+warU_#_INCL
kaliyuwwalU kali(V6)+yuwwalU_#_INCL
kaliyuwalliyU kali(V6)+yuwalliyU_#_INCL
kaliyalpadalU kali(V6)+yalpadalU_#_INCL

kaliyalpaduvuxU kali(V6)+yalpaduvuxU_#_INCL
kaliyalpaduvuvU kali(V6)+yalpaduvuvU_#_INCL
kaliyalpattarU kali(V6)+yalpattarU_#_INCL
kaliyalpadyuwwalU kali(V6)+yalpadyuwwalU_#_INCL
kaliyalpadalU kali(V6)+yalpadalU_#_INCL
kaliyalpadalikkeyU kali(V6)+yalpadalikkeyU_#_INCL
kaliyalpattalliyU kali(V6)+yalpattalliyU_#_INCL
kaliyuvuxannu kali(V6)+yuvuxannu_#_ACC
kaliyuvuxariMxa kali(V6)+yuvuxariMxa_#_INS
kaliyuvuxakkeV kali(V6)+yuvuxakkeV_#_DAT
kaliyuvuxariMxa kali(V6)+yuvuxariMxa_#_ABL
kaliyuvuxara kali(V6)+yuvuxara_#_GEN
kaliyuvuxaralli kali(V6)+yuvuxaralli_#_LOC
kaliyuvuxakkoskara kali(V6)+yuvuxu_#_DAT+xakkoskara_xu_BEN
kaliyuvuxakkoskara kali(V6)+yuvuxu_#_DAT+xakkoskara_xu_PUR
kaliyuvuxakkAgi kali(V6)+yuvuxu_#_DAT+xakkAgi_xu_BEN
kaliyuvuxakkAgi kali(V6)+yuvuxu_#_DAT+xakkAgi_xu_PUR
