suttanu sudu(V22)+tta_du_PAST+anu_a_3SM   
sudalpadalebeku sudu(V22)+alpada_u_AVY+lebeku_#_FUTCOMP
sudalpadalAraxu sudu(V22)+alpadu_u_FUTNEG+alAraxu_u_3SN
sudalpadalAravu sudu(V22)+alpadu_u_FUTNEG+alAravu_u_3PN
sudalpadalAraxa sudu(V22)+alpadu_u_NEG+alAraxa_u_3SN
sudalpattarU sudu(V22)+alpadu_u_FUTCOND+ttarU_du_NFV
sudalpaduwwa sudu(V22)+alpadu_u_PRESCONT+uwwa_u_NFV
sudalpatta sudu(V22)+alpadu_u_RP+tta_du_PAST
sudalpadaxeV sudu(V22)+alpadu_u_NEG+axeV_u_NFV	
sudalpadaxa sudu(V22)+alpadu_u_NEG+axa_u_NFV
sudalpattu sudu(V22)+alpadu_u_PAST+pattu_padu_NFV
sudalpaduva sudu(V22)+alpadu_u_FUT+va_#_RP
sudalpadalu sudu(V22)+alpadu_u_INFN+alu_u_FUTINCH
sudalpadalikkeV sudu(V22)+alpadu_u_INFN+alikkeV_u_FUTINCH
sudalpattareV sudu(V22)+alpadu_u_FUTCOND+pattareV_padu_NFV
sudalpattalli sudu(V22)+alpadu_u_FUTCOND+pattalli_padu_NFV
sudalpaduwwiruva sudu(V22)+alpadu_u_AUX+uwwiruva_u_RP
sudalpaduwwixxa sudu(V22)+alpadu_u_AUX+uwwixxa_u_RP
sudalpaduwwaliruva sudu(V22)+alpadu_u_AUX+uwwaliruva_u_RP
sudalpaduwwirabekaxa sudu(V22)+alpadu_u_AUX+uwwiru_u_AVY+abekaxa_u_3SN
suttanA sudu(V22)+ttanA_du_INTR
suttalYA sudu(V22)+ttalYA_du_INTR
suttiwA sudu(V22)+ttiwA_du_INTR
suttarA sudu(V22)+ttarA_du_INTR
suttavA sudu(V22)+ttavA_du_INTR
suduwwAnA sudu(V22)+uwwAnA_u_INTR
suduwwAlYA sudu(V22)+uwwAlYA_u_INTR
suduwwnaxa sudu(V22)+uwwnaxa_u_INTR
suduvanA sudu(V22)+vanA_#_INTR
suduvalYA sudu(V22)+valYA_#_INTR
suduvuxa sudu(V22)+vuxa_#_INTR
suduvarA sudu(V22)+varA_#_INTR
suduvuvA sudu(V22)+vuvA_#_INTR
suduwwiyA sudu(V22)+uwwiyA_u_INTR
suduwwiriyA sudu(V22)+uwwiriyA_u_INTR
suduwwIrA sudu(V22)+uwwIrA_u_INTR
suduviyA sudu(V22)+viyA_#_INTR
suduvirA sudu(V22)+virA_#_INTR
suduvuxa sudu(V22)+vuxa_#_INTR
sudalA sudu(V22)+alA_u_INTR
sudalitta sudu(V22)+alitta_u_INTR
sudokA sudu(V22)+okA_u_INTR
sudabekA sudu(V22)+abekA_u_INTR
sudakUdaxA sudu(V22)+akUdaxA_u_INTR
sudaballaxa sudu(V22)+aballaxa_u_INTR
sudanA sudu(V22)+anA_u_INTR
sudalYA sudu(V22)+alYA_u_INTR
sudaxa sudu(V22)+axa_u_INTR
sudarA sudu(V22)+arA_u_INTR
sudavA sudu(V22)+avA_u_INTR
sudalAreVvA sudu(V22)+alAreVvA_u_INTR
sudalAreVnA sudu(V22)+alAreVnA_u_INTR
sudalAririyA sudu(V22)+alAririyA_u_INTR
sudalAranA sudu(V22)+alAranA_u_INTR
sudalAralYA sudu(V22)+alAralYA_u_INTR
sudalAraxa sudu(V22)+alAraxa_u_INTR
sudalArarA sudu(V22)+alArarA_u_INTR
sudalAravA sudu(V22)+alAravA_u_INTR
sudaballanA sudu(V22)+aballanA_u_INTR
sudaballalYA sudu(V22)+aballalYA_u_INTR
sudaballaxa sudu(V22)+aballaxa_u_INTR
sudaballarA sudu(V22)+aballarA_u_INTR
sudaballavA sudu(V22)+aballavA_u_INTR
sudabahuxa sudu(V22)+abahuxa_u_INTR
sudalebekA sudu(V22)+alebekA_u_INTR
sudalpattiwA sudu(V22)+alpattiwA_u_INTR
sudalpattavA sudu(V22)+alpattavA_u_INTR
sudalpaduwwaxa sudu(V22)+alpaduwwaxa_u_INTR
sudalpaduwwavA sudu(V22)+alpaduwwavA_u_INTR
sudalpaduvuxa sudu(V22)+alpaduvuxa_u_INTR
sudalpaduvuvA sudu(V22)+alpaduvuvA_u_INTR
sudalpadaxa sudu(V22)+alpadaxa_u_INTR
sudalpadavA sudu(V22)+alpadavA_u_INTR
sudalpadabekA sudu(V22)+alpadabekA_u_INTR
sudalpadabarAxA sudu(V22)+alpadabarAxA_u_INTR
sudalpadakUdaxA sudu(V22)+alpadakUdaxA_u_INTR
sudalpadabahuxdA sudu(V22)+alpadabahuxdA_u_INTR
sudalpadalebekA sudu(V22)+alpadalebekA_u_INTR
sudalpadalAraxA sudu(V22)+alpadalAraxA_u_INTR
sudalpadalAravA sudu(V22)+alpadalAravA_u_INTR
suttane sudu(V22)+ttane_du_INTR
suttalYe sudu(V22)+ttalYe_du_INTR
suduwwiwe sudu(V22)+wwiwe_#_INTR
suttare sudu(V22)+ttare_du_INTR
suttave sudu(V22)+ttave_du_INTR
suduwwAnye sudu(V22)+uwwAnye_u_INTR
suduwwAlYe sudu(V22)+uwwAlYe_u_INTR
suduwwaxeVye sudu(V22)+uwwaxeVye_u_INTR
suduvane sudu(V22)+vane_#_INTR
suduvalYe sudu(V22)+valYe_#_INTR
suduvuxe sudu(V22)+vuxe_#_INTR
suduvare sudu(V22)+vare_#_INTR
suduvuve sudu(V22)+vuve_#_INTR
suduwwiriye sudu(V22)+wwiriye_#_INTR
suduwwiye sudu(V22)+uwwiye_u_INTR
suduwwIre sudu(V22)+uwwIre_u_INTR
suduviye sudu(V22)+viye_#_INTR
suduvire sudu(V22)+vire_#_INTR
suduvuxe sudu(V22)+vuxe_#_INTR
sudale sudu(V22)+ale_u_INTR
sudalikke sudu(V22)+alikke_u_INTR
sudabeke sudu(V22)+abeke_u_INTR
sudakUdaxe sudu(V22)+akUdaxe_u_INTR
sudasudaxe sudu(V22)+asudaxe_u_INTR
sudane sudu(V22)+ane_u_INTR
sudalYe sudu(V22)+alYe_u_INTR
sudaxe sudu(V22)+axe_u_INTR
sudare sudu(V22)+are_u_INTR
sudave sudu(V22)+ave_u_INTR
sudalAreVve sudu(V22)+alAreVve_u_INTR
sudalAreVne sudu(V22)+alAreVne_u_INTR
sudalAririye sudu(V22)+alAririye_u_INTR
sudalArane sudu(V22)+alArane_u_INTR
sudalAralYe sudu(V22)+alAralYe_u_INTR
sudalAraxe sudu(V22)+alAraxe_u_INTR
sudalArare sudu(V22)+alArare_u_INTR
sudalArave sudu(V22)+alArave_u_INTR
sudasudane sudu(V22)+asudane_u_INTR
sudasudalYe sudu(V22)+asudalYe_u_INTR
sudasudaxe sudu(V22)+asudaxe_u_INTR
sudasudare sudu(V22)+asudare_u_INTR
sudasudave sudu(V22)+asudave_u_INTR
sudabahuxe sudu(V22)+abahuxe_u_INTR
sudalebeke sudu(V22)+alebeke_u_INTR
sudalpattiwe sudu(V22)+alpattiwe_u_INTR
sudalpattave sudu(V22)+alpattave_u_INTR
sudalpadaxe sudu(V22)+alpadaxe_u_INTR
sudalpadave sudu(V22)+alpadave_u_INTR
sudalpaduvuxe sudu(V22)+alpaduvuxe_u_INTR
sudalpaduvuve sudu(V22)+alpaduvuve_u_INTR
sudalpadaxe sudu(V22)+alpadaxe_u_INTR
sudalpadave sudu(V22)+alpadave_u_INTR
sudalpadabeke sudu(V22)+alpadabeke_u_INTR
sudalpadabAraxe sudu(V22)+alpadabAraxe_u_INTR
sudalpadakUdaxe sudu(V22)+alpadakUdaxe_u_INTR

sudalpadabahuxe sudu(V22)+alpadabahuxe_u_INTR
sudalpadalebeke sudu(V22)+alpadalebeke_u_INTR
sudalpadalAraxe sudu(V22)+alpadalAraxe_u_INTR
sudalpadalArave sudu(V22)+alpadalArave_u_INTR
suttano sudu(V22)+ttano_du_INDF
suttalYo sudu(V22)+ttalYo_du_INDF
suttiwo sudu(V22)+ttiwo_du_INDF
suttaro sudu(V22)+ttaro_du_INDF
suttavo sudu(V22)+ttavo_du_INDF
suduwwAno sudu(V22)+wwAno_#_INDF
suduwwAlYo sudu(V22)+wwAlYo_#_INDF
suduwwaxeVyo sudu(V22)+uwwaxeVyo_u_INDF
suduvano sudu(V22)+vano_#_INDF
suduvalYo sudu(V22)+valYo_#_INDF
suduvuxo sudu(V22)+vuxo_#_INDF
suduvaro sudu(V22)+varo_#_INDF
suduvuvo sudu(V22)+vuvo_#_INDF
suduvuxo sudu(V22)+vuxo_#_INDF
sudalo sudu(V22)+alo_u_INDF
sudalikko sudu(V22)+alikko_u_INDF
sudabeko sudu(V22)+abeko_u_INDF
sudakUdaxo sudu(V22)+akUdaxo_u_INDF
sudaballaxo sudu(V22)+aballaxo_u_INDF
sudano sudu(V22)+ano_u_INDF
sudalYo sudu(V22)+alYo_u_INDF
sudaxo sudu(V22)+axo_u_INDF
sudaro sudu(V22)+aro_u_INDF
sudavo sudu(V22)+avo_u_INDF
sudalArano sudu(V22)+alArano_u_INDF
sudalAralYo sudu(V22)+alAralYo_u_INDF
sudalAraxo sudu(V22)+alAraxo_u_INDF
sudalAraro sudu(V22)+alAraro_u_INDF
sudalAravo sudu(V22)+alAravo_u_INDF
sudaballano sudu(V22)+aballano_u_INDF
sudaballalYo sudu(V22)+aballalYo_u_INDF
sudaballaxo sudu(V22)+aballaxo_u_INDF
sudaballaro sudu(V22)+aballaro_u_INDF
sudaballavo sudu(V22)+aballavo_u_INDF
sudalpattiwo sudu(V22)+alpattiwo_u_INDF
sudalpattavo sudu(V22)+alpattavo_u_INDF
sudalpaduwwaxo sudu(V22)+alpaduwwaxo_u_INDF
sudalpaduwwaveyo sudu(V22)+alpaduwwaveyo_u_INDF
sudalpaduvuxo sudu(V22)+alpaduvuxo_u_INDF
sudalpaduvuvo sudu(V22)+alpaduvuvo_u_INDF
sudalpadaxo sudu(V22)+alpadaxo_u_INDF
sudalpadavo sudu(V22)+alpadavo_u_INDF
sudalpadabeko sudu(V22)+alpadabeko_u_INDF
sudalpadasudaxo sudu(V22)+alpadasudaxo_u_INDF
sudalpadakUdaxo sudu(V22)+alpadakUdaxo_u_INDF
sudalpadalo sudu(V22)+alpadalo_u_INDF
sudalpadasudaxo sudu(V22)+alpadasudaxo_u_INDF
sudalpadabahuxo sudu(V22)+alpadabahuxo_u_INDF
sudalpadalebeko sudu(V22)+alpadalebeko_u_INDF
sudalpadalAraxo sudu(V22)+alpadalAraxo_u_INDF
sudalpadalAravo sudu(V22)+alpadalAravo_u_INDF
sudalpadaxanxo sudu(V22)+alpadaxanxo_u_INDF
sudalpadaxeVyo sudu(V22)+alpadaxeVyo_u_INDF
sudalpatto sudu(V22)+alpatto_u_INDF
sudalpadalo sudu(V22)+alpadalo_u_INDF
sudalpadalikko sudu(V22)+alpadalikko_u_INDF
sudalpattaro sudu(V22)+alpattaro_u_INDF
sudalpattalliyo sudu(V22)+alpattalliyo_u_INDF
suduvuxe sudu(V22)+vuxe_#_IMP
suduvuxakkeVye sudu(V22)+vuxakkeVye_#_IMP
sudale sudu(V22)+ale_u_IMPH
sudalikke sudu(V22)+alikke_u_IMP
sudalikkye sudu(V22)+alikkye_u_IMP
suduwwale sudu(V22)+uwwale_u_IMP
suduwwe sudu(V22)+wwe_#_IMP
sudalpaduvuxe sudu(V22)+alpaduvuxe_u_IMP
sudalpaduvuwwakkeye sudu(V22)+alpaduvuwwakkeye_u_IMP
sudalpatte sudu(V22)+alpatte_u_IMP
sudalpaduwwale sudu(V22)+alpaduwwale_u_IMP
suduvuxU sudu(V22)+vuxU_#_INCL
suttarU sudu(V22)+ttarU_du_INCL
sudalU sudu(V22)+alU_u_INCL
sudalikkyU sudu(V22)+alikkyU_u_INCL
sudalikkU sudu(V22)+alikkU_u_INCL
sudanU sudu(V22)+anU_u_INCL
sudalYU sudu(V22)+alYU_u_INCL
sudaxU sudu(V22)+axU_u_INCL
sudarU sudu(V22)+arU_u_INCL
sudavU sudu(V22)+avU_u_INCL
suttarU sudu(V22)+ttarU_du_INCL
suduwwalU sudu(V22)+uwwalU_u_INCL
suttalliyU sudu(V22)+ttalliyU_du_INCL
sudalpadaxanlU sudu(V22)+alpadaxanlU_u_INCL
sudalpadaxanveVyU sudu(V22)+alpadaxanveVyU_u_INCL
sudalpaduvuxU sudu(V22)+alpaduvuxU_u_INCL
sudalpaduvuvU sudu(V22)+alpaduvuvU_u_INCL
sudalpattarU sudu(V22)+alpattarU_u_INCL
sudalpaduwwalU sudu(V22)+alpaduwwalU_u_INCL
sudalpadalU sudu(V22)+alpadalU_u_INCL
sudalpadalikkeyU sudu(V22)+alpadalikkeyU_u_INCL
sudalpattalliyU sudu(V22)+alpattalliyU_u_INCL
suduvuxannu sudu(V22)+vuxannu_#_ACC
suduvuxariMxa sudu(V22)+vuxariMxa_#_INS
suduvuxakkeV sudu(V22)+vuxakkeV_#_DAT
suduvuxariMxa sudu(V22)+vuxariMxa_#_ABL
suduvuxara sudu(V22)+vuxara_#_GEN
suduvuxaralli sudu(V22)+vuxaralli_#_LOC
suduvuxakkoskara sudu(V22)+vuxu_#_DAT+xakkoskara_xu_BEN
suduvuxakkoskara sudu(V22)+vuxu_#_DAT+xakkoskara_xu_PUR
suduvuxattagi sudu(V22)+vuxu_#_DAT+xattagi_xu_BEN
suduvuxattagi sudu(V22)+vuxu_#_DAT+xattagi_xu_PUR
suduvuxakkosuga sudu(V22)+vuxu_#_DAT+xakkosuga_xu_BEN
suduvuxakkosuga sudu(V22)+vuxu_#_DAT+xakkosuga_xu_PUR
suduvuxakkiMwa sudu(V22)+vuxu_#_DAT+xakkiMwa_xu_COMP
suduvaMweV sudu(V22)+vaMweV_#_SIM
suduvaMwa sudu(V22)+vaMwa_#_SIM
suduvaMwaha sudu(V22)+vaMwaha_#_SIM
suduvuxaroVdaneV sudu(V22)+vuxu_#_GEN+xaroVdaneV_xu_SOC
suduvuxaroVMxigeV sudu(V22)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
suduvavanannu sudu(V22)+va_#_PRP+vavanu_va_ACC+nannu_nu_3SM
suduvavanannA sudu(V22)+va_#_PRP+vavanu_va_ACC+nannA_nu_INTR
suduvavanannU sudu(V22)+va_#_PRP+vavanu_va_ACC+nannU_nu_INCL
suduvavananno sudu(V22)+va_#_PRP+vavanu_va_ACC+nanno_nu_DUB
suduvavananno sudu(V22)+va_#_PRP+vavanu_va_ACC+nanno_nu_INDF
suduvavananno sudu(V22)+va_#_PRP+vavanu_va_ACC+nanno_nu_PRES
suduvavananne sudu(V22)+va_#_PRP+vavanu_va_ACC+nanne_nu_IMPH
suduvavananne sudu(V22)+va_#_PRP+vavanu_va_ACC+nanne_nu_DECL
suduvavananne sudu(V22)+va_#_PRP+vavanu_va_ACC+nanne_nu_RIS
suduvavaniMxa sudu(V22)+va_#_PRP+vavanu_va_INS+niMxa_nu_3SM
suduvavaniMxalA sudu(V22)+va_#_PRP+vavanu_va_INS+niMxalA_nu_INTR
suduvavaniMxalU sudu(V22)+va_#_PRP+vavanu_va_INS+niMxalU_nu_INCL
suduvavaniMxalo sudu(V22)+va_#_PRP+vavanu_va_INS+niMxalo_nu_DUB
