sawwanu sAyu(V2)+awwa_Ayu_PAST+anu_a_3SM   
sAyabeku sAyu(V2)+a_u_AVY+beku_#_FUT_#_IMPR
sAyakUdaxu sAyu(V2)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
sAyabAraxu sAyu(V2)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
sAyanu sAyu(V2)+anu_u_FUTNEG_#_3SM
sAyaAyu sAyu(V2)+aAyu_u_FUTNEG_#_3SF
sAyaxu sAyu(V2)+axu_u_FUTNEG_#_3SN
sAyaru sAyu(V2)+aru_u_FUTNEG_#_3P
sAyaru sAyu(V2)+aru_u_FUTNEG_#_3SH
sAyavu sAyu(V2)+avu_u_FUTNEG_#_3PN
sAyalAreV sAyu(V2)+alu_u_FUTNEG+AreV_u_1S
sAyalAreVvu sAyu(V2)+alu_u_FUTNEG+AreVvu_u_1P
sAyalAreV sAyu(V2)+alu_u_FUTNEG+AreV_u_2S
sAyalAriri sAyu(V2)+alu_u_FUTNEG+Ariri_u_2P
sAyalAriri sAyu(V2)+alu_u_FUTNEG+Ariri_u_2SH
sAyalAranu sAyu(V2)+alu_u_FUTNEG+Aranu_u_3SM
sAyalAraAyu sAyu(V2)+alu_u_FUTNEG+AraAyu_u_3SF
sAyalAraxu sAyu(V2)+alu_u_FUTNEG+Araxu_u_3SN
sAyalAraru sAyu(V2)+alu_u_FUTNEG+Araru_u_3P
sAyalAraru sAyu(V2)+alu_u_FUTNEG+Araru_u_3SH
sAyalAravu sAyu(V2)+alu_u_FUTNEG+Aravu_u_3PN
sAyalAraxa sAyu(V2)+alu_u_NEG+Araxa_u_3
sAyaxa sAyu(V2)+axa_u_NFV_#_NEG
sAyaxeV sAyu(V2)+axeV_u_NFV_#_NEG
sawwarU sAyu(V2)+awwarU_Ayu_NFV_#_CONS
sAyuwwA sAyu(V2)+uwwa_u_NFV+A_a_PRESCONT
sawwu sAyu(V2)+awwu_Ayu_NFV_#_PERF
sAyali sAyu(V2)+ali_u_FUTOPT_#_3SM
sAyali sAyu(V2)+ali_u_FUTOPT_#_3SF
sAyali sAyu(V2)+ali_u_FUTOPT_#_3P
sAyali sAyu(V2)+ali_u_FUTOPT_#_3SH
sAyali sAyu(V2)+ali_u_FUTOPT_#_3SN
sAyali sAyu(V2)+ali_u_FUTOPT_#_3SM
sAyi sAyu(V2)+i_u_FUTPERM_2P
sAyi sAyu(V2)+i_u_FUTPERM_2SH
sAyaballa sAyu(V2)+sAya_sAyu_AVY+balla_#_FUTINF_#_CAP
sAyaballanu sAyu(V2)+sAya_sAyu_AVY+balla_#_FUTCAP+anu_a_3SM
sAyaballaAyu sAyu(V2)+sAya_sAyu_AVY+balla_#_FUTCAP+aAyu_a_3SF
sAyaballaxu sAyu(V2)+sAya_sAyu_AVY+balla_#_FUTCAP+axu_a_3SN
sAyaballaru sAyu(V2)+sAya_sAyu_AVY+balla_#_FUTCAP+aru_a_3P
sAyaballaru sAyu(V2)+sAya_sAyu_AVY+balla_#_FUTCAP+aru_a_3SH
sAyaballavu sAyu(V2)+sAya_sAyu_AVY+balla_#_FUTCAP+avu_a_3PN
sawwAnu sAyu(V2)+awwa_Ayu_FUTDUB+Anu_a_3SM  
sawwAlYu sAyu(V2)+awwa_Ayu_FUTDUB+AlYu_a_3SF
sawwAru sAyu(V2)+awwa_Ayu_FUTDUB+Aru_a_3P
sawwAru sAyu(V2)+awwa_Ayu_FUTDUB+Aru_a_3SH
sawwIwu sAyu(V2)+awwa_Ayu_FUTDUB+Iwu_a_3SN
sawwAvu sAyu(V2)+awwa_Ayu_FUTDUB+Avu_a_3PN
sawwenu sAyu(V2)+awwa_Ayu_FUTDUB+enu_a_1S
sawwevu sAyu(V2)+awwa_Ayu_FUTDUB+evu_a_1P
sawwIyeV sAyu(V2)+awwa_Ayu_FUTDUB+IyeV_a_2S
sawwIri sAyu(V2)+awwa_Ayu_FUTDUB+Iri_a_2P
sawwIri sAyu(V2)+awwa_Ayu_FUTDUB+Iri_a_2SH
sawwareV sAyu(V2)+awwa_Ayu_NFV+areV_a_COND
sawwalli sAyu(V2)+awwa_Ayu_NFV+alli_a_COND

sAyuvuxilla sAyu(V2)+Ayuvuxu_Ayu_AVY+illa_u_NEG
sAyabahuxu sAyu(V2)+Aya_Ayu_AVY+bahuxu_#_FUTPOTEN
sAyalebeku sAyu(V2)+alu_u_COMP+e_u_AVY+beku_#_FUT
sAyuvavanu sAyu(V2)+va_#_PRP+avanu_a_3SM
sAyuvavalYu sAyu(V2)+va_#_PRP+avalYu_a_3FM
sAyuvavaru sAyu(V2)+va_#_PRP+avaru_a_3P
sAyaxavanu sAyu(V2)+axa_u_PRP+avanu_a_3SM
sAyaxavalYu sAyu(V2)+axa_u_PRP+avalYu_a_3FM
sAyaxavaru sAyu(V2)+axa_u_PRP+avaru_a_3P
sawwavanu sAyu(V2)+awwa_Ayu_PRP+avanu_a_3SM 
sawwavalYu sAyu(V2)+awwa_Ayu_PRP+avalYu_a_3FM 
sawwavaru sAyu(V2)+awwa_Ayu_PRP+avaru_a_3P 
sAyalAraxavanu sAyu(V2)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
sAyalAraxavalYu sAyu(V2)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
sAyalAraxavaru sAyu(V2)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
sAyuwwiruvavanu sAyu(V2)+wwa_#_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
sAyuwwiruvavalYu sAyu(V2)+wwa_#_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM
sAyuwwiruvavaru sAyu(V2)+wwa_#_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
sAyuwwiruvuxu sAyu(V2)+wwa_#_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
sAyuwwiruvuvu sAyu(V2)+wwa_#_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
sAyuwwiruva sAyu(V2)+wwa_#_AUX+wwiru_wwa_RP+va_#_FUTPROG
sAyuwwixxavanu sAyu(V2)+wwa_#_AUX+wwiru_wwa_RP+xxa_ru_PRP+avanu_a_3SM 
sAyuwwixxavalYu sAyu(V2)+wwa_#_AUX+wwiru_wwa_RP+xxa_ru_PRP+avalYu_a_3FM 
sAyuwwixxavaru sAyu(V2)+wwa_#_AUX+wwiru_wwa_RP+xxa_ru_PRP+avaru_a_3P 
sAyuwwixxu sAyu(V2)+wwa_#_AUX+wwixxu_wwa_PRESPROG
sAyuwwixxavu sAyu(V2)+wwa_#_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
sAyaliruvavanu sAyu(V2)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
sAyaliruvavalYu sAyu(V2)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
sAyaliruvavaru sAyu(V2)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
sAyaliruvanu sAyu(V2)+alu_u_AUX+liruvanu_lu_3SM
sAyaliruvalYu sAyu(V2)+alu_u_AUX+liruvalYu_lu_3SF
sAyaliruvaru sAyu(V2)+alu_u_AUX+liruvaru_lu_3P
sAyaliruvaxu sAyu(V2)+alu_u_AUX+liruvaxu_lu_3SN
sAyaliruvavu sAyu(V2)+alu_u_AUX+liruvavu_lu_3PN
sAyaballavanu sAyu(V2)+a_u_AVY+ballavanu_#_3SM
sAyaballavalYu sAyu(V2)+ya_yu_#_AVY+ballavalYu_#_3SF
sAyaballavaru sAyu(V2)+ya_yu_AVY+ballavaru_#_3P
sAyaballaxu sAyu(V2)+ya_yu_AVY+ballaxu_#_3SN
sAyaballavu sAyu(V2)+ya_yu_AVY+ballavu_#_3PN
sAyuwwixxAneV sAyu(V2)+wwa_#_AUX+wwixxAneV_wwa_3SM
sAyuwwixxAlYeV sAyu(V2)+wwa_#_AUX+wwixxAlYeV_wwa_3FM
sAyuwwixxAreV sAyu(V2)+wwa_#_AUX+wwixxAreV_wwa_3FM
sAyuwwixeV sAyu(V2)+wwa_#_AUX+wwixeV_wwa_3SN
sAyuwwiveV sAyu(V2)+wwa_#_AUX+wwiveV_wwa_3PN

sAyalpattanu sAyu(V2)+alpadu_u_PAST+pattanu_padu_3SM
sAyalpattalYu sAyu(V2)+alpadu_u_PAST+pattalYu_padu_3SF
sAyalpattaru sAyu(V2)+alpadu_u_PAST+pattaru_padu_3P
sAyalpattaru sAyu(V2)+alpadu_u_PAST+pattaru_padu_3SH
sAyalpattiwu sAyu(V2)+alpadu_u_PAST+pattiwu_padu_3SN
sAyalpattavu sAyu(V2)+alpadu_u_PAST+pattavu_padu_3PN
sAyalpaduwwaxeV sAyu(V2)+alpadu_u_FUT+duwwaxeV_du_3SN
sAyalpaduwwaveV sAyu(V2)+alpadu_u_FUT+duwwaveV_du_3PN
sAyalpaduvuxu sAyu(V2)+alpadu_u_FUT+vuxu_#_3SN
sAyalpaduvuvu sAyu(V2)+alpadu_u_FUT+vuvu_#_3PN
sAyalpadanu sAyu(V2)+alpadu_u_FUTNEG+danu_du_3SM
sAyalpadalYu sAyu(V2)+alpadu_u_FUTNEG+dalYu_du_3SF
sAyalpadaru sAyu(V2)+alpadu_u_FUTNEG+daru_du_3P
sAyalpadaru sAyu(V2)+alpadu_u_FUTNEG+daru_du_3SH
sAyalpadaxu sAyu(V2)+alpadu_u_FUTNEG+daxu_du_3SN
sAyalpadavu sAyu(V2)+alpadu_u_FUTNEG+davu_du_3PN
sAyalpattAnu sAyu(V2)+alpadu_u_FUTDUB+ttAnu_du_3SM
sAyalpattAlYu sAyu(V2)+alpadu_u_FUTDUB+ttAlYu_du_3PF
sAyalpattAru sAyu(V2)+alpadu_u_FUTDUB+ttAru_du_3P
sAyalpattAru sAyu(V2)+alpadu_u_FUTDUB+ttAru_du_3SH
sAyalpattIwu sAyu(V2)+alpadu_u_FUTDUB+ttIwu_du_3SN
sAyalpattAvu sAyu(V2)+alpadu_u_FUTDUB+ttAvu_du_3PN
sAyalpadabeku sAyu(V2)+alpada_u_#_AVY+beku_#_FUTIMP
sAyalpadabAraxu sAyu(V2)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
sAyalpadakUdaxu sAyu(V2)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
sAyalpadali sAyu(V2)+alpadu_u_FUTOPT+dali_du_3SN
sAyalpadali sAyu(V2)+alpadu_u_FUTOPT+dali_du_3PN
sAyalpadaballa sAyu(V2)+alpada_u_#_AVY+balla_#_FUTCAP
sAyalpadaballaxu sAyu(V2)+alpada_u_#_AVY+ballaxu_#_FUTCAP
sAyalpadaballavu sAyu(V2)+alpada_u_#_AVY+ballavu_#_FUTCAP
sAyalpadabahuxu sAyu(V2)+alpada_u_#_AVY+bahuxu_#_FUTPOTEN_#_3SN
sAyalpadabahuxu sAyu(V2)+alpada_u_#_AVY+bahuxu_#_FUTPOTEN_#_3PN
sAyalpadabeku sAyu(V2)+alpada_u_#_AVY+beku_#_FUTCOMP
sAyalpadalebeku sAyu(V2)+alpada_u_#_AVY+lebeku_#_FUTCOMP
sAyalpadalAraxu sAyu(V2)+alpadu_u_FUTNEG+alAraxu_u_3SN
sAyalpadalAravu sAyu(V2)+alpadu_u_FUTNEG+alAravu_u_3PN
sAyalpadalAraxa sAyu(V2)+alpadu_u_NEG+alAraxa_u_3SN
sAyalpattarU sAyu(V2)+alpadu_u_FUTCOND+ttarU_du_NFV
sAyalpaduwwa sAyu(V2)+alpadu_u_PRESCONT+uwwa_u_NFV
sAyalpatta sAyu(V2)+alpadu_u_RP+tta_du_PAST
sAyalpadaxeV sAyu(V2)+alpadu_u_NEG+axeV_u_NFV	

sAyalpadaxa sAyu(V2)+alpadu_u_NEG+axa_u_NFV
sAyalpattu sAyu(V2)+alpadu_u_PAST+pattu_padu_NFV
sAyalpaduva sAyu(V2)+alpadu_u_FUT+va_#_RP
sAyalpadalu sAyu(V2)+alpadu_u_INFN+alu_u_FUTINCH
sAyalpadalikkeV sAyu(V2)+alpadu_u_INFN+alikkeV_u_FUTINCH
sAyalpattareV sAyu(V2)+alpadu_u_FUTCOND+pattareV_padu_NFV
sAyalpattalli sAyu(V2)+alpadu_u_FUTCOND+pattalli_padu_NFV
sAyalpaduwwiruva sAyu(V2)+alpadu_u_AUX+uwwiruva_u_RP
sAyalpaduwwixxa sAyu(V2)+alpadu_u_AUX+uwwixxa_u_RP
sAyalpaduwwaliruva sAyu(V2)+alpadu_u_AUX+uwwaliruva_u_RP
sAyalpaduwwirabekAxa sAyu(V2)+alpadu_u_AUX+uwwiru_u_AVY+abekAxa_u_3SN
sawwanA sAyu(V2)+awwanA_Ayu_INTR
sawwalYA sAyu(V2)+awwalYA_Ayu_INTR
sawwiwA sAyu(V2)+awwiwA_Ayu_INTR
sawwarA sAyu(V2)+awwarA_Ayu_INTR
sawwavA sAyu(V2)+awwavA_Ayu_INTR
sAyuwwAnA sAyu(V2)+uwwAnA_u_INTR
sAyuwwAlYA sAyu(V2)+uwwAlYA_u_INTR
sAyuwwaxA sAyu(V2)+uwwaxA_u_INTR
sAyuvanA sAyu(V2)+vanA_#_INTR
sAyuvalYA sAyu(V2)+valYA_#_INTR
sAyuvuxA sAyu(V2)+vuxA_#_INTR
sAyuvarA sAyu(V2)+varA_#_INTR
sAyuvuvA sAyu(V2)+vuvA_#_INTR
sAyuwwiyA sAyu(V2)+uwwiyA_u_INTR
sAyuwwiriyA sAyu(V2)+uwwiriyA_u_INTR
sAyuwwIrA sAyu(V2)+uwwIrA_u_INTR
sAyuviyA sAyu(V2)+viyA_#_INTR
sAyuvirA sAyu(V2)+virA_#_INTR
sAyuvuxA sAyu(V2)+vuxA_#_INTR
sAyalA sAyu(V2)+alA_u_INTR
sAyalikkA sAyu(V2)+alikkA_u_INTR
sAyokA sAyu(V2)+okA_u_INTR
sAyabekA sAyu(V2)+abekA_u_INTR
sAyakUdaxA sAyu(V2)+akUdaxA_u_INTR
sAyabAraxA sAyu(V2)+abAraxA_u_INTR
sAyanA sAyu(V2)+anA_u_INTR
sAyalYA sAyu(V2)+alYA_u_INTR
sAyaxA sAyu(V2)+axA_u_INTR
sAyarA sAyu(V2)+arA_u_INTR
sAyavA sAyu(V2)+avA_u_INTR
sAyalAreVvA sAyu(V2)+alAreVvA_u_INTR
sAyalAreVnA sAyu(V2)+alAreVnA_u_INTR
sAyalAririyA sAyu(V2)+alAririyA_u_INTR
sAyalAranA sAyu(V2)+alAranA_u_INTR


sAyalAralYA sAyu(V2)+alAralYA_u_INTR
sAyalAraxA sAyu(V2)+alAraxA_u_INTR
sAyalArarA sAyu(V2)+alArarA_u_INTR
sAyalAravA sAyu(V2)+alAravA_u_INTR
sAyaballanA sAyu(V2)+aballanA_u_INTR
sAyaballalYA sAyu(V2)+aballalYA_u_INTR
sAyaballaxA sAyu(V2)+aballaxA_u_INTR
sAyaballarA sAyu(V2)+aballarA_u_INTR
sAyaballavA sAyu(V2)+aballavA_u_INTR
sAyabahuxA sAyu(V2)+abahuxA_u_INTR
sAyalebekA sAyu(V2)+alebekA_u_INTR
sAyalpattiwA sAyu(V2)+alpattiwA_u_INTR
sAyalpattavA sAyu(V2)+alpattavA_u_INTR
sAyalpaduwwaxA sAyu(V2)+alpaduwwaxA_u_INTR
sAyalpaduwwavA sAyu(V2)+alpaduwwavA_u_INTR
sAyalpaduvuxA sAyu(V2)+alpaduvuxA_u_INTR
sAyalpaduvuvA sAyu(V2)+alpaduvuvA_u_INTR
sAyalpadaxA sAyu(V2)+alpadaxA_u_INTR
sAyalpadavA sAyu(V2)+alpadavA_u_INTR
sAyalpadabekA sAyu(V2)+alpadabekA_u_INTR
sAyalpadabArxA sAyu(V2)+alpadabArxA_u_INTR
sAyalpadakUdaxA sAyu(V2)+alpadakUdaxA_u_INTR
sAyalpadabahuxA sAyu(V2)+alpadabahuxA_u_INTR
sAyalpadalebekA sAyu(V2)+alpadalebekA_u_INTR
sAyalpadalAraxA sAyu(V2)+alpadalAraxA_u_INTR
sAyalpadalAravA sAyu(V2)+alpadalAravA_u_INTR
sawwane sAyu(V2)+awwane_Ayu_INTR
sawwalYe sAyu(V2)+awwalYe_Ayu_INTR
sAyuwwiwe sAyu(V2)+wwiwe_#_INTR
sawware sAyu(V2)+awware_Ayu_INTR
sawwave sAyu(V2)+awwave_Ayu_INTR
sAyuwwAnye sAyu(V2)+uwwAnye_u_INTR
sAyuwwAlYe sAyu(V2)+uwwAlYe_u_INTR
sAyuwwaxeVye sAyu(V2)+uwwaxeVye_u_INTR
sAyuvane sAyu(V2)+vane_#_INTR
sAyuvalYe sAyu(V2)+valYe_#_INTR
sAyuvuxe sAyu(V2)+vuxe_#_INTR
sAyuvare sAyu(V2)+vare_#_INTR
sAyuvuve sAyu(V2)+vuve_#_INTR

sAyuwwiriye sAyu(V2)+uwwiriye_u_INTR
sAyuwwiye sAyu(V2)+uwwiye_u_INTR
sAyuwwIre sAyu(V2)+AyuwwIre_Ayu_INTR
sAyuviye sAyu(V2)+Ayuviye_Ayu_INTR
sAyuvire sAyu(V2)+Ayuvire_Ayu_INTR
sAyuvuxe sAyu(V2)+Ayuvuxe_Ayu_INTR
sAyale sAyu(V2)+ale_u_INTR
sAyalikke sAyu(V2)+alikke_u_INTR
sAyabeke sAyu(V2)+abeke_u_INTR
sAyakUdaxe sAyu(V2)+akUdaxe_u_INTR
sAyabAraxe sAyu(V2)+abAraxe_u_INTR
sAyane sAyu(V2)+ane_u_INTR
sAyalYe sAyu(V2)+alYe_u_INTR
sAyaxe sAyu(V2)+axe_u_INTR
sAyare sAyu(V2)+are_u_INTR
sAyave sAyu(V2)+ave_u_INTR
sAyalAreVve sAyu(V2)+alAreVve_u_INTR
sAyalAreVne sAyu(V2)+alAreVne_u_INTR
sAyalAririye sAyu(V2)+alAririye_u_INTR
sAyalArane sAyu(V2)+alArane_u_INTR
sAyalAralYe sAyu(V2)+alAralYe_u_INTR
sAyalAraxe sAyu(V2)+alAraxe_u_INTR
sAyalArare sAyu(V2)+alArare_u_INTR
sAyalArave sAyu(V2)+alArave_u_INTR
sAyaballane sAyu(V2)+aballane_u_INTR
sAyaballalYe sAyu(V2)+aballalYe_u_INTR
sAyaballaxe sAyu(V2)+aballaxe_u_INTR
sAyaballare sAyu(V2)+aballare_u_INTR
sAyaballave sAyu(V2)+aballave_u_INTR
sAyabahuxe sAyu(V2)+abahuxe_u_INTR
sAyalebeke sAyu(V2)+alebeke_u_INTR
sAyalpattiwe sAyu(V2)+alpattiwe_u_INTR
sAyalpattave sAyu(V2)+alpattave_u_INTR
sAyalpadsawwaxye sAyu(V2)+alpadsawwaxye_u_INTR
sAyalpadsawwavye sAyu(V2)+alpadsawwavye_u_INTR
sAyalpaduvuxe sAyu(V2)+alpaduvuxe_u_INTR
sAyalpaduvuve sAyu(V2)+alpaduvuve_u_INTR
sAyalpadaxe sAyu(V2)+alpadaxe_u_INTR
sAyalpadave sAyu(V2)+alpadave_u_INTR
sAyalpadabeke sAyu(V2)+alpadabeke_u_INTR
sAyalpadabArxe sAyu(V2)+alpadabArxe_u_INTR
sAyalpadakUdaxe sAyu(V2)+alpadakUdaxe_u_INTR

sAyalpadaballaxe sAyu(V2)+alpadaballaxe_u_INTR
sAyalpadabahuxe sAyu(V2)+alpadabahuxe_u_INTR
sAyalpadalebeke sAyu(V2)+alpadalebeke_u_INTR
sAyalpadalAraxe sAyu(V2)+alpadalAraxe_u_INTR
sAyalpadalArave sAyu(V2)+alpadalArave_u_INTR
sawwano sAyu(V2)+awwano_Ayu_INDF
sawwalYo sAyu(V2)+awwalYo_Ayu_INDF
sawwiwo sAyu(V2)+awwiwo_Ayu_INDF
sawwaro sAyu(V2)+awwaro_Ayu_INDF
sawwavo sAyu(V2)+awwavo_Ayu_INDF
sAyuwwAno sAyu(V2)+wwAno_#_INDF
sAyuwwAlYo sAyu(V2)+wwAlYo_#_INDF
sAyuwwadeVyo sAyu(V2)+wwadeVyo_#_INDF
sAyuvano sAyu(V2)+Ayuvano_Ayu_INDF
sAyuvalYo sAyu(V2)+AyuvalYo_Ayu_INDF
sAyuvuxo sAyu(V2)+Ayuvuxo_Ayu_INDF
sAyuvaro sAyu(V2)+Ayuvaro_Ayu_INDF
sAyuvuvo sAyu(V2)+Ayuvuvo_Ayu_INDF
sAyuvuxo sAyu(V2)+Ayuvuxo_Ayu_INDF
sAyalo sAyu(V2)+alo_u_INDF
sAyalikko sAyu(V2)+alikko_u_INDF
sAyabeko sAyu(V2)+abeko_u_INDF
sAyakUdaxo sAyu(V2)+akUdaxo_u_INDF
sAyabAraxo sAyu(V2)+abAraxo_u_INDF
sAyano sAyu(V2)+ano_u_INDF
sAyalYo sAyu(V2)+alYo_u_INDF
sAyaxo sAyu(V2)+axo_u_INDF
sAyaro sAyu(V2)+aro_u_INDF
sAyavo sAyu(V2)+avo_u_INDF
sAyalArano sAyu(V2)+alArano_u_INDF
sAyalAralYo sAyu(V2)+alAralYo_u_INDF
sAyalAraxo sAyu(V2)+alAraxo_u_INDF
sAyalAraro sAyu(V2)+alAraro_u_INDF
sAyalAravo sAyu(V2)+alAravo_u_INDF
sAyaballano sAyu(V2)+aballano_u_INDF
sAyaballalYo sAyu(V2)+aballalYo_u_INDF
sAyaballaxo sAyu(V2)+aballaxo_u_INDF
sAyaballaro sAyu(V2)+aballaro_u_INDF
sAyaballavo sAyu(V2)+aballavo_u_INDF
sAyalpattiwo sAyu(V2)+alpattiwo_u_INDF
sAyalpattavo sAyu(V2)+alpattavo_u_INDF
sAyalpaduwwaxo sAyu(V2)+alpaduwwaxo_u_INDF
sAyalpaduwwaveyo sAyu(V2)+alpaduwwaveyo_u_INDF
sAyalpaduvuxo sAyu(V2)+alpaduvuxo_u_INDF
sAyalpaduvuvo sAyu(V2)+alpaduvuvo_u_INDF
sAyalpadaxo sAyu(V2)+alpadaxo_u_INDF
sAyalpadavo sAyu(V2)+alpadavo_u_INDF
sAyalpadabeko sAyu(V2)+alpadabeko_u_INDF
sAyalpadabAraxo sAyu(V2)+alpadabAraxo_u_INDF
sAyalpadakUdaxo sAyu(V2)+alpadakUdaxo_u_INDF
sAyalpadalo sAyu(V2)+alpadalo_u_INDF
sAyalpadaballaxo sAyu(V2)+alpadaballaxo_u_INDF
sAyalpadabahuxo sAyu(V2)+alpadabahuxo_u_INDF
sAyalpadalebeko sAyu(V2)+alpadalebeko_u_INDF
sAyalpadalAraxo sAyu(V2)+alpadalAraxo_u_INDF
sAyalpadalAravo sAyu(V2)+alpadalAravo_u_INDF
sAyalpadsawwaxo sAyu(V2)+alpadsawwaxo_u_INDF
sAyalpadaxeVyo sAyu(V2)+alpadaxeVyo_u_INDF
sAyalpatto sAyu(V2)+alpatto_u_INDF
sAyalpadalo sAyu(V2)+alpadalo_u_INDF
sAyalpadalikko sAyu(V2)+alpadalikko_u_INDF
sAyalpattaro sAyu(V2)+alpattaro_u_INDF
sAyalpattalliyo sAyu(V2)+alpattalliyo_u_INDF
sAyuvuxe sAyu(V2)+Ayuvuxe_Ayu_IMP
sAyuvuxakkeVye sAyu(V2)+AyuvuxakkeVye_Ayu_IMP
sAyale sAyu(V2)+ale_u_IMPH
sAyalikke sAyu(V2)+alikke_u_IMP
sAyalikkye sAyu(V2)+alikkye_u_IMP
sAyuwwale sAyu(V2)+uwwale_u_IMP
sAyuwwe sAyu(V2)+wwe_#_IMP
sAyalpaduvuxe sAyu(V2)+alpaduvuxe_u_IMP
sAyalpaduvuxakkeye sAyu(V2)+alpaduvuxakkeye_u_IMP
sAyalpatte sAyu(V2)+alpatte_u_IMP
sAyalpaduwwale sAyu(V2)+alpaduwwale_u_IMP
sAyuvuxU sAyu(V2)+AyuvuxU_Ayu_INCL
sawwU sAyu(V2)+awwU_Ayu_INCL
sAyalU sAyu(V2)+alU_u_INCL
sAyalikkyU sAyu(V2)+alikkyU_u_INCL
sAyalikkU sAyu(V2)+alikkU_u_INCL
sAyanU sAyu(V2)+anU_u_INCL
sAyalYU sAyu(V2)+alYU_u_INCL
sAyaxU sAyu(V2)+axU_u_INCL
sAyarU sAyu(V2)+arU_u_INCL
sAyavU sAyu(V2)+avU_u_INCL
sawwarU sAyu(V2)+awwarU_Ayu_INCL
sAyuwwalU sAyu(V2)+uwwalU_u_INCL
sawwalliyU sAyu(V2)+awwalliyU_Ayu_INCL
sAyalpadsawwalU sAyu(V2)+alpadsawwalU_u_INCL
sAyalpadsawwaveVyU sAyu(V2)+alpadsawwaveVyU_u_INCL
sAyalpaduvuxU sAyu(V2)+alpaduvuxU_u_INCL
sAyalpaduvuvU sAyu(V2)+alpaduvuvU_u_INCL
sAyalpattarU sAyu(V2)+alpattarU_u_INCL
sAyalpaduwwalU sAyu(V2)+alpaduwwalU_u_INCL
sAyalpadalU sAyu(V2)+alpadalU_u_INCL
sAyalpadalikkeyU sAyu(V2)+alpadalikkeyU_u_INCL
