apaharisixanu apaharisu(V27)+ixa_u_PAST+anu_a_3SM   
apaharisali apaharisu(V27)+ali_u_FUTOPT_#_3SM
apaharisaballa apaharisu(V27)+apaharisa_apaharisu_AVY+balla_#_FUTINF_#_CAP
apaharisaballanu apaharisu(V27)+apaharisa_apaharisu_AVY+balla_#_FUTCAP+anu_a_3SM
apaharisaballalYu apaharisu(V27)+apaharisa_apaharisu_AVY+balla_#_FUTCAP+alYu_a_3SF
apaharisaballaxu apaharisu(V27)+apaharisa_apaharisu_AVY+balla_#_FUTCAP+axu_a_3SN
apaharisaballaru apaharisu(V27)+apaharisa_apaharisu_AVY+balla_#_FUTCAP+aru_a_3P
apaharisaballaru apaharisu(V27)+apaharisa_apaharisu_AVY+balla_#_FUTCAP+aru_a_3SH
apaharisaballavu apaharisu(V27)+apaharisa_apaharisu_AVY+balla_#_FUTCAP+avu_a_3PN
apaharisiyAnu apaharisu(V27)+iya_u_FUTDUB+Anu_a_3SM
apaharisiyAlYu apaharisu(V27)+iya_u_FUTDUB+AlYu_a_3SF
apaharisiyAru apaharisu(V27)+iya_u_FUTDUB+Aru_a_3P
apaharisiyAru apaharisu(V27)+iya_u_FUTDUB+Aru_a_3SH
apaharisIwu apaharisu(V27)+iya_u_FUTDUB+Iwu_iya_3SN
apaharisiyAvu apaharisu(V27)+iya_u_FUTDUB+Avu_a_3PN
apaharisiyenu apaharisu(V27)+iya_u_FUTDUB+enu_a_1S
apaharisiyevu apaharisu(V27)+iya_u_FUTDUB+evu_a_1P
apaharisuvIyeV apaharisu(V27)+iya_#_FUTDUB+vIyeV_iya_2S
apaharisIri apaharisu(V27)+iya_u_FUTDUB+Iri_iya_2P
apaharisIri apaharisu(V27)+iya_u_FUTDUB+Iri_iya_2SH
apaharisixareV apaharisu(V27)+ixa_u_NFV+areV_a_COND
apaharisixalli apaharisu(V27)+ixa_u_NFV+alli_a_COND
apaharisuvuxilla apaharisu(V27)+vuxu_#_AVY+illa_u_NEG
apaharisabahuxu apaharisu(V27)+a_u_AVY+bahuxu_#_FUTPOTEN
apaharisalebeku apaharisu(V27)+alu_u_COMP+e_u_AVY+beku_#_FUT
apaharisuvavanu apaharisu(V27)+va_#_PRP+avanu_a_3SM
apaharisuvavalYu apaharisu(V27)+va_#_PRP+avalYu_a_3FM
apaharisuvavaru apaharisu(V27)+va_#_PRP+avaru_a_3P
apaharisaxavanu apaharisu(V27)+axa_u_PRP+avanu_a_3SM
apaharisaxavalYu apaharisu(V27)+axa_u_PRP+avalYu_a_3FM
apaharisaxavaru apaharisu(V27)+axa_u_PRP+avaru_a_3P
apaharisixavanu apaharisu(V27)+ixa_u_PRP+avanu_a_3SM 
apaharisixavalYu apaharisu(V27)+ixa_u_PRP+avalYu_a_3FM 
apaharisixavaru apaharisu(V27)+ixa_u_PRP+avaru_a_3P 
apaharisalAraxavanu apaharisu(V27)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
apaharisalAraxavalYu apaharisu(V27)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
apaharisalAraxavaru apaharisu(V27)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
apaharisuwwiruvavanu apaharisu(V27)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
apaharisuwwiruvavalYu apaharisu(V27)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3SF
apaharisuwwiruvavaru apaharisu(V27)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
apaharisuwwiruvuxu apaharisu(V27)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
apaharisuwwiruvuvu apaharisu(V27)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
apaharisuwwiruva apaharisu(V27)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
apaharisuwwiruvavanu apaharisu(V27)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
apaharisuwwiruvavalYu apaharisu(V27)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM 
apaharisuwwiruvavaru apaharisu(V27)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P 
apaharisuwwixxu apaharisu(V27)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
apaharisuwwixxavu apaharisu(V27)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
apaharisaliruvavanu apaharisu(V27)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
apaharisaliruvavalYu apaharisu(V27)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
apaharisaliruvavaru apaharisu(V27)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
apaharisaliruvanu apaharisu(V27)+alu_u_AUX+liruvanu_lu_3SM
apaharisaliruvalYu apaharisu(V27)+alu_u_AUX+liruvalYu_lu_3SF
apaharisaliruvaru apaharisu(V27)+alu_u_AUX+liruvaru_lu_3P
apaharisaliruvaxu apaharisu(V27)+alu_u_AUX+liruvaxu_lu_3SN
apaharisaliruvavu apaharisu(V27)+alu_u_AUX+liruvavu_lu_3PN
apaharisaballavanu apaharisu(V27)+a_u_AVY+ballavanu_#_3SM
apaharisaballavalYu apaharisu(V27)+a_u_#_AVY+ballavalYu_#_3SF
apaharisaballavaru apaharisu(V27)+a_u_AVY+ballavaru_#_3P
apaharisaballaxu apaharisu(V27)+a_u_AVY+ballaxu_#_3SN
apaharisaballavu apaharisu(V27)+a_u_AVY+ballavu_#_3PN
apaharisuwwixxAneV apaharisu(V27)+uwwa_u_AUX+wwixxAneV_wwa_3SM
apaharisuwwixxAlYeV apaharisu(V27)+uwwa_u_AUX+wwixxAlYeV_wwa_3FM
apaharisuwwixxAreV apaharisu(V27)+uwwa_u_AUX+wwixxAreV_wwa_3P
apaharisuwwixeV apaharisu(V27)+uwwa_u_AUX+wwixeV_wwa_3SN
apaharisuwwiveV apaharisu(V27)+uwwa_u_AUX+wwiveV_wwa_3PN
apaharisalpattanu apaharisu(V27)+alpadu_u_PAST+pattanu_padu_3SM
apaharisalpattalYu apaharisu(V27)+alpadu_u_PAST+pattalYu_padu_3SF
apaharisalpattiwu apaharisu(V27)+alpadu_u_PAST+pattiwu_padu_3P
apaharisalpattaru apaharisu(V27)+alpadu_u_PAST+pattaru_padu_3SH
apaharisalpattiwu apaharisu(V27)+alpadu_u_PAST+pattiwu_padu_3SN
apaharisalpattavu apaharisu(V27)+alpadu_u_PAST+pattavu_padu_3PN
apaharisalpaduwwaxeV apaharisu(V27)+alpadu_u_FUT+duwwaxeV_du_3SN
apaharisalpaduwwaveV apaharisu(V27)+alpadu_u_FUT+duwwaveV_du_3PN
apaharisalpaduvuxu apaharisu(V27)+alpadu_u_FUT+vuxu_#_3SN
apaharisalpaduvuvu apaharisu(V27)+alpadu_u_FUT+vuvu_#_3PN
apaharisalpadanu apaharisu(V27)+alpadu_u_FUTNEG+danu_du_3SM
apaharisalpadalYu apaharisu(V27)+alpadu_u_FUTNEG+dalYu_du_3SF
apaharisalpadaru apaharisu(V27)+alpadu_u_FUTNEG+daru_du_3P
apaharisalpadaru apaharisu(V27)+alpadu_u_FUTNEG+daru_du_3SH
apaharisalpadaxu apaharisu(V27)+alpadu_u_FUTNEG+daxu_du_3SN
apaharisalpadavu apaharisu(V27)+alpadu_u_FUTNEG+davu_du_3PN

apaharisalpattAnu apaharisu(V27)+alpadu_u_FUTDUB+pattAnu_padu_3SM
apaharisalpattAlYu apaharisu(V27)+alpadu_u_FUTDUB+pattAlYu_padu_3SF
apaharisalpattAru apaharisu(V27)+alpadu_u_FUTDUB+pattAru_padu_3P
apaharisalpattAru apaharisu(V27)+alpadu_u_FUTDUB+pattAru_padu_3SH
apaharisalpattIwu apaharisu(V27)+alpadu_u_FUTDUB+ttIwu_du_3SN
apaharisalpattAvu apaharisu(V27)+alpadu_u_FUTDUB+pattAvu_padu_3PN

apaharisalpadabeku apaharisu(V27)+alpada_u_#_AVY+beku_#_FUTIMP
apaharisalpadabAraxu apaharisu(V27)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
apaharisalpadakUdaxu apaharisu(V27)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
apaharisalpadali apaharisu(V27)+alpadu_u_FUTOPT+dali_du_3SN
apaharisalpadali apaharisu(V27)+alpadu_u_FUTOPT+dali_du_3PN
apaharisalpadaballa apaharisu(V27)+alpada_u_AVY+balla_#_FUTCAP
apaharisalpadaballaxu apaharisu(V27)+alpada_u_AVY+ballaxu_#_FUTCAP
apaharisalpadaballavu apaharisu(V27)+alpada_u_AVY+ballavu_#_FUTCAP
apaharisalpadabahuxu apaharisu(V27)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
apaharisalpadabahuxu apaharisu(V27)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
apaharisalpadabeku apaharisu(V27)+alpada_u_AVY+beku_#_FUTCOMP
apaharisalpadalebeku apaharisu(V27)+alpada_u_AVY+lebeku_#_FUTCOMP
apaharisalpadalAraxu apaharisu(V27)+alpadu_u_FUTNEG+alAraxu_u_3SN
apaharisalpadalAravu apaharisu(V27)+alpadu_u_FUTNEG+alAravu_u_3PN
apaharisalpadalAraxa apaharisu(V27)+alpadu_u_NEG+alAraxa_u_3SN
apaharisalpattarU apaharisu(V27)+alpadu_u_FUTCOND+pattarU_padu_NFV
apaharisalpaduwwa apaharisu(V27)+alpadu_u_PRESCONT+uwwa_u_NFV
apaharisalpatta apaharisu(V27)+alpadu_u_RP+patta_padu_PAST
apaharisalpadaxeV apaharisu(V27)+alpadu_u_NEG+axeV_u_NFV	
apaharisalpadaxa apaharisu(V27)+alpadu_u_NEG+axa_u_NFV
apaharisalpattu apaharisu(V27)+alpadu_u_PAST+pattu_padu_NFV
apaharisalpaduva apaharisu(V27)+alpadu_u_FUT+va_#_RP
apaharisalpadalu apaharisu(V27)+alpadu_u_INFN+alu_u_FUTINCH
apaharisalpadalikkeV apaharisu(V27)+alpadu_u_INFN+alikkeV_u_FUTINCH
apaharisalpattareV apaharisu(V27)+alpadu_u_FUTCOND+pattareV_padu_NFV
apaharisalpattalli apaharisu(V27)+alpadu_u_FUTCOND+pattalli_padu_NFV
apaharisalpaduwwiruva apaharisu(V27)+alpadu_u_AUX+uwwiruva_u_RP
apaharisalpaduwwixxa apaharisu(V27)+alpadu_u_AUX+uwwixxa_u_RP
apaharisalpaduwwaliruva apaharisu(V27)+alpadu_u_AUX+uwwaliruva_u_RP
apaharisalpaduwwirabekaxa apaharisu(V27)+alpadu_u_AUX+uwwiru_u_AVY+abekaxa_u_3SN
apaharisixanA apaharisu(V27)+ixanA_u_INTR
apaharisixalYA apaharisu(V27)+ixalYA_u_INTR
apaharisiwA apaharisu(V27)+iwA_u_INTR
apaharisixarA apaharisu(V27)+ixarA_u_INTR
apaharisixavA apaharisu(V27)+ixavA_u_INTR
apaharisuwwAnA apaharisu(V27)+uwwAnA_u_INTR
apaharisuwwAlYA apaharisu(V27)+uwwAlYA_u_INTR
apaharisuwwaxA apaharisu(V27)+uwwaxA_u_INTR
apaharisuvanA apaharisu(V27)+vanA_#_INTR
apaharisuvalYA apaharisu(V27)+valYA_#_INTR
apaharisuvuxA apaharisu(V27)+vuxA_#_INTR
apaharisuvarA apaharisu(V27)+varA_#_INTR
apaharisuvuvA apaharisu(V27)+vuvA_#_INTR
apaharisuwwiyA apaharisu(V27)+uwwiyA_u_INTR
apaharisuwwiriyA apaharisu(V27)+uwwiriyA_u_INTR
apaharisuwwIrA apaharisu(V27)+uwwIrA_u_INTR
apaharisuviyA apaharisu(V27)+viyA_#_INTR
apaharisuvirA apaharisu(V27)+virA_#_INTR
apaharisuvuxa apaharisu(V27)+vuxa_#_INTR
apaharisalA apaharisu(V27)+alA_u_INTR
apaharisokA apaharisu(V27)+okA_u_INTR
apaharisabekA apaharisu(V27)+abekA_u_INTR
apaharisakUdaxA apaharisu(V27)+akUdaxA_u_INTR
apaharisaballaxa apaharisu(V27)+aballaxa_u_INTR
apaharisanA apaharisu(V27)+anA_u_INTR
apaharisalYA apaharisu(V27)+alYA_u_INTR
apaharisaxa apaharisu(V27)+axa_u_INTR
apaharisarA apaharisu(V27)+arA_u_INTR
apaharisavA apaharisu(V27)+avA_u_INTR
apaharisalAreVvA apaharisu(V27)+alAreVvA_u_INTR
apaharisalAreVnA apaharisu(V27)+alAreVnA_u_INTR
apaharisalAririyA apaharisu(V27)+alAririyA_u_INTR
apaharisalAranA apaharisu(V27)+alAranA_u_INTR
apaharisalAralYA apaharisu(V27)+alAralYA_u_INTR
apaharisalAraxa apaharisu(V27)+alAraxa_u_INTR
apaharisalArarA apaharisu(V27)+alArarA_u_INTR
apaharisalAravA apaharisu(V27)+alAravA_u_INTR
apaharisaballanA apaharisu(V27)+aballanA_u_INTR
apaharisaballalYA apaharisu(V27)+aballalYA_u_INTR
apaharisaballaxa apaharisu(V27)+aballaxa_u_INTR
apaharisaballarA apaharisu(V27)+aballarA_u_INTR
apaharisaballavA apaharisu(V27)+aballavA_u_INTR
apaharisabahuxa apaharisu(V27)+abahuxa_u_INTR
apaharisalebekA apaharisu(V27)+alebekA_u_INTR
apaharisalpattiwA apaharisu(V27)+alpattiwA_u_INTR
apaharisalpattavA apaharisu(V27)+alpattavA_u_INTR
apaharisalpaduwwaxa apaharisu(V27)+alpaduwwaxa_u_INTR
apaharisalpaduwwavA apaharisu(V27)+alpaduwwavA_u_INTR
apaharisalpaduvuxa apaharisu(V27)+alpaduvuxa_u_INTR
apaharisalpaduvuvA apaharisu(V27)+alpaduvuvA_u_INTR
apaharisalpadaxa apaharisu(V27)+alpadaxa_u_INTR
apaharisalpadavA apaharisu(V27)+alpadavA_u_INTR
apaharisalpadabekA apaharisu(V27)+alpadabekA_u_INTR
apaharisalpadabarAxA apaharisu(V27)+alpadabarAxA_u_INTR
apaharisalpadakUdaxA apaharisu(V27)+alpadakUdaxA_u_INTR
apaharisalpadabahuxdA apaharisu(V27)+alpadabahuxdA_u_INTR
apaharisalpadalebekA apaharisu(V27)+alpadalebekA_u_INTR
apaharisalpadalAraxA apaharisu(V27)+alpadalAraxA_u_INTR
apaharisalpadalAravA apaharisu(V27)+alpadalAravA_u_INTR
apaharisixane apaharisu(V27)+ixane_u_INTR
apaharisixalYe apaharisu(V27)+ixalYe_u_INTR
apaharisuwwiwe apaharisu(V27)+wwiwe_#_INTR
apaharisixare apaharisu(V27)+ixare_u_INTR
apaharisixave apaharisu(V27)+ixave_u_INTR
apaharisuwwAnye apaharisu(V27)+uwwAnye_u_INTR
apaharisuwwAlYe apaharisu(V27)+uwwAlYe_u_INTR
apaharisuwwaxeVye apaharisu(V27)+uwwaxeVye_u_INTR
apaharisuvane apaharisu(V27)+vane_#_INTR
apaharisuvalYe apaharisu(V27)+valYe_#_INTR
apaharisuvuxe apaharisu(V27)+vuxe_#_INTR
apaharisuvare apaharisu(V27)+vare_#_INTR
apaharisuvuve apaharisu(V27)+vuve_#_INTR
apaharisuwwiriye apaharisu(V27)+wwiriye_#_INTR
apaharisuwwiye apaharisu(V27)+uwwiye_u_INTR
apaharisuwwIre apaharisu(V27)+uwwIre_u_INTR
apaharisuviye apaharisu(V27)+viye_#_INTR
apaharisuvire apaharisu(V27)+vire_#_INTR
apaharisuvuxe apaharisu(V27)+vuxe_#_INTR
apaharisale apaharisu(V27)+ale_u_INTR
apaharisalikke apaharisu(V27)+alikke_u_INTR
apaharisabeke apaharisu(V27)+abeke_u_INTR
apaharisakUdaxe apaharisu(V27)+akUdaxe_u_INTR
apaharisaapaharisaxe apaharisu(V27)+aapaharisaxe_u_INTR
apaharisane apaharisu(V27)+ane_u_INTR
apaharisalYe apaharisu(V27)+alYe_u_INTR
apaharisaxe apaharisu(V27)+axe_u_INTR
apaharisare apaharisu(V27)+are_u_INTR
apaharisave apaharisu(V27)+ave_u_INTR
apaharisalAreVve apaharisu(V27)+alAreVve_u_INTR
apaharisalAreVne apaharisu(V27)+alAreVne_u_INTR
apaharisalAririye apaharisu(V27)+alAririye_u_INTR
apaharisalArane apaharisu(V27)+alArane_u_INTR
apaharisalAralYe apaharisu(V27)+alAralYe_u_INTR
apaharisalAraxe apaharisu(V27)+alAraxe_u_INTR
apaharisalArare apaharisu(V27)+alArare_u_INTR
apaharisalArave apaharisu(V27)+alArave_u_INTR
apaharisaapaharisane apaharisu(V27)+aapaharisane_u_INTR
apaharisaapaharisalYe apaharisu(V27)+aapaharisalYe_u_INTR
apaharisaapaharisaxe apaharisu(V27)+aapaharisaxe_u_INTR
apaharisaapaharisare apaharisu(V27)+aapaharisare_u_INTR
apaharisaapaharisave apaharisu(V27)+aapaharisave_u_INTR
apaharisabahuxe apaharisu(V27)+abahuxe_u_INTR
apaharisalebeke apaharisu(V27)+alebeke_u_INTR
apaharisalpattiwe apaharisu(V27)+alpattiwe_u_INTR
apaharisalpattave apaharisu(V27)+alpattave_u_INTR
apaharisalpadaxe apaharisu(V27)+alpadaxe_u_INTR
apaharisalpadave apaharisu(V27)+alpadave_u_INTR
apaharisalpaduvuxe apaharisu(V27)+alpaduvuxe_u_INTR
apaharisalpaduvuve apaharisu(V27)+alpaduvuve_u_INTR
apaharisalpadaxe apaharisu(V27)+alpadaxe_u_INTR
apaharisalpadave apaharisu(V27)+alpadave_u_INTR
apaharisalpadabeke apaharisu(V27)+alpadabeke_u_INTR
apaharisalpadabAraxe apaharisu(V27)+alpadabAraxe_u_INTR
apaharisalpadakUdaxe apaharisu(V27)+alpadakUdaxe_u_INTR

apaharisalpadabahuxe apaharisu(V27)+alpadabahuxe_u_INTR
apaharisalpadalebeke apaharisu(V27)+alpadalebeke_u_INTR
apaharisalpadalAraxe apaharisu(V27)+alpadalAraxe_u_INTR
apaharisalpadalArave apaharisu(V27)+alpadalArave_u_INTR
apaharisixano apaharisu(V27)+ixano_u_INDF
apaharisixalYo apaharisu(V27)+ixalYo_u_INDF
apaharisiwo apaharisu(V27)+iwo_u_INDF
apaharisixaro apaharisu(V27)+ixaro_u_INDF
apaharisixavo apaharisu(V27)+ixavo_u_INDF
apaharisuwwAno apaharisu(V27)+wwAno_#_INDF
apaharisuwwAlYo apaharisu(V27)+wwAlYo_#_INDF
apaharisuwwaxeVyo apaharisu(V27)+uwwaxeVyo_u_INDF
apaharisuvano apaharisu(V27)+vano_#_INDF
apaharisuvalYo apaharisu(V27)+valYo_#_INDF
apaharisuvuxo apaharisu(V27)+vuxo_#_INDF
apaharisuvaro apaharisu(V27)+varo_#_INDF
apaharisuvuvo apaharisu(V27)+vuvo_#_INDF
apaharisuvuxo apaharisu(V27)+vuxo_#_INDF
apaharisalo apaharisu(V27)+alo_u_INDF
apaharisalikko apaharisu(V27)+alikko_u_INDF
apaharisabeko apaharisu(V27)+abeko_u_INDF
apaharisakUdaxo apaharisu(V27)+akUdaxo_u_INDF
apaharisaballaxo apaharisu(V27)+aballaxo_u_INDF
apaharisano apaharisu(V27)+ano_u_INDF
apaharisalYo apaharisu(V27)+alYo_u_INDF
apaharisaxo apaharisu(V27)+axo_u_INDF
apaharisaro apaharisu(V27)+aro_u_INDF
apaharisavo apaharisu(V27)+avo_u_INDF
apaharisalArano apaharisu(V27)+alArano_u_INDF
apaharisalAralYo apaharisu(V27)+alAralYo_u_INDF
apaharisalAraxo apaharisu(V27)+alAraxo_u_INDF
apaharisalAraro apaharisu(V27)+alAraro_u_INDF
apaharisalAravo apaharisu(V27)+alAravo_u_INDF
apaharisaballano apaharisu(V27)+aballano_u_INDF
apaharisaballalYo apaharisu(V27)+aballalYo_u_INDF
apaharisaballaxo apaharisu(V27)+aballaxo_u_INDF
apaharisaballaro apaharisu(V27)+aballaro_u_INDF
apaharisaballavo apaharisu(V27)+aballavo_u_INDF
apaharisalpattiwo apaharisu(V27)+alpattiwo_u_INDF
apaharisalpattavo apaharisu(V27)+alpattavo_u_INDF
apaharisalpaduwwaxo apaharisu(V27)+alpaduwwaxo_u_INDF
apaharisalpaduwwaveyo apaharisu(V27)+alpaduwwaveyo_u_INDF
apaharisalpaduvuxo apaharisu(V27)+alpaduvuxo_u_INDF
apaharisalpaduvuvo apaharisu(V27)+alpaduvuvo_u_INDF
apaharisalpadaxo apaharisu(V27)+alpadaxo_u_INDF
apaharisalpadavo apaharisu(V27)+alpadavo_u_INDF
apaharisalpadabeko apaharisu(V27)+alpadabeko_u_INDF

apaharisalpadaballaxo apaharisu(V27)+alpadaballaxo_u_INDF
apaharisalpadakUdaxo apaharisu(V27)+alpadakUdaxo_u_INDF
apaharisalpadalo apaharisu(V27)+alpadalo_u_INDF
apaharisalpadaapaharisaxo apaharisu(V27)+alpadaapaharisaxo_u_INDF
apaharisalpadabahuxo apaharisu(V27)+alpadabahuxo_u_INDF
apaharisalpadalebeko apaharisu(V27)+alpadalebeko_u_INDF
apaharisalpadalAraxo apaharisu(V27)+alpadalAraxo_u_INDF
apaharisalpadalAravo apaharisu(V27)+alpadalAravo_u_INDF
apaharisalpadaxanxo apaharisu(V27)+alpadaxanxo_u_INDF
apaharisalpadaxeVyo apaharisu(V27)+alpadaxeVyo_u_INDF
apaharisalpatto apaharisu(V27)+alpatto_u_INDF
apaharisalpadalo apaharisu(V27)+alpadalo_u_INDF
apaharisalpadalikko apaharisu(V27)+alpadalikko_u_INDF
apaharisalpattaro apaharisu(V27)+alpattaro_u_INDF
apaharisalpattalliyo apaharisu(V27)+alpattalliyo_u_INDF
apaharisuvuxe apaharisu(V27)+vuxe_#_IMP
apaharisuvuxakkeVye apaharisu(V27)+vuxakkeVye_#_IMP
apaharisale apaharisu(V27)+ale_u_IMPH
apaharisalikke apaharisu(V27)+alikke_u_IMP
apaharisalikkye apaharisu(V27)+alikkye_u_IMP
apaharisuwwale apaharisu(V27)+uwwale_u_IMP
apaharisuwwe apaharisu(V27)+wwe_#_IMP
apaharisalpaduvuxe apaharisu(V27)+alpaduvuxe_u_IMP
apaharisalpaduvuwwakkeye apaharisu(V27)+alpaduvuwwakkeye_u_IMP
apaharisalpatte apaharisu(V27)+alpatte_u_IMP
apaharisalpaduwwale apaharisu(V27)+alpaduwwale_u_IMP
apaharisuvuxU apaharisu(V27)+vuxU_#_INCL
apaharisixarU apaharisu(V27)+ixarU_u_INCL
apaharisalU apaharisu(V27)+alU_u_INCL
apaharisalikkyU apaharisu(V27)+alikkyU_u_INCL
apaharisalikkU apaharisu(V27)+alikkU_u_INCL
