sowanu solu(V5)+wa_lu_PAST+anu_a_3SM   
soluvuvA solu(V5)+vuvA_#_INTR
soluwwiyA solu(V5)+uwwiyA_u_INTR
soluwwiriyA solu(V5)+uwwiriyA_u_INTR
soluwwIrA solu(V5)+uwwIrA_u_INTR
soluviyA solu(V5)+viyA_#_INTR
soluvirA solu(V5)+virA_#_INTR
soluvuxA solu(V5)+vuxA_#_INTR
solalA solu(V5)+alA_u_INTR
solalikkA solu(V5)+alikkA_u_INTR
solokA solu(V5)+okA_u_INTR
solabekA solu(V5)+abekA_u_INTR
solakUdaxA solu(V5)+akUdaxA_u_INTR
solabAraxA solu(V5)+abAraxA_u_INTR
solanA solu(V5)+anA_u_INTR
solalYA solu(V5)+alYA_u_INTR
solaxA solu(V5)+axA_u_INTR
solarA solu(V5)+arA_u_INTR
solavA solu(V5)+avA_u_INTR
solalAreVvA solu(V5)+alAreVvA_u_INTR
solalAreVnA solu(V5)+alAreVnA_u_INTR
solalAririyA solu(V5)+alAririyA_u_INTR
solalAranA solu(V5)+alAranA_u_INTR


solalAralYA solu(V5)+alAralYA_u_INTR
solalAraxA solu(V5)+alAraxA_u_INTR
solalArarA solu(V5)+alArarA_u_INTR
solalAravA solu(V5)+alAravA_u_INTR
solaballanA solu(V5)+aballanA_u_INTR
solaballalYA solu(V5)+aballalYA_u_INTR
solaballaxA solu(V5)+aballaxA_u_INTR
solaballarA solu(V5)+aballarA_u_INTR
solaballavA solu(V5)+aballavA_u_INTR
solabahuxA solu(V5)+abahuxA_u_INTR
solalebekA solu(V5)+alebekA_u_INTR
solalpattiwA solu(V5)+alpattiwA_u_INTR
solalpattavA solu(V5)+alpattavA_u_INTR
solalpaduwwaxA solu(V5)+alpaduwwaxA_u_INTR
solalpaduwwavA solu(V5)+alpaduwwavA_u_INTR
solalpaduvuxA solu(V5)+alpaduvuxA_u_INTR
solalpaduvuvA solu(V5)+alpaduvuvA_u_INTR
solalpadaxA solu(V5)+alpadaxA_u_INTR
solalpadavA solu(V5)+alpadavA_u_INTR
solalpadabekA solu(V5)+alpadabekA_u_INTR
solalpadabArxA solu(V5)+alpadabArxA_u_INTR
solalpadakUdaxA solu(V5)+alpadakUdaxA_u_INTR
solalpadabahuxA solu(V5)+alpadabahuxA_u_INTR
solalpadalebekA solu(V5)+alpadalebekA_u_INTR
solalpadalAraxA solu(V5)+alpadalAraxA_u_INTR
solalpadalAravA solu(V5)+alpadalAravA_u_INTR
sowane solu(V5)+wane_lu_INTR
sowalYe solu(V5)+walYe_lu_INTR
soluwwiwe solu(V5)+wwiwe_#_INTR
soware solu(V5)+ware_lu_INTR

sowave solu(V5)+wave_lu_INTR
soluwwAnye solu(V5)+uwwAnye_u_INTR
soluwwAlYe solu(V5)+uwwAlYe_u_INTR
soluwwaxeVye solu(V5)+uwwaxeVye_u_INTR
soluvane solu(V5)+vane_#_INTR
soluvalYe solu(V5)+valYe_#_INTR
soluvuxe solu(V5)+vuxe_#_INTR
soluvare solu(V5)+vare_#_INTR
soluvuve solu(V5)+vuve_#_INTR

soluwwiriye solu(V5)+wwiriye_#_INTR
soluwwiye solu(V5)+uwwiye_u_INTR
soluwwIre solu(V5)+wwIre_#_INTR
soluviye solu(V5)+viye_#_INTR
soluvire solu(V5)+vire_#_INTR
soluvuxe solu(V5)+vuxe_#_INTR
solale solu(V5)+ale_u_INTR
solalikke solu(V5)+alikke_u_INTR
solabeke solu(V5)+abeke_u_INTR
solakUdaxe solu(V5)+akUdaxe_u_INTR
solabAraxe solu(V5)+abAraxe_u_INTR
solane solu(V5)+ane_u_INTR
solalYe solu(V5)+alYe_u_INTR
solaxe solu(V5)+axe_u_INTR
solare solu(V5)+are_u_INTR
solave solu(V5)+ave_u_INTR
solalAreVve solu(V5)+alAreVve_u_INTR
solalAreVne solu(V5)+alAreVne_u_INTR
solalAririye solu(V5)+alAririye_u_INTR
solalArane solu(V5)+alArane_u_INTR
solalAralYe solu(V5)+alAralYe_u_INTR
solalAraxe solu(V5)+alAraxe_u_INTR
solalArare solu(V5)+alArare_u_INTR
solalArave solu(V5)+alArave_u_INTR
solaballane solu(V5)+aballane_u_INTR
solaballalYe solu(V5)+aballalYe_u_INTR
solaballaxe solu(V5)+aballaxe_u_INTR
solaballare solu(V5)+aballare_u_INTR
solaballave solu(V5)+aballave_u_INTR
solabahuxe solu(V5)+abahuxe_u_INTR
solalebeke solu(V5)+alebeke_u_INTR
solalpattiwe solu(V5)+alpattiwe_u_INTR
solalpattave solu(V5)+alpattave_u_INTR
solalpadsowaxye solu(V5)+alpadsowaxye_u_INTR
solalpadsowavye solu(V5)+alpadsowavye_u_INTR
solalpaduvuxe solu(V5)+alpaduvuxe_u_INTR
solalpaduvuve solu(V5)+alpaduvuve_u_INTR
solalpadaxe solu(V5)+alpadaxe_u_INTR
solalpadave solu(V5)+alpadave_u_INTR
solalpadabeke solu(V5)+alpadabeke_u_INTR
solalpadabArxe solu(V5)+alpadabArxe_u_INTR
solalpadakUdaxe solu(V5)+alpadakUdaxe_u_INTR

solalpadaballaxe solu(V5)+alpadaballaxe_u_INTR
solalpadabahuxe solu(V5)+alpadabahuxe_u_INTR
solalpadalebeke solu(V5)+alpadalebeke_u_INTR
solalpadalAraxe solu(V5)+alpadalAraxe_u_INTR
solalpadalArave solu(V5)+alpadalArave_u_INTR
sowano solu(V5)+wano_lu_INDF
sowalYo solu(V5)+walYo_lu_INDF
sowiwo solu(V5)+wiwo_lu_INDF
sowaro solu(V5)+waro_lu_INDF
sowavo solu(V5)+wavo_lu_INDF
soluwwAno solu(V5)+wwAno_#_INDF
soluwwAlYo solu(V5)+wwAlYo_#_INDF
soluwwaxeVyo solu(V5)+wwaxeVyo_#_INDF
soluvano solu(V5)+vano_#_INDF
soluvalYo solu(V5)+valYo_#_INDF
soluvuxo solu(V5)+vuxo_#_INDF
soluvaro solu(V5)+varo_#_INDF
soluvuvo solu(V5)+vuvo_#_INDF
soluvuxo solu(V5)+vuxo_#_INDF
solalo solu(V5)+alo_u_INDF
solalikko solu(V5)+alikko_u_INDF
solabeko solu(V5)+abeko_u_INDF
solakUdaxo solu(V5)+akUdaxo_u_INDF
solabAraxo solu(V5)+abAraxo_u_INDF
solano solu(V5)+ano_u_INDF
solalYo solu(V5)+alYo_u_INDF
solaxo solu(V5)+axo_u_INDF
solaro solu(V5)+aro_u_INDF
solavo solu(V5)+avo_u_INDF
solalArano solu(V5)+alArano_u_INDF
solalAralYo solu(V5)+alAralYo_u_INDF
solalAraxo solu(V5)+alAraxo_u_INDF
solalAraro solu(V5)+alAraro_u_INDF
solalAravo solu(V5)+alAravo_u_INDF
solaballano solu(V5)+aballano_u_INDF
solaballalYo solu(V5)+aballalYo_u_INDF
solaballaxo solu(V5)+aballaxo_u_INDF
solaballaro solu(V5)+aballaro_u_INDF
solaballavo solu(V5)+aballavo_u_INDF
solalpattiwo solu(V5)+alpattiwo_u_INDF
solalpattavo solu(V5)+alpattavo_u_INDF
solalpaduwwaxo solu(V5)+alpaduwwaxo_u_INDF
solalpaduwwaveyo solu(V5)+alpaduwwaveyo_u_INDF
solalpaduvuxo solu(V5)+alpaduvuxo_u_INDF
solalpaduvuvo solu(V5)+alpaduvuvo_u_INDF
solalpadaxo solu(V5)+alpadaxo_u_INDF
solalpadavo solu(V5)+alpadavo_u_INDF
solalpadabeko solu(V5)+alpadabeko_u_INDF
solalpadabAraxo solu(V5)+alpadabAraxo_u_INDF
solalpadakUdaxo solu(V5)+alpadakUdaxo_u_INDF
solalpadalo solu(V5)+alpadalo_u_INDF
solalpadaballaxo solu(V5)+alpadaballaxo_u_INDF
solalpadabahuxo solu(V5)+alpadabahuxo_u_INDF
solalpadalebeko solu(V5)+alpadalebeko_u_INDF
solalpadalAraxo solu(V5)+alpadalAraxo_u_INDF
solalpadalAravo solu(V5)+alpadalAravo_u_INDF
solalpadsowaxo solu(V5)+alpadsowaxo_u_INDF
solalpadaxeVyo solu(V5)+alpadaxeVyo_u_INDF
solalpatto solu(V5)+alpatto_u_INDF
solalpadalo solu(V5)+alpadalo_u_INDF
solalpadalikko solu(V5)+alpadalikko_u_INDF
solalpattaro solu(V5)+alpattaro_u_INDF
solalpattalliyo solu(V5)+alpattalliyo_u_INDF
soluvuxe solu(V5)+vuxe_#_IMP
soluvuxakkeVye solu(V5)+vuxakkeVye_#_IMP
solale solu(V5)+ale_u_IMPH
solalikke solu(V5)+alikke_u_IMP
solalikkye solu(V5)+alikkye_u_IMP
soluwwale solu(V5)+uwwale_u_IMP
soluwwe solu(V5)+wwe_#_IMP
solalpaduvuxe solu(V5)+alpaduvuxe_u_IMP
solalpaduvuxakkeye solu(V5)+alpaduvuxakkeye_u_IMP
solalpatte solu(V5)+alpatte_u_IMP
solalpaduwwale solu(V5)+alpaduwwale_u_IMP
soluvuxU solu(V5)+vuxU_#_INCL
sowU solu(V5)+wU_lu_INCL
solalU solu(V5)+alU_u_INCL
solalikkyU solu(V5)+alikkyU_u_INCL
solalikkU solu(V5)+alikkU_u_INCL
solanU solu(V5)+anU_u_INCL
solalYU solu(V5)+alYU_u_INCL
solaxU solu(V5)+axU_u_INCL
solarU solu(V5)+arU_u_INCL
solavU solu(V5)+avU_u_INCL
sowarU solu(V5)+warU_lu_INCL
soluwwalU solu(V5)+uwwalU_u_INCL
sowalliyU solu(V5)+walliyU_lu_INCL
solalpadsowalU solu(V5)+alpadsowalU_u_INCL
solalpadsowaveVyU solu(V5)+alpadsowaveVyU_u_INCL
solalpaduvuxU solu(V5)+alpaduvuxU_u_INCL
solalpaduvuvU solu(V5)+alpaduvuvU_u_INCL
solalpattarU solu(V5)+alpattarU_u_INCL
solalpaduwwalU solu(V5)+alpaduwwalU_u_INCL
solalpadalU solu(V5)+alpadalU_u_INCL
solalpadalikkeyU solu(V5)+alpadalikkeyU_u_INCL
solalpattalliyU solu(V5)+alpattalliyU_u_INCL
soluvuxannu solu(V5)+vuxannu_#_ACC
soluvuxariMxa solu(V5)+vuxariMxa_#_INS
soluvuxakkeV solu(V5)+vuxakkeV_#_DAT
soluvuxariMxa solu(V5)+vuxariMxa_#_ABL
soluvuxara solu(V5)+vuxara_#_GEN
soluvuxaralli solu(V5)+vuxaralli_#_LOC
soluvuxakkoskara solu(V5)+vuxu_#_DAT+xakkoskara_xu_BEN
soluvuxakkoskara solu(V5)+vuxu_#_DAT+xakkoskara_xu_PUR
soluvuxakkAgi solu(V5)+vuxu_#_DAT+xakkAgi_xu_BEN
soluvuxakkAgi solu(V5)+vuxu_#_DAT+xakkAgi_xu_PUR
soluvuxakkosuga solu(V5)+vuxu_#_DAT+xakkosuga_xu_BEN
soluvuxakkosuga solu(V5)+vuxu_#_DAT+xakkosuga_xu_PUR
soluvuxakkiwa solu(V5)+vuxu_#_DAT+xakkiwa_xu_COMP
soluvaMweV solu(V5)+vaMweV_#_SIM
soluvawa solu(V5)+vawa_#_SIM
soluvawaha solu(V5)+vawaha_#_SIM
soluvuxaroVdaneV solu(V5)+vuxu_#_GEN+xaroVdaneV_xu_SOC
soluvuxaroVMxigeV solu(V5)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
soluvavanannu solu(V5)+va_#_PRP+vavanu_va_ACC+nannu_nu_3SM
soluvavanannA solu(V5)+va_#_PRP+vavanu_va_ACC+nannA_nu_INTR
soluvavanannU solu(V5)+va_#_PRP+vavanu_va_ACC+nannU_nu_INCL
soluvavananno solu(V5)+va_#_PRP+vavanu_va_ACC+nanno_nu_DUB
soluvavananno solu(V5)+va_#_PRP+vavanu_va_ACC+nanno_nu_INDF
soluvavananno solu(V5)+va_#_PRP+vavanu_va_ACC+nanno_nu_PRES
soluvavananne solu(V5)+va_#_PRP+vavanu_va_ACC+nanne_nu_IMPH
soluvavananne solu(V5)+va_#_PRP+vavanu_va_ACC+nanne_nu_DECL
soluvavananne solu(V5)+va_#_PRP+vavanu_va_ACC+nanne_nu_RIS
soluvavasoxa solu(V5)+va_#_PRP+vavanu_va_INS+soxa_nu_3SM
soluvavasoxalA solu(V5)+va_#_PRP+vavanu_va_INS+soxalA_nu_INTR
soluvavasoxalU solu(V5)+va_#_PRP+vavanu_va_INS+soxalU_nu_INCL
soluvavasoxalo solu(V5)+va_#_PRP+vavanu_va_INS+soxalo_nu_DUB
soluvavasoxalo solu(V5)+va_#_PRP+vavanu_va_INS+soxalo_nu_INDF
soluvavasoxalo solu(V5)+va_#_PRP+vavanu_va_INS+soxalo_nu_PRES
soluvavasoxale solu(V5)+va_#_PRP+vavanu_va_INS+soxale_nu_IMPH
soluvavasoxale solu(V5)+va_#_PRP+vavanu_va_INS+soxale_nu_DECL
soluvavasoxale solu(V5)+va_#_PRP+vavanu_va_INS+soxale_nu_RIS
soluvavanigeV solu(V5)+va_#_PRP+vavanu_va_DAT+nigeV_nu_3SM
soluvavanigeVyA solu(V5)+va_#_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
soluvavanigeVyU solu(V5)+va_#_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
soluvavanigeVyo solu(V5)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
soluvavanigeVyo solu(V5)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
soluvavanigeVyo solu(V5)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
soluvavanigeVye solu(V5)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
soluvavanigeVye solu(V5)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_DECL
soluvavanigeVye solu(V5)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_RIS
soluvavasoxa  solu(V5)+va_#_PRP+vavanu_va_ABL+soxa_nu_3SM
