koVMxanu koVllu(V14)+Mxa_llu_PAST+anu_a_3SM   
koVllavu koVllu(V14)+avu_u_FUTNEG_#_3PN
koVllalAreV koVllu(V14)+alu_u_FUTNEG+AreV_u_1S
koVllalAreVvu koVllu(V14)+alu_u_FUTNEG+AreVvu_u_1P
koVllalAreVnu koVllu(V14)+alu_u_FUTNEG+AreVnu_u_2S
koVllalAriri koVllu(V14)+alu_u_FUTNEG+Ariri_u_2P
koVllalAriri koVllu(V14)+alu_u_FUTNEG+Ariri_u_2SH
koVllalAranu koVllu(V14)+alu_u_FUTNEG+Aranu_u_3SM
koVllalAralYu koVllu(V14)+alu_u_FUTNEG+AralYu_u_3SF
koVllalAraxu koVllu(V14)+alu_u_FUTNEG+Araxu_u_3SN
koVllalAraru koVllu(V14)+alu_u_FUTNEG+Araru_u_3P
koVllalAraru koVllu(V14)+alu_u_FUTNEG+Araru_u_3SH
koVllalAravu koVllu(V14)+alu_u_FUTNEG+Aravu_u_3PN
koVllalArxa koVllu(V14)+alu_u_NEG+Arxa_u_3
koVllaxa koVllu(V14)+axa_u_NFV_#_NEG
koVllaxeV koVllu(V14)+axeV_u_NFV_#_NEG
koVMxarU koVllu(V14)+MxarU_llu_NFV_#_CONS
koVlluwwA koVllu(V14)+uwwa_u_NFV+A_a_PRESCONT
koVlli koVllu(V14)+i_u_NFV_#_PASTPERF
koVllali koVllu(V14)+ali_u_FUTOPT_#_3SM
koVllali koVllu(V14)+ali_u_FUTOPT_#_3SF
koVllali koVllu(V14)+ali_u_FUTOPT_#_3P
koVllali koVllu(V14)+ali_u_FUTOPT_#_3SH
koVllali koVllu(V14)+ali_u_FUTOPT_#_3SN
koVllali koVllu(V14)+ali_u_FUTOPT_#_3SM
koVlli koVllu(V14)+i_u_FUTPERM_2P
koVlli koVllu(V14)+i_u_FUTPERM_2SH
koVllaballa koVllu(V14)+koVlla_koVllu_AVY+balla_#_FUTINF_#_CAP
koVllaballanu koVllu(V14)+koVlla_koVllu_AVY+balla_#_FUTCAP+anu_a_3SM
koVllaballalYu koVllu(V14)+koVlla_koVllu_AVY+balla_#_FUTCAP+alYu_a_3SF
koVllaballaxu koVllu(V14)+koVlla_koVllu_AVY+balla_#_FUTCAP+axu_a_3SN
koVllaballaru koVllu(V14)+koVlla_koVllu_AVY+balla_#_FUTCAP+aru_a_3P
koVllaballaru koVllu(V14)+koVlla_koVllu_AVY+balla_#_FUTCAP+aru_a_3SH
koVllaballavu koVllu(V14)+koVlla_koVllu_AVY+balla_#_FUTCAP+avu_a_3PN
koVMxAnu koVllu(V14)+Mxa_llu_FUTDUB+Anu_a_3SM
koVMxAlYu koVllu(V14)+Mxa_llu_FUTDUB+AlYu_a_3SF
koVMxAru koVllu(V14)+Mxa_llu_FUTDUB+Aru_a_3P
koVMxAru koVllu(V14)+Mxa_llu_FUTDUB+Aru_a_3SH
koVMxIwu koVllu(V14)+Mxa_llu_FUTDUB+Iwu_a_3SN
koVMxAvu koVllu(V14)+Mxa_llu_FUTDUB+Avu_a_3PN
koVMxenu koVllu(V14)+Mxa_llu_FUTDUB+enu_a_1S
koVMxevu koVllu(V14)+Mxa_llu_FUTDUB+evu_a_1P
koVMxIyeV koVllu(V14)+Mxa_llu_FUTDUB+IyeV_a_2S
koVMxIri koVllu(V14)+Mxa_llu_FUTDUB+Iri_a_2P
koVMxIri koVllu(V14)+Mxa_llu_FUTDUB+Iri_a_2SH
koVMxareV koVllu(V14)+Mxa_llu_NFV+areV_a_COND
koVMxalli koVllu(V14)+Mxa_llu_NFV+alli_a_COND
koVlluvuxilla koVllu(V14)+lluvuxu_llu_AVY+illa_u_NEG
koVllabahuxu koVllu(V14)+a_u_AVY+bahuxu_#_FUTPOTEN
koVllalebeku koVllu(V14)+alu_u_COMP+e_u_AVY+beku_#_FUT
koVlluvavanu koVllu(V14)+va_#_PRP+avanu_a_3SM
koVlluvavalYu koVllu(V14)+va_#_PRP+avalYu_a_3FM
koVlluvavaru koVllu(V14)+va_#_PRP+avaru_a_3P
koVllaxavanu koVllu(V14)+axa_u_PRP+avanu_a_3SM
koVllaxavalYu koVllu(V14)+axa_u_PRP+avalYu_a_3FM
koVllaxavaru koVllu(V14)+axa_u_PRP+avaru_a_3P
koVMxavanu koVllu(V14)+Mxa_llu_PRP+avanu_a_3SM 
koVMxavalYu koVllu(V14)+Mxa_llu_PRP+avalYu_a_3FM 
koVMxavaru koVllu(V14)+Mxa_llu_PRP+avaru_a_3P 
koVllalAraxavanu koVllu(V14)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
koVllalAraxavalYu koVllu(V14)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
koVllalAraxavaru koVllu(V14)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
koVlluwwiruvavanu koVllu(V14)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
koVlluwwiruvavalYu koVllu(V14)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM
koVlluwwiruvavaru koVllu(V14)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
koVlluwwiruvuxu koVllu(V14)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
koVlluwwiruvuvu koVllu(V14)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
koVlluwwiruva koVllu(V14)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
koVlluwwixMxavanu koVllu(V14)+uwwa_u_AUX+wwiru_wwa_RP+xMxa_ru_PRP+avanu_a_3SM 
koVlluwwixMxavalYu koVllu(V14)+uwwa_u_AUX+wwiru_wwa_RP+xMxa_ru_PRP+avalYu_a_3FM 
koVlluwwixMxavaru koVllu(V14)+uwwa_u_AUX+wwiru_wwa_RP+xMxa_ru_PRP+avaru_a_3P 
koVlluwwixxu koVllu(V14)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
koVlluwwixMxavu koVllu(V14)+uwwa_u_AUX+wwiru_wwa_RP+xMxa_ru_PRP+avu_a_3PN
koVllaliruvavanu koVllu(V14)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
koVllaliruvavalYu koVllu(V14)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
koVllaliruvavaru koVllu(V14)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
koVllaliruvanu koVllu(V14)+alu_u_AUX+liruvanu_lu_3SM
koVllaliruvalYu koVllu(V14)+alu_u_AUX+liruvalYu_lu_3SF
koVllaliruvaru koVllu(V14)+alu_u_AUX+liruvaru_lu_3P
koVllaliruvaxu koVllu(V14)+alu_u_AUX+liruvaxu_lu_3SN
koVllaliruvavu koVllu(V14)+alu_u_AUX+liruvavu_lu_3PN
koVllaballavanu koVllu(V14)+a_u_AVY+ballavanu_#_3SM
koVllaballavalYu koVllu(V14)+a_u_#_AVY+ballavalYu_#_3SF
koVllaballavaru koVllu(V14)+a_u_AVY+ballavaru_#_3P
koVllaballaxu koVllu(V14)+a_u_AVY+ballaxu_#_3SN
koVllaballavu koVllu(V14)+a_u_AVY+ballavu_#_3PN
koVlluwwixMxaneV koVllu(V14)+uwwa_u_AUX+wwixMxaneV_wwa_3SM
koVlluwwixMxalYeV koVllu(V14)+uwwa_u_AUX+wwixMxalYeV_wwa_3FM
koVlluwwixMxareV koVllu(V14)+uwwa_u_AUX+wwixMxareV_wwa_3FM
koVlluwwixeV koVllu(V14)+uwwa_u_AUX+wwixeV_wwa_3SN
koVlluwwiveV koVllu(V14)+uwwa_u_AUX+wwiveV_wwa_3PN
koVllalpattanu koVllu(V14)+alpadu_u_PAST+pattanu_padu_3SM
koVllalpattalYu koVllu(V14)+alpadu_u_PAST+pattalYu_padu_3SF
koVllalpattkoVllu koVllu(V14)+alpadu_u_PAST+pattkoVllu_padu_3P
koVllalpattaru koVllu(V14)+alpadu_u_PAST+pattaru_padu_3SH
koVllalpattiwu koVllu(V14)+alpadu_u_PAST+pattiwu_padu_3SN
koVllalpattavu koVllu(V14)+alpadu_u_PAST+pattavu_padu_3PN
koVllalpaduwwaxeV koVllu(V14)+alpadu_u_FUT+duwwaxeV_du_3SN
koVllalpaduwwaveV koVllu(V14)+alpadu_u_FUT+duwwaveV_du_3PN
koVllalpaduvuxu koVllu(V14)+alpadu_u_FUT+vuxu_#_3SN
koVllalpaduvuvu koVllu(V14)+alpadu_u_FUT+vuvu_#_3PN
koVllalpadanu koVllu(V14)+alpadu_u_FUTNEG+danu_du_3SM
koVllalpadalYu koVllu(V14)+alpadu_u_FUTNEG+dalYu_du_3SF
koVllalpadaru koVllu(V14)+alpadu_u_FUTNEG+daru_du_3P
koVllalpadaru koVllu(V14)+alpadu_u_FUTNEG+daru_du_3SH
koVllalpadaxu koVllu(V14)+alpadu_u_FUTNEG+daxu_du_3SN
koVllalpadavu koVllu(V14)+alpadu_u_FUTNEG+davu_du_3PN
koVllalpattAnu koVllu(V14)+alpadu_u_FUTDUB+ttAnu_du_3SM
koVllalpattAlYu koVllu(V14)+alpadu_u_FUTDUB+ttAlYu_du_3PF
koVllalpattAru koVllu(V14)+alpadu_u_FUTDUB+ttAru_du_3P
koVllalpattAru koVllu(V14)+alpadu_u_FUTDUB+ttAru_du_3SH
koVllalpattIwu koVllu(V14)+alpadu_u_FUTDUB+ttIwu_du_3SN
koVllalpattAvu koVllu(V14)+alpadu_u_FUTDUB+ttAvu_du_3PN
koVllalpadabeku koVllu(V14)+alpada_u_#_AVY+beku_#_FUTIMP
koVllalpadabAraxu koVllu(V14)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
koVllalpadakUdaxu koVllu(V14)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
koVllalpadali koVllu(V14)+alpadu_u_FUTOPT+dali_du_3SN
koVllalpadali koVllu(V14)+alpadu_u_FUTOPT+dali_du_3PN
koVllalpadaballa koVllu(V14)+alpada_u_AVY+balla_#_FUTCAP
koVllalpadaballaxu koVllu(V14)+alpada_u_AVY+ballaxu_#_FUTCAP
koVllalpadaballavu koVllu(V14)+alpada_u_AVY+ballavu_#_FUTCAP
koVllalpadabahuxu koVllu(V14)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
koVllalpadabahuxu koVllu(V14)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
koVllalpadabeku koVllu(V14)+alpada_u_AVY+beku_#_FUTCOMP
koVllalpadalebeku koVllu(V14)+alpada_u_AVY+lebeku_#_FUTCOMP
koVllalpadalAraxu koVllu(V14)+alpadu_u_FUTNEG+alAraxu_u_3SN
koVllalpadalAravu koVllu(V14)+alpadu_u_FUTNEG+alAravu_u_3PN
koVllalpadalAraxa koVllu(V14)+alpadu_u_NEG+alAraxa_u_3SN
koVllalpattarU koVllu(V14)+alpadu_u_FUTCOND+ttarU_du_NFV
koVllalpaduwwa koVllu(V14)+alpadu_u_PRESCONT+uwwa_u_NFV
koVllalpatta koVllu(V14)+alpadu_u_RP+tta_du_PAST
koVllalpadaxeV koVllu(V14)+alpadu_u_NEG+axeV_u_NFV	
koVllalpadaxa koVllu(V14)+alpadu_u_NEG+axa_u_NFV
koVllalpattu koVllu(V14)+alpadu_u_PAST+pattu_padu_NFVkoVMxiwA
koVllalpaduva koVllu(V14)+alpadu_u_FUT+va_#_RP
koVllalpadalu koVllu(V14)+alpadu_u_INFN+alu_u_FUTINCH
koVllalpadalikkeV koVllu(V14)+alpadu_u_INFN+alikkeV_u_FUTINCH
koVllalpattareV koVllu(V14)+alpadu_u_FUTCOND+pattareV_padu_NFV
koVllalpattalli koVllu(V14)+alpadu_u_FUTCOND+pattalli_padu_NFV
koVllalpaduwwiruva koVllu(V14)+alpadu_u_AUX+uwwiruva_u_RP
koVllalpaduwwixMxa koVllu(V14)+alpadu_u_AUX+uwwixMxa_u_RP
koVllalpaduwwaliruva koVllu(V14)+alpadu_u_AUX+uwwaliruva_u_RP
koVllalpaduwwirabekaxa koVllu(V14)+alpadu_u_AUX+uwwiru_u_AVY+abekaxa_u_3SN
koVMxanA koVllu(V14)+MxanA_llu_INTR
koVMxalYA koVllu(V14)+MxalYA_llu_INTR
koVMxiwA koVllu(V14)+MxiwA_llu_INTR
koVMxarA koVllu(V14)+MxarA_llu_INTR
koVMxavA koVllu(V14)+MxavA_llu_INTR
koVlluwwAnA koVllu(V14)+uwwAnA_u_INTR
koVlluwwAlYA koVllu(V14)+uwwAlYA_u_INTR
koVlluwwkoVMxa koVllu(V14)+uwwkoVMxa_u_INTR
koVlluvanA koVllu(V14)+vanA_#_INTR
koVlluvalYA koVllu(V14)+valYA_#_INTR
koVlluvuMxa koVllu(V14)+vuMxa_#_INTR
koVlluvarA koVllu(V14)+varA_#_INTR
koVlluvuvA koVllu(V14)+vuvA_#_INTR
koVlluwwiyA koVllu(V14)+uwwiyA_u_INTR
koVlluwwiriyA koVllu(V14)+uwwiriyA_u_INTR
koVlluwwIrA koVllu(V14)+uwwIrA_u_INTR
koVlluviyA koVllu(V14)+viyA_#_INTR
koVlluvirA koVllu(V14)+virA_#_INTR
koVlluvuMxa koVllu(V14)+vuMxa_#_INTR
koVllalA koVllu(V14)+alA_u_INTR
koVllalikkA koVllu(V14)+alikkA_u_INTR
koVllokA koVllu(V14)+okA_u_INTR
koVllabekA koVllu(V14)+abekA_u_INTR
koVllakUdaxa koVllu(V14)+akUdaxa_u_INTR
koVllabAraxa koVllu(V14)+abAraxa_u_INTR
koVllanA koVllu(V14)+anA_u_INTR
koVllalYA koVllu(V14)+alYA_u_INTR
koVllaxa koVllu(V14)+axa_u_INTR
koVllarA koVllu(V14)+arA_u_INTR
koVllavA koVllu(V14)+avA_u_INTR
koVllalAreVvA koVllu(V14)+alAreVvA_u_INTR
koVllalAreVnA koVllu(V14)+alAreVnA_u_INTR
koVllalAririyA koVllu(V14)+alAririyA_u_INTR
koVllalAranA koVllu(V14)+alAranA_u_INTR
koVllalAralYA koVllu(V14)+alAralYA_u_INTR
koVllalAraxa koVllu(V14)+alAraxa_u_INTR
koVllalArarA koVllu(V14)+alArarA_u_INTR
koVllalAravA koVllu(V14)+alAravA_u_INTR
koVllaballanA koVllu(V14)+aballanA_u_INTR
koVllaballalYA koVllu(V14)+aballalYA_u_INTR
koVllaballaxa koVllu(V14)+aballaxa_u_INTR
koVllaballarA koVllu(V14)+aballarA_u_INTR
koVllaballavA koVllu(V14)+aballavA_u_INTR
koVllabahuMxa koVllu(V14)+abahuMxa_u_INTR
koVllalebekA koVllu(V14)+alebekA_u_INTR
koVllalpattiwA koVllu(V14)+alpattiwA_u_INTR
koVllalpattavA koVllu(V14)+alpattavA_u_INTR
koVllalpaduwwaxa koVllu(V14)+alpaduwwaxa_u_INTR
koVllalpaduwwavA koVllu(V14)+alpaduwwavA_u_INTR
koVllalpaduvuMxa koVllu(V14)+alpaduvuMxa_u_INTR
koVllalpaduvuvA koVllu(V14)+alpaduvuvA_u_INTR
koVllalpadaxa koVllu(V14)+alpadaxa_u_INTR
koVllalpadavA koVllu(V14)+alpadavA_u_INTR
koVllalpadabekA koVllu(V14)+alpadabekA_u_INTR
koVllalpadabArMxa koVllu(V14)+alpadabArMxa_u_INTR
koVllalpadakUdaxa koVllu(V14)+alpadakUdaxa_u_INTR
koVllalpadabahuMxa koVllu(V14)+alpadabahuMxa_u_INTR
koVllalpadalebekA koVllu(V14)+alpadalebekA_u_INTR
koVllalpadalAraxa koVllu(V14)+alpadalAraxa_u_INTR
koVllalpadalAravA koVllu(V14)+alpadalAravA_u_INTR
koVMxanne koVllu(V14)+Mxanne_llu_INTR
koVMxalYe koVllu(V14)+MxalYe_llu_INTR
koVlluwwiwe koVllu(V14)+wwiwe_#_INTR
koVMxare koVllu(V14)+Mxare_llu_INTR
koVMxave koVllu(V14)+Mxave_llu_INTR
koVlluwwAnye koVllu(V14)+uwwAnye_u_INTR
koVlluwwAlYe koVllu(V14)+uwwAlYe_u_INTR
koVlluwwaxeVye koVllu(V14)+uwwaxeVye_u_INTR
koVlluvane koVllu(V14)+vane_#_INTR
koVlluvalYe koVllu(V14)+valYe_#_INTR
koVlluvuxe koVllu(V14)+vuxe_#_INTR
koVlluvare koVllu(V14)+vare_#_INTR
koVlluvuve koVllu(V14)+vuve_#_INTR
koVlluwwiriye koVllu(V14)+wwiriye_#_INTR
koVlluwwiye koVllu(V14)+uwwiye_u_INTR
koVlluwwIre koVllu(V14)+lluwwIre_llu_INTR
koVlluviye koVllu(V14)+lluviye_llu_INTR
koVlluvire koVllu(V14)+lluvire_llu_INTR
koVlluvuxe koVllu(V14)+lluvuxe_llu_INTR
koVllale koVllu(V14)+ale_u_INTR
koVllalikke koVllu(V14)+alikke_u_INTR
koVllabeke koVllu(V14)+abeke_u_INTR
koVllakUdaxe koVllu(V14)+akUdaxe_u_INTR
koVllabAraxe koVllu(V14)+abAraxe_u_INTR
koVllane koVllu(V14)+ane_u_INTR
koVllalYe koVllu(V14)+alYe_u_INTR
koVllaxe koVllu(V14)+axe_u_INTR
koVllare koVllu(V14)+are_u_INTR
koVllave koVllu(V14)+ave_u_INTR
koVllalAreVve koVllu(V14)+alAreVve_u_INTR
koVllalAreVne koVllu(V14)+alAreVne_u_INTR
koVllalAririye koVllu(V14)+alAririye_u_INTR
koVllalArane koVllu(V14)+alArane_u_INTR
koVllalAralYe koVllu(V14)+alAralYe_u_INTR
koVllalAraxe koVllu(V14)+alAraxe_u_INTR
koVllalArare koVllu(V14)+alArare_u_INTR
koVllalArave koVllu(V14)+alArave_u_INTR
koVllaballane koVllu(V14)+aballane_u_INTR
koVllaballalYe koVllu(V14)+aballalYe_u_INTR
koVllaballaxe koVllu(V14)+aballaxe_u_INTR
koVllaballare koVllu(V14)+aballare_u_INTR
koVllaballave koVllu(V14)+aballave_u_INTR
koVllabahuxe koVllu(V14)+abahuxe_u_INTR
koVllalebeke koVllu(V14)+alebeke_u_INTR
koVllalpattiwe koVllu(V14)+alpattiwe_u_INTR
koVllalpattave koVllu(V14)+alpattave_u_INTR
koVllalpadaxanxye koVllu(V14)+alpadaxanxye_u_INTR
koVllalpadaxanvye koVllu(V14)+alpadaxanvye_u_INTR
koVllalpaduvuxe koVllu(V14)+alpaduvuxe_u_INTR
koVllalpaduvuve koVllu(V14)+alpaduvuve_u_INTR
koVllalpadaxe koVllu(V14)+alpadaxe_u_INTR
koVllalpadave koVllu(V14)+alpadave_u_INTR
koVllalpadabeke koVllu(V14)+alpadabeke_u_INTR
koVllalpadabArxe koVllu(V14)+alpadabArxe_u_INTR
koVllalpadakUdaxe koVllu(V14)+alpadakUdaxe_u_INTR
koVllalpadaballaxe koVllu(V14)+alpadaballaxe_u_INTR
koVllalpadabahuxe koVllu(V14)+alpadabahuxe_u_INTR
koVllalpadalebeke koVllu(V14)+alpadalebeke_u_INTR
koVllalpadalAraxe koVllu(V14)+alpadalAraxe_u_INTR
koVllalpadalArave koVllu(V14)+alpadalArave_u_INTR
koVMxanno koVllu(V14)+Mxanno_llu_INDF
koVMxalYo koVllu(V14)+MxalYo_llu_INDF
koVMxiwo koVllu(V14)+Mxiwo_llu_INDF
koVMxaro koVllu(V14)+Mxaro_llu_INDF
koVMxavo koVllu(V14)+Mxavo_llu_INDF
koVlluwwAno koVllu(V14)+wwAno_#_INDF
koVlluwwAlYo koVllu(V14)+wwAlYo_#_INDF
koVlluwwaxeVyo koVllu(V14)+uwwaxeVyo_u_INDF
koVlluvano koVllu(V14)+lluvano_llu_INDF
koVlluvalYo koVllu(V14)+lluvalYo_llu_INDF
koVlluvuxo koVllu(V14)+lluvuxo_llu_INDF
koVlluvaro koVllu(V14)+lluvaro_llu_INDF
koVlluvuvo koVllu(V14)+lluvuvo_llu_INDF
koVlluvuxo koVllu(V14)+lluvuxo_llu_INDF
koVllalo koVllu(V14)+alo_u_INDF
koVllalikko koVllu(V14)+alikko_u_INDF
koVllabeko koVllu(V14)+abeko_u_INDF
koVllakUdaxo koVllu(V14)+akUdaxo_u_INDF
koVllabAraxo koVllu(V14)+abAraxo_u_INDF
koVllano koVllu(V14)+ano_u_INDF
koVllalYo koVllu(V14)+alYo_u_INDF
koVllaxo koVllu(V14)+axo_u_INDF
koVllaro koVllu(V14)+aro_u_INDF
koVllavo koVllu(V14)+avo_u_INDF
koVllalArano koVllu(V14)+alArano_u_INDF
koVllalAralYo koVllu(V14)+alAralYo_u_INDF
koVllalAraxo koVllu(V14)+alAraxo_u_INDF
koVllalAraro koVllu(V14)+alAraro_u_INDF
koVllalAravo koVllu(V14)+alAravo_u_INDF
koVllaballano koVllu(V14)+aballano_u_INDF
koVllaballalYo koVllu(V14)+aballalYo_u_INDF
koVllaballaxo koVllu(V14)+aballaxo_u_INDF
koVllaballaro koVllu(V14)+aballaro_u_INDF
koVllaballavo koVllu(V14)+aballavo_u_INDF
koVllalpattiwo koVllu(V14)+alpattiwo_u_INDF
koVllalpattavo koVllu(V14)+alpattavo_u_INDF
koVllalpaduwwaxo koVllu(V14)+alpaduwwaxo_u_INDF
koVllalpaduwwaveyo koVllu(V14)+alpaduwwaveyo_u_INDF
koVllalpaduvuxo koVllu(V14)+alpaduvuxo_u_INDF
koVllalpaduvuvo koVllu(V14)+alpaduvuvo_u_INDF
koVllalpadaxo koVllu(V14)+alpadaxo_u_INDF
koVllalpadavo koVllu(V14)+alpadavo_u_INDF
koVllalpadabeko koVllu(V14)+alpadabeko_u_INDF
koVllalpadabAraxo koVllu(V14)+alpadabAraxo_u_INDF
koVllalpadakUdaxo koVllu(V14)+alpadakUdaxo_u_INDF
koVllalpadalo koVllu(V14)+alpadalo_u_INDF
koVllalpadaballaxo koVllu(V14)+alpadaballaxo_u_INDF
koVllalpadabahuxo koVllu(V14)+alpadabahuxo_u_INDF
koVllalpadalebeko koVllu(V14)+alpadalebeko_u_INDF
koVllalpadalAraxo koVllu(V14)+alpadalAraxo_u_INDF
koVllalpadalAravo koVllu(V14)+alpadalAravo_u_INDF
koVllalpadaxanxo koVllu(V14)+alpadaxanxo_u_INDF
koVllalpadaxeVyo koVllu(V14)+alpadaxeVyo_u_INDF
koVllalpatto koVllu(V14)+alpatto_u_INDF
koVllalpadalo koVllu(V14)+alpadalo_u_INDF
koVllalpadalikko koVllu(V14)+alpadalikko_u_INDF
koVllalpattaro koVllu(V14)+alpattaro_u_INDF
koVllalpattalliyo koVllu(V14)+alpattalliyo_u_INDF
koVlluvuxe koVllu(V14)+lluvuxe_llu_IMP
koVlluvuwwakkeVye koVllu(V14)+lluvuwwakkeVye_llu_IMP
koVllale koVllu(V14)+ale_u_IMPH
koVllalikke koVllu(V14)+alikke_u_IMP
koVllalikkye koVllu(V14)+alikkye_u_IMP
koVlluwwale koVllu(V14)+uwwale_u_IMP
koVlluwwe koVllu(V14)+wwe_#_IMP
koVllalpaduvuxe koVllu(V14)+alpaduvuxe_u_IMP
koVllalpaduvuwwakkeye koVllu(V14)+alpaduvuwwakkeye_u_IMP
koVllalpatte koVllu(V14)+alpatte_u_IMP
koVllalpaduwwale koVllu(V14)+alpaduwwale_u_IMP
koVlluvuxU koVllu(V14)+lluvuxU_llu_INCL
koVMxarU koVllu(V14)+MxarU_llu_INCL
koVllalU koVllu(V14)+alU_u_INCL
koVllalikkyU koVllu(V14)+alikkyU_u_INCL
koVllalikkU koVllu(V14)+alikkU_u_INCL
koVllanU koVllu(V14)+anU_u_INCL
koVllalYU koVllu(V14)+alYU_u_INCL
koVllaxU koVllu(V14)+axU_u_INCL
koVllarU koVllu(V14)+arU_u_INCL
koVllavU koVllu(V14)+avU_u_INCL
koVMxarU koVllu(V14)+MxarU_llu_INCL
koVlluwwalU koVllu(V14)+uwwalU_u_INCL
koVMxalliyU koVllu(V14)+MxalliyU_llu_INCL
koVllalpadaxanlU koVllu(V14)+alpadaxanlU_u_INCL
koVllalpadaxanveVyU koVllu(V14)+alpadaxanveVyU_u_INCL
koVllalpaduvuxU koVllu(V14)+alpaduvuxU_u_INCL
koVllalpaduvuvU koVllu(V14)+alpaduvuvU_u_INCL
koVllalpattarU koVllu(V14)+alpattarU_u_INCL
koVllalpaduwwalU koVllu(V14)+alpaduwwalU_u_INCL
koVllalpadalU koVllu(V14)+alpadalU_u_INCL
koVllalpadalikkeyU koVllu(V14)+alpadalikkeyU_u_INCL
koVllalpattalliyU koVllu(V14)+alpattalliyU_u_INCL
