koVyxanu koVyyu(V13)+xa_yu_PAST+anu_a_3SM   
koVyyali koVyyu(V13)+ali_u_FUTOPT_#_3SH
koVyyali koVyyu(V13)+ali_u_FUTOPT_#_3SN
koVyyali koVyyu(V13)+ali_u_FUTOPT_#_3SM
koVyyi koVyyu(V13)+i_u_FUTPERM_#_2P
koVyyi koVyyu(V13)+i_u_FUTPERM_#_2SH
koVyyaballa koVyyu(V13)+koVyya_koVyyu_AVY+balla_#_FUTINF_#_CAP
koVyyaballanu koVyyu(V13)+koVyya_koVyyu_AVY+balla_#_FUTCAP+anu_a_3SM
koVyyaballalYu koVyyu(V13)+koVyya_koVyyu_AVY+balla_#_FUTCAP+alYu_a_3SF
koVyyaballaxu koVyyu(V13)+koVyya_koVyyu_AVY+balla_#_FUTCAP+axu_a_3SN
koVyyaballaru koVyyu(V13)+koVyya_koVyyu_AVY+balla_#_FUTCAP+aru_a_3P
koVyyaballaru koVyyu(V13)+koVyya_koVyyu_AVY+balla_#_FUTCAP+aru_a_3SH
koVyyaballavu koVyyu(V13)+koVyya_koVyyu_AVY+balla_#_FUTCAP+avu_a_3PN
koVyxAnu koVyyu(V13)+xa_yu_FUTDUB+Anu_a_3SM
koVyxAlYu koVyyu(V13)+xa_yu_FUTDUB+AlYu_a_3SF
koVyxAru koVyyu(V13)+xa_yu_FUTDUB+Aru_a_3P
koVyxAru koVyyu(V13)+xa_yu_FUTDUB+Aru_a_3SH
koVyxIwu koVyyu(V13)+xa_yu_FUTDUB+Iwu_a_3SN
koVyxAvu koVyyu(V13)+xa_yu_FUTDUB+Avu_a_3PN
koVyxenu koVyyu(V13)+xa_yu_FUTDUB+enu_a_1S
koVyxevu koVyyu(V13)+xa_yu_FUTDUB+evu_a_1P
koVyxIyeV koVyyu(V13)+xa_yu_FUTDUB+IyeV_a_2S
koVyxIri koVyyu(V13)+xa_yu_FUTDUB+Iri_a_2P
koVyxIri koVyyu(V13)+xa_yu_FUTDUB+Iri_a_2SH
koVyxareV koVyyu(V13)+xa_yu_NFV+areV_a_COND
koVyxalli koVyyu(V13)+xa_yu_NFV+alli_a_COND
koVyyuvuxilla koVyyu(V13)+vuxu_#_AVY+illa_u_NEG
koVyyabahuxu koVyyu(V13)+a_u_AVY+bahuxu_#_FUTPOTEN
koVyyalebeku koVyyu(V13)+alu_u_COMP+e_u_AVY+beku_#_FUT
koVyyuvavanu koVyyu(V13)+va_#_PRP+avanu_a_3SM
koVyyuvavalYu koVyyu(V13)+va_#_PRP+avalYu_a_3FM
koVyyuvavaru koVyyu(V13)+va_#_PRP+avaru_a_3P
koVyyaxavanu koVyyu(V13)+axa_u_PRP+avanu_a_3SM
koVyyaxavalYu koVyyu(V13)+axa_u_PRP+avalYu_a_3FM
koVyyaxavaru koVyyu(V13)+axa_u_PRP+avaru_a_3P
koVyxavanu koVyyu(V13)+xa_yu_PRP+avanu_a_3SM 
koVyxavalYu koVyyu(V13)+xa_yu_PRP+avalYu_a_3FM 
koVyxavaru koVyyu(V13)+xa_yu_PRP+avaru_a_3P 
koVyyalAraxavanu koVyyu(V13)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
koVyyalAraxavalYu koVyyu(V13)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
koVyyalAraxavaru koVyyu(V13)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
koVyyuwwiruvavanu koVyyu(V13)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
koVyyuwwiruvavalYu koVyyu(V13)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM
koVyyuwwiruvavaru koVyyu(V13)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
koVyyuwwiruvuxu koVyyu(V13)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
koVyyuwwiruvuvu koVyyu(V13)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
koVyyuwwiruva koVyyu(V13)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
koVyyuwwixxavanu koVyyu(V13)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avanu_a_3SM 
koVyyuwwixxavalYu koVyyu(V13)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avalYu_a_3FM 
koVyyuwwixxavaru koVyyu(V13)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avaru_a_3P 
koVyyuwwixxu koVyyu(V13)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
koVyyuwwixxavu koVyyu(V13)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
koVyyaliruvavanu koVyyu(V13)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
koVyyaliruvavalYu koVyyu(V13)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
koVyyaliruvavaru koVyyu(V13)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
koVyyaliruvanu koVyyu(V13)+alu_u_AUX+liruvanu_lu_3SM
koVyyaliruvalYu koVyyu(V13)+alu_u_AUX+liruvalYu_lu_3SF
koVyyaliruvaru koVyyu(V13)+alu_u_AUX+liruvaru_lu_3P
koVyyaliruvuxu koVyyu(V13)+alu_u_AUX+liruvuxu_lu_3SN
koVyyaliruvavu koVyyu(V13)+alu_u_AUX+liruvavu_lu_3PN
koVyyaballavanu koVyyu(V13)+a_u_AVY+ballavanu_#_3SM
koVyyaballavalYu koVyyu(V13)+a_u_AVY+ballavalYu_#_3SF
koVyyaballavaru koVyyu(V13)+a_u_AVY+ballavaru_#_3P
koVyyaballaxu koVyyu(V13)+a_u_AVY+ballaxu_#_3SN
koVyyaballavu koVyyu(V13)+a_u_AVY+ballavu_#_3PN
koVyyuwwixxAneV koVyyu(V13)+uwwa_u_AUX+wwixxAneV_wwa_3SM
koVyyuwwixxAlYeV koVyyu(V13)+uwwa_u_AUX+wwixxAlYeV_wwa_3FM
koVyyuwwixxAreV koVyyu(V13)+uwwa_u_AUX+wwixxAreV_wwa_3FM
koVyyuwwixeV koVyyu(V13)+uwwa_u_AUX+wwixeV_wwa_3SN
koVyyuwwiveV koVyyu(V13)+uwwa_u_AUX+wwiveV_wwa_3PN
koVyyalpattanu koVyyu(V13)+alpadu_u_PAST+pattanu_padu_3SM
koVyyalpattalYu koVyyu(V13)+alpadu_u_PAST+pattalYu_padu_3SF
koVyyalpattkoVyyu koVyyu(V13)+alpadu_u_PAST+pattkoVyyu_padu_3P
koVyyalpattaru koVyyu(V13)+alpadu_u_PAST+pattaru_padu_3SH
koVyyalpattiwu koVyyu(V13)+alpadu_u_PAST+pattiwu_padu_3SN
koVyyalpattavu koVyyu(V13)+alpadu_u_PAST+pattavu_padu_3PN
koVyyalpaduwwaxeV koVyyu(V13)+alpadu_u_FUT+duwwaxeV_du_3SN
koVyyalpaduwwaveV koVyyu(V13)+alpadu_u_FUT+duwwaveV_du_3PN
koVyyalpaduvuxu koVyyu(V13)+alpadu_u_FUT+vuxu_#_3SN
koVyyalpaduvuvu koVyyu(V13)+alpadu_u_FUT+vuvu_#_3PN
koVyyalpadanu koVyyu(V13)+alpadu_u_FUTNEG+danu_du_3SM
koVyyalpadalYu koVyyu(V13)+alpadu_u_FUTNEG+dalYu_du_3SF
koVyyalpadaru koVyyu(V13)+alpadu_u_FUTNEG+daru_du_3P
koVyyalpadaru koVyyu(V13)+alpadu_u_FUTNEG+daru_du_3SH
koVyyalpadaxu koVyyu(V13)+alpadu_u_FUTNEG+daxu_du_3SN
koVyyalpadavu koVyyu(V13)+alpadu_u_FUTNEG+davu_du_3PN
koVyyalpattAnu koVyyu(V13)+alpadu_u_FUTDUB+ttAnu_du_3SM
koVyyalpattAlYu koVyyu(V13)+alpadu_u_FUTDUB+ttAlYu_du_3PF
koVyyalpattAru koVyyu(V13)+alpadu_u_FUTDUB+ttAru_du_3P
koVyyalpattAru koVyyu(V13)+alpadu_u_FUTDUB+ttAru_du_3SH
koVyyalpattIwu koVyyu(V13)+alpadu_u_FUTDUB+ttIwu_du_3SN
koVyyalpattAvu koVyyu(V13)+alpadu_u_FUTDUB+ttAvu_du_3PN
koVyyalpadabeku koVyyu(V13)+alpada_u_#_AVY+beku_#_FUTIMP
koVyyalpadabAraxu koVyyu(V13)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
koVyyalpadakUdaxu koVyyu(V13)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
koVyyalpadali koVyyu(V13)+alpadu_u_FUTOPT+dali_du_3SN
koVyyalpadali koVyyu(V13)+alpadu_u_FUTOPT+dali_du_3PN
koVyyalpadaballa koVyyu(V13)+alpada_u_AVY+balla_#_FUTCAP
koVyyalpadaballaxu koVyyu(V13)+alpada_u_AVY+ballaxu_#_FUTCAP
koVyyalpadaballavu koVyyu(V13)+alpada_u_AVY+ballavu_#_FUTCAP
koVyyalpadabahuxu koVyyu(V13)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
koVyyalpadabahuxu koVyyu(V13)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
koVyyalpadabeku koVyyu(V13)+alpada_u_AVY+beku_#_FUTCOMP
koVyyalpadalebeku koVyyu(V13)+alpada_u_AVY+lebeku_#_FUTCOMP
koVyyalpadalAraxu koVyyu(V13)+alpadu_u_FUTNEG+alAraxu_u_3SN
koVyyalpadalAravu koVyyu(V13)+alpadu_u_FUTNEG+alAravu_u_3PN
koVyyalpadalAraxa koVyyu(V13)+alpadu_u_NEG+alAraxa_u_3SN
koVyyalpattarU koVyyu(V13)+alpadu_u_FUTCOND+ttarU_du_NFV
koVyyalpaduwwa koVyyu(V13)+alpadu_u_PRESCONT+uwwa_u_NFV
koVyyalpatta koVyyu(V13)+alpadu_u_RP+tta_du_PAST
koVyyalpadaxeV koVyyu(V13)+alpadu_u_NEG+axeV_u_NFV	
koVyyalpadaxa koVyyu(V13)+alpadu_u_NEG+axa_u_NFV
koVyyalpattu koVyyu(V13)+alpadu_u_PAST+pattu_padu_NFV
koVyyalpaduva koVyyu(V13)+alpadu_u_FUT+va_#_RP
koVyyalpadalu koVyyu(V13)+alpadu_u_INFN+alu_u_FUTINCH
koVyyalpadalikkeV koVyyu(V13)+alpadu_u_INFN+alikkeV_u_FUTINCH
koVyyalpattareV koVyyu(V13)+alpadu_u_FUTCOND+pattareV_padu_NFV
koVyyalpattalli koVyyu(V13)+alpadu_u_FUTCOND+pattalli_padu_NFV
koVyyalpaduwwiruva koVyyu(V13)+alpadu_u_AUX+uwwiruva_u_RP
koVyyalpaduwwixxa koVyyu(V13)+alpadu_u_AUX+uwwixxa_u_RP
koVyyalpaduwwaliruva koVyyu(V13)+alpadu_u_AUX+uwwaliruva_u_RP
koVyyalpaduwwirabekAxa koVyyu(V13)+alpadu_u_AUX+uwwiru_u_AVY+abekAxa_u_3SN
koVyxanA koVyyu(V13)+xanA_yu_INTR
koVyxalYA koVyyu(V13)+xalYA_yu_INTR
koVyxiwA koVyyu(V13)+xiwA_yu_INTR
koVyxarA koVyyu(V13)+xarA_yu_INTR
koVyxavA koVyyu(V13)+xavA_yu_INTR
koVyyuwwAnA koVyyu(V13)+uwwAnA_u_INTR
koVyyuwwAlYA koVyyu(V13)+uwwAlYA_u_INTR
koVyyuwwArA koVyyu(V13)+uwwArA_u_INTR
koVyyuvanA koVyyu(V13)+vanA_#_INTR
koVyyuvalYA koVyyu(V13)+valYA_#_INTR
koVyyuvuxA koVyyu(V13)+vuxA_#_INTR
koVyyuvarA koVyyu(V13)+varA_#_INTR
koVyyuvuvA koVyyu(V13)+vuvA_#_INTR
koVyyuwwiyA koVyyu(V13)+uwwiyA_u_INTR
koVyyuwwiriyA koVyyu(V13)+uwwiriyA_u_INTR
koVyyuwwIrA koVyyu(V13)+uwwIrA_u_INTR
koVyyuviyA koVyyu(V13)+viyA_#_INTR
koVyyuvirA koVyyu(V13)+virA_#_INTR
koVyyuvuxA koVyyu(V13)+vuxA_#_INTR
koVyyalA koVyyu(V13)+alA_u_INTR
koVyyalikkA koVyyu(V13)+alikkA_u_INTR
koVyyokA koVyyu(V13)+okA_u_INTR
koVyyabekA koVyyu(V13)+abekA_u_INTR
koVyyakUdaxA koVyyu(V13)+akUdaxA_u_INTR
koVyyabAraxA koVyyu(V13)+abAraxA_u_INTR
koVyyanA koVyyu(V13)+anA_u_INTR
koVyyalYA koVyyu(V13)+alYA_u_INTR
koVyxA koVyyu(V13)+xA_yu_INTR
koVyyarA koVyyu(V13)+arA_u_INTR
koVyyavA koVyyu(V13)+avA_u_INTR
koVyyalAreVvA koVyyu(V13)+alAreVvA_u_INTR
koVyyalAreVnA koVyyu(V13)+alAreVnA_u_INTR
koVyyalAririyA koVyyu(V13)+alAririyA_u_INTR
koVyyalAranA koVyyu(V13)+alAranA_u_INTR
koVyyalAralYA koVyyu(V13)+alAralYA_u_INTR
koVyyalAraxA koVyyu(V13)+alAraxA_u_INTR
koVyyalArarA koVyyu(V13)+alArarA_u_INTR
koVyyalAravA koVyyu(V13)+alAravA_u_INTR
koVyyaballanA koVyyu(V13)+aballanA_u_INTR
koVyyaballalYA koVyyu(V13)+aballalYA_u_INTR
koVyyaballaxA koVyyu(V13)+aballaxA_u_INTR
koVyyaballarA koVyyu(V13)+aballarA_u_INTR
koVyyaballavA koVyyu(V13)+aballavA_u_INTR
koVyyabahuxA koVyyu(V13)+abahuxA_u_INTR
koVyyalebekA koVyyu(V13)+alebekA_u_INTR
koVyyalpattiwA koVyyu(V13)+alpattiwA_u_INTR
koVyyalpattavA koVyyu(V13)+alpattavA_u_INTR
koVyyalpaduwwaxA koVyyu(V13)+alpaduwwaxA_u_INTR
koVyyalpaduwwavA koVyyu(V13)+alpaduwwavA_u_INTR
koVyyalpaduvuxA koVyyu(V13)+alpaduvuxA_u_INTR
koVyyalpaduvuvA koVyyu(V13)+alpaduvuvA_u_INTR
koVyyalpadaxA koVyyu(V13)+alpadaxA_u_INTR
koVyyalpadavA koVyyu(V13)+alpadavA_u_INTR
koVyyalpadabekA koVyyu(V13)+alpadabekA_u_INTR
koVyyalpadabArxA koVyyu(V13)+alpadabArxA_u_INTR
koVyyalpadakUdaxA koVyyu(V13)+alpadakUdaxA_u_INTR
koVyyalpadabahuxA koVyyu(V13)+alpadabahuxA_u_INTR
koVyyalpadalebeAy koVyyu(V13)+alpadalebeAy_u_INTR
koVyyalpadalAraxA koVyyu(V13)+alpadalAraxA_u_INTR
koVyyalpadalAravA koVyyu(V13)+alpadalAravA_u_INTR
koVyxane koVyyu(V13)+xane_yu_INTR
koVyxalYe koVyyu(V13)+xalYe_yu_INTR
koVyyuwwiwe koVyyu(V13)+wwiwe_#_INTR
koVyxare koVyyu(V13)+xare_yu_INTR
koVyxave koVyyu(V13)+xave_yu_INTR
koVyyuwwAnye koVyyu(V13)+uwwAnye_u_INTR
koVyyuwwAlYe koVyyu(V13)+uwwAlYe_u_INTR
koVyyuwwaxeVye koVyyu(V13)+uwwaxeVye_u_INTR
koVyyuvane koVyyu(V13)+vane_#_INTR
koVyyuvalYe koVyyu(V13)+valYe_#_INTR
koVyyuvuxe koVyyu(V13)+vuxe_#_INTR
koVyyuvare koVyyu(V13)+vare_#_INTR
koVyyuvuve koVyyu(V13)+vuve_#_INTR
koVyyuwwiriye koVyyu(V13)+wwiriye_#_INTR
koVyyuwwiye koVyyu(V13)+uwwiye_u_INTR
koVyyuwwIre koVyyu(V13)+yuwwIre_yu_INTR
koVyyuviye koVyyu(V13)+yuviye_yu_INTR
koVyyuvire koVyyu(V13)+yuvire_yu_INTR
koVyyuvuxe koVyyu(V13)+yuvuxe_yu_INTR
koVyyale koVyyu(V13)+ale_u_INTR
koVyyalikke koVyyu(V13)+alikke_u_INTR
koVyyabeke koVyyu(V13)+abeke_u_INTR
koVyyakUdaxe koVyyu(V13)+akUdaxe_u_INTR
koVyyabAraxe koVyyu(V13)+abAraxe_u_INTR
koVyyane koVyyu(V13)+ane_u_INTR
koVyyalYe koVyyu(V13)+alYe_u_INTR
koVyyaxe koVyyu(V13)+axe_u_INTR
koVyyare koVyyu(V13)+are_u_INTR
koVyyave koVyyu(V13)+ave_u_INTR
koVyyalAreVve koVyyu(V13)+alAreVve_u_INTR
koVyyalAreVne koVyyu(V13)+alAreVne_u_INTR
koVyyalAririye koVyyu(V13)+alAririye_u_INTR
koVyyalArane koVyyu(V13)+alArane_u_INTR
koVyyalAralYe koVyyu(V13)+alAralYe_u_INTR
koVyyalAraxe koVyyu(V13)+alAraxe_u_INTR
koVyyalArare koVyyu(V13)+alArare_u_INTR
koVyyalArave koVyyu(V13)+alArave_u_INTR
koVyyaballane koVyyu(V13)+aballane_u_INTR
koVyyaballalYe koVyyu(V13)+aballalYe_u_INTR
koVyyaballaxe koVyyu(V13)+aballaxe_u_INTR
koVyyaballare koVyyu(V13)+aballare_u_INTR
koVyyaballave koVyyu(V13)+aballave_u_INTR
koVyyabahuxe koVyyu(V13)+abahuxe_u_INTR
koVyyalebeke koVyyu(V13)+alebeke_u_INTR
koVyyalpattiwe koVyyu(V13)+alpattiwe_u_INTR
koVyyalpattave koVyyu(V13)+alpattave_u_INTR
koVyyalpadaxanxye koVyyu(V13)+alpadaxanxye_u_INTR
koVyyalpadaxanvye koVyyu(V13)+alpadaxanvye_u_INTR
koVyyalpaduvuxe koVyyu(V13)+alpaduvuxe_u_INTR
koVyyalpaduvuve koVyyu(V13)+alpaduvuve_u_INTR
koVyyalpadaxe koVyyu(V13)+alpadaxe_u_INTR
koVyyalpadave koVyyu(V13)+alpadave_u_INTR
koVyyalpadabeke koVyyu(V13)+alpadabeke_u_INTR
koVyyalpadabArxe koVyyu(V13)+alpadabArxe_u_INTR
koVyyalpadakUdaxe koVyyu(V13)+alpadakUdaxe_u_INTR
koVyyalpadaballaxe koVyyu(V13)+alpadaballaxe_u_INTR
koVyyalpadabahuxe koVyyu(V13)+alpadabahuxe_u_INTR
koVyyalpadalebeke koVyyu(V13)+alpadalebeke_u_INTR
koVyyalpadalAraxe koVyyu(V13)+alpadalAraxe_u_INTR
koVyyalpadalArave koVyyu(V13)+alpadalArave_u_INTR
koVyxanno koVyyu(V13)+xanno_yu_INDF
koVyxalYo koVyyu(V13)+xalYo_yu_INDF
koVyxiwo koVyyu(V13)+xiwo_yu_INDF
koVyxaro koVyyu(V13)+xaro_yu_INDF
koVyxavo koVyyu(V13)+xavo_yu_INDF
koVyyuwwAno koVyyu(V13)+wwAno_#_INDF
koVyyuwwAlYo koVyyu(V13)+wwAlYo_#_INDF
koVyyuwwaxeVyo koVyyu(V13)+uwwaxeVyo_u_INDF
koVyyuvano koVyyu(V13)+yuvano_yu_INDF
koVyyuvalYo koVyyu(V13)+yuvalYo_yu_INDF
koVyyuvuxo koVyyu(V13)+yuvuxo_yu_INDF
koVyyuvaro koVyyu(V13)+yuvaro_yu_INDF
koVyyuvuvo koVyyu(V13)+yuvuvo_yu_INDF
koVyyuvuxo koVyyu(V13)+yuvuxo_yu_INDF
koVyyalo koVyyu(V13)+alo_u_INDF
koVyyalikko koVyyu(V13)+alikko_u_INDF
koVyyabeko koVyyu(V13)+abeko_u_INDF
koVyyakUdaxo koVyyu(V13)+akUdaxo_u_INDF
koVyyabAraxo koVyyu(V13)+abAraxo_u_INDF
koVyyano koVyyu(V13)+ano_u_INDF
koVyyalYo koVyyu(V13)+alYo_u_INDF
koVyyaxo koVyyu(V13)+axo_u_INDF
koVyyaro koVyyu(V13)+aro_u_INDF
koVyyavo koVyyu(V13)+avo_u_INDF
koVyyalArano koVyyu(V13)+alArano_u_INDF
koVyyalAralYo koVyyu(V13)+alAralYo_u_INDF
koVyyalAraxo koVyyu(V13)+alAraxo_u_INDF
koVyyalAraro koVyyu(V13)+alAraro_u_INDF
koVyyalAravo koVyyu(V13)+alAravo_u_INDF
koVyyaballano koVyyu(V13)+aballano_u_INDF
koVyyaballalYo koVyyu(V13)+aballalYo_u_INDF
koVyyaballaxo koVyyu(V13)+aballaxo_u_INDF
koVyyaballaro koVyyu(V13)+aballaro_u_INDF
koVyyaballavo koVyyu(V13)+aballavo_u_INDF
koVyyalpattiwo koVyyu(V13)+alpattiwo_u_INDF
koVyyalpattavo koVyyu(V13)+alpattavo_u_INDF
koVyyalpaduwwaxo koVyyu(V13)+alpaduwwaxo_u_INDF
koVyyalpaduwwaveyo koVyyu(V13)+alpaduwwaveyo_u_INDF
koVyyalpaduvuxo koVyyu(V13)+alpaduvuxo_u_INDF
koVyyalpaduvuvo koVyyu(V13)+alpaduvuvo_u_INDF
koVyyalpadaxo koVyyu(V13)+alpadaxo_u_INDF
koVyyalpadavo koVyyu(V13)+alpadavo_u_INDF
koVyyalpadabeko koVyyu(V13)+alpadabeko_u_INDF
koVyyalpadabAraxo koVyyu(V13)+alpadabAraxo_u_INDF
koVyyalpadakUdaxo koVyyu(V13)+alpadakUdaxo_u_INDF
koVyyalpadalo koVyyu(V13)+alpadalo_u_INDF
koVyyalpadaballaxo koVyyu(V13)+alpadaballaxo_u_INDF
koVyyalpadabahuxo koVyyu(V13)+alpadabahuxo_u_INDF
koVyyalpadalebeko koVyyu(V13)+alpadalebeko_u_INDF
koVyyalpadalAraxo koVyyu(V13)+alpadalAraxo_u_INDF
koVyyalpadalAravo koVyyu(V13)+alpadalAravo_u_INDF
koVyyalpadaxanxo koVyyu(V13)+alpadaxanxo_u_INDF
koVyyalpadaxeVyo koVyyu(V13)+alpadaxeVyo_u_INDF
koVyyalpatto koVyyu(V13)+alpatto_u_INDF
koVyyalpadalo koVyyu(V13)+alpadalo_u_INDF
koVyyalpadalikko koVyyu(V13)+alpadalikko_u_INDF
koVyyalpattaro koVyyu(V13)+alpattaro_u_INDF
koVyyalpattalliyo koVyyu(V13)+alpattalliyo_u_INDF
koVyyuvuxe koVyyu(V13)+yuvuxe_yu_IMP
koVyyuvuxakkeVye koVyyu(V13)+yuvuxakkeVye_yu_IMP
koVyyale koVyyu(V13)+ale_u_IMPH
koVyyalikke koVyyu(V13)+alikke_u_IMP
koVyyalikkye koVyyu(V13)+alikkye_u_IMP
koVyyuwwale koVyyu(V13)+uwwale_u_IMP
koVyyuwwe koVyyu(V13)+wwe_#_IMP
koVyyalpaduvuxe koVyyu(V13)+alpaduvuxe_u_IMP
koVyyalpaduvuwwakkeye koVyyu(V13)+alpaduvuwwakkeye_u_IMP
koVyyalpatte koVyyu(V13)+alpatte_u_IMP
koVyyalpaduwwale koVyyu(V13)+alpaduwwale_u_IMP
koVyyuvuxU koVyyu(V13)+vuxU_#_INCL
