baMxanu baru(V16)+Mxa_ru_PAST+anu_a_3SM   
baruvirA baru(V16)+virA_#_INTR
baruvuMxa baru(V16)+vuMxa_#_INTR
baralA baru(V16)+alA_u_INTR
baralikkA baru(V16)+alikkA_u_INTR
barokA baru(V16)+okA_u_INTR
barabekA baru(V16)+abekA_u_INTR
barakUdaxa baru(V16)+akUdaxa_u_INTR
barabAraxa baru(V16)+abAraxa_u_INTR
baranA baru(V16)+anA_u_INTR
baralYA baru(V16)+alYA_u_INTR
baraxa baru(V16)+axa_u_INTR
bararA baru(V16)+arA_u_INTR
baravA baru(V16)+avA_u_INTR
baralAreVvA baru(V16)+alAreVvA_u_INTR
baralAreVnA baru(V16)+alAreVnA_u_INTR
baralAririyA baru(V16)+alAririyA_u_INTR
baralAranA baru(V16)+alAranA_u_INTR
baralAralYA baru(V16)+alAralYA_u_INTR
baralAraxa baru(V16)+alAraxa_u_INTR
baralArarA baru(V16)+alArarA_u_INTR
baralAravA baru(V16)+alAravA_u_INTR
barabaranA baru(V16)+abaranA_u_INTR
barabaralYA baru(V16)+abaralYA_u_INTR
barabaraxa baru(V16)+abaraxa_u_INTR
barabararA baru(V16)+abararA_u_INTR
barabaravA baru(V16)+abaravA_u_INTR
barabahuMxa baru(V16)+abahuMxa_u_INTR
baralebekA baru(V16)+alebekA_u_INTR
baralpattiwA baru(V16)+alpattiwA_u_INTR
baralpattavA baru(V16)+alpattavA_u_INTR
baralpaduwwaxa baru(V16)+alpaduwwaxa_u_INTR
baralpaduwwavA baru(V16)+alpaduwwavA_u_INTR
baralpaduvuMxa baru(V16)+alpaduvuMxa_u_INTR
baralpaduvuvA baru(V16)+alpaduvuvA_u_INTR
baralpadaxa baru(V16)+alpadaxa_u_INTR
baralpadavA baru(V16)+alpadavA_u_INTR
baralpadabekA baru(V16)+alpadabekA_u_INTR
baralpadabArMxa baru(V16)+alpadabArMxa_u_INTR
baralpadakUdaxa baru(V16)+alpadakUdaxa_u_INTR
baralpadabahuMxa baru(V16)+alpadabahuMxa_u_INTR
baralpadalebekA baru(V16)+alpadalebekA_u_INTR
baralpadalAraxa baru(V16)+alpadalAraxa_u_INTR
baralpadalAravA baru(V16)+alpadalAravA_u_INTR
baMxanne baru(V16)+Mxanne_ru_INTR
baMxalYe baru(V16)+MxalYe_ru_INTR
baruwwiwe baru(V16)+wwiwe_#_INTR
baMxare baru(V16)+Mxare_ru_INTR
baMxave baru(V16)+Mxave_ru_INTR
baruwwAnye baru(V16)+uwwAnye_u_INTR
baruwwAlYe baru(V16)+uwwAlYe_u_INTR
baruwwaxeVye baru(V16)+uwwaxeVye_u_INTR
baruvane baru(V16)+vane_#_INTR
baruvalYe baru(V16)+valYe_#_INTR
baruvuxe baru(V16)+vuxe_#_INTR
baruvare baru(V16)+vare_#_INTR
baruvuve baru(V16)+vuve_#_INTR
baruwwiriye baru(V16)+wwiriye_#_INTR
baruwwiye baru(V16)+uwwiye_u_INTR
baruwwIre baru(V16)+ruwwIre_ru_INTR
baruviye baru(V16)+ruviye_ru_INTR
baruvire baru(V16)+ruvire_ru_INTR
baruvuxe baru(V16)+ruvuxe_ru_INTR
barale baru(V16)+ale_u_INTR
baralikke baru(V16)+alikke_u_INTR
barabeke baru(V16)+abeke_u_INTR
barakUdaxe baru(V16)+akUdaxe_u_INTR
barabAraxe baru(V16)+abAraxe_u_INTR
barane baru(V16)+ane_u_INTR
baralYe baru(V16)+alYe_u_INTR
baraxe baru(V16)+axe_u_INTR
barare baru(V16)+are_u_INTR
barave baru(V16)+ave_u_INTR
baralAreVve baru(V16)+alAreVve_u_INTR
baralAreVne baru(V16)+alAreVne_u_INTR
baralAririye baru(V16)+alAririye_u_INTR
baralArane baru(V16)+alArane_u_INTR
baralAralYe baru(V16)+alAralYe_u_INTR
baralAraxe baru(V16)+alAraxe_u_INTR
baralArare baru(V16)+alArare_u_INTR
baralArave baru(V16)+alArave_u_INTR
barabarane baru(V16)+abarane_u_INTR
barabaralYe baru(V16)+abaralYe_u_INTR
barabaraxe baru(V16)+abaraxe_u_INTR
barabarare baru(V16)+abarare_u_INTR
barabarave baru(V16)+abarave_u_INTR
barabahuxe baru(V16)+abahuxe_u_INTR
baralebeke baru(V16)+alebeke_u_INTR
baralpattiwe baru(V16)+alpattiwe_u_INTR
baralpattave baru(V16)+alpattave_u_INTR
baralpadaxanxye baru(V16)+alpadaxanxye_u_INTR
baralpadaxanvye baru(V16)+alpadaxanvye_u_INTR
baralpaduvuxe baru(V16)+alpaduvuxe_u_INTR
baralpaduvuve baru(V16)+alpaduvuve_u_INTR
baralpadaxe baru(V16)+alpadaxe_u_INTR
baralpadave baru(V16)+alpadave_u_INTR
baralpadabeke baru(V16)+alpadabeke_u_INTR
baralpadabArxe baru(V16)+alpadabArxe_u_INTR
baralpadakUdaxe baru(V16)+alpadakUdaxe_u_INTR
baralpadabaraxe baru(V16)+alpadabaraxe_u_INTR
baralpadabahuxe baru(V16)+alpadabahuxe_u_INTR
baralpadalebeke baru(V16)+alpadalebeke_u_INTR
baralpadalAraxe baru(V16)+alpadalAraxe_u_INTR
baralpadalArave baru(V16)+alpadalArave_u_INTR
baMxanno baru(V16)+Mxanno_ru_INDF
baMxalYo baru(V16)+MxalYo_ru_INDF
baMxiwo baru(V16)+Mxiwo_ru_INDF
baMxaro baru(V16)+Mxaro_ru_INDF
baMxavo baru(V16)+Mxavo_ru_INDF
baruwwAno baru(V16)+wwAno_#_INDF
baruwwAlYo baru(V16)+wwAlYo_#_INDF
baruwwaxeVyo baru(V16)+uwwaxeVyo_u_INDF
baruvano baru(V16)+ruvano_ru_INDF
baruvalYo baru(V16)+ruvalYo_ru_INDF
baruvuxo baru(V16)+ruvuxo_ru_INDF
baruvaro baru(V16)+ruvaro_ru_INDF
baruvuvo baru(V16)+ruvuvo_ru_INDF
baruvuxo baru(V16)+ruvuxo_ru_INDF
baralo baru(V16)+alo_u_INDF
baralikko baru(V16)+alikko_u_INDF
barabeko baru(V16)+abeko_u_INDF
barakUdaxo baru(V16)+akUdaxo_u_INDF
barabAraxo baru(V16)+abAraxo_u_INDF
barano baru(V16)+ano_u_INDF
baralYo baru(V16)+alYo_u_INDF
baraxo baru(V16)+axo_u_INDF
bararo baru(V16)+aro_u_INDF
baravo baru(V16)+avo_u_INDF
baralArano baru(V16)+alArano_u_INDF
baralAralYo baru(V16)+alAralYo_u_INDF
baralAraxo baru(V16)+alAraxo_u_INDF
baralAraro baru(V16)+alAraro_u_INDF
baralAravo baru(V16)+alAravo_u_INDF
barabarano baru(V16)+abarano_u_INDF
barabaralYo baru(V16)+abaralYo_u_INDF
barabaraxo baru(V16)+abaraxo_u_INDF
barabararo baru(V16)+abararo_u_INDF
barabaravo baru(V16)+abaravo_u_INDF
baralpattiwo baru(V16)+alpattiwo_u_INDF
baralpattavo baru(V16)+alpattavo_u_INDF
baralpaduwwaxo baru(V16)+alpaduwwaxo_u_INDF
baralpaduwwaveyo baru(V16)+alpaduwwaveyo_u_INDF
baralpaduvuxo baru(V16)+alpaduvuxo_u_INDF
baralpaduvuvo baru(V16)+alpaduvuvo_u_INDF
baralpadaxo baru(V16)+alpadaxo_u_INDF
baralpadavo baru(V16)+alpadavo_u_INDF
baralpadabeko baru(V16)+alpadabeko_u_INDF
baralpadabAraxo baru(V16)+alpadabAraxo_u_INDF
baralpadakUdaxo baru(V16)+alpadakUdaxo_u_INDF
baralpadalo baru(V16)+alpadalo_u_INDF
baralpadabaraxo baru(V16)+alpadabaraxo_u_INDF
baralpadabahuxo baru(V16)+alpadabahuxo_u_INDF
baralpadalebeko baru(V16)+alpadalebeko_u_INDF
baralpadalAraxo baru(V16)+alpadalAraxo_u_INDF
baralpadalAravo baru(V16)+alpadalAravo_u_INDF
baralpadaxanxo baru(V16)+alpadaxanxo_u_INDF
baralpadaxeVyo baru(V16)+alpadaxeVyo_u_INDF
baralpatto baru(V16)+alpatto_u_INDF
baralpadalo baru(V16)+alpadalo_u_INDF
baralpadalikko baru(V16)+alpadalikko_u_INDF
baralpattaro baru(V16)+alpattaro_u_INDF
baralpattalliyo baru(V16)+alpattalliyo_u_INDF
baruvuxe baru(V16)+ruvuxe_ru_IMP
baruvuwwakkeVye baru(V16)+ruvuwwakkeVye_ru_IMP
barale baru(V16)+ale_u_IMPH
baralikke baru(V16)+alikke_u_IMP
baralikkye baru(V16)+alikkye_u_IMP
baruwwale baru(V16)+uwwale_u_IMP
baruwwe baru(V16)+wwe_#_IMP
baralpaduvuxe baru(V16)+alpaduvuxe_u_IMP
baralpaduvuwwakkeye baru(V16)+alpaduvuwwakkeye_u_IMP
baralpatte baru(V16)+alpatte_u_IMP
baralpaduwwale baru(V16)+alpaduwwale_u_IMP
baruvuxU baru(V16)+ruvuxU_ru_INCL
baMxarU baru(V16)+MxarU_ru_INCL
baralU baru(V16)+alU_u_INCL
baralikkyU baru(V16)+alikkyU_u_INCL
baralikkU baru(V16)+alikkU_u_INCL
baranU baru(V16)+anU_u_INCL
baralYU baru(V16)+alYU_u_INCL
baraxU baru(V16)+axU_u_INCL
bararU baru(V16)+arU_u_INCL
baravU baru(V16)+avU_u_INCL
baMxarU baru(V16)+MxarU_ru_INCL
baruwwalU baru(V16)+uwwalU_u_INCL
baMxalliyU baru(V16)+MxalliyU_ru_INCL
baralpadaxanlU baru(V16)+alpadaxanlU_u_INCL
baralpadaxanveVyU baru(V16)+alpadaxanveVyU_u_INCL
baralpaduvuxU baru(V16)+alpaduvuxU_u_INCL
baralpaduvuvU baru(V16)+alpaduvuvU_u_INCL
baralpattarU baru(V16)+alpattarU_u_INCL
baralpaduwwalU baru(V16)+alpaduwwalU_u_INCL
baralpadalU baru(V16)+alpadalU_u_INCL
baralpadalikkeyU baru(V16)+alpadalikkeyU_u_INCL
baralpattalliyU baru(V16)+alpattalliyU_u_INCL
baruvuxannu baru(V16)+vuxannu_#_ACC
baruvuxariMMxa baru(V16)+vuxariMMxa_#_INS
baruvuxakkeV baru(V16)+vuxakkeV_#_DAT
baruvuxariMMxa baru(V16)+vuxariMMxa_#_ABL
baruvuxara baru(V16)+vuxara_#_GEN
baruvuxaralli baru(V16)+vuxaralli_#_LOC
baruvuxakkoskara baru(V16)+vuxu_#_DAT+xakkoskara_xu_BEN
baruvuxakkoskara baru(V16)+vuxu_#_DAT+xakkoskara_xu_PUR
baruvuxakkAgi baru(V16)+vuxu_#_DAT+xakkAgi_xu_BEN
baruvuxakkAgi baru(V16)+vuxu_#_DAT+xakkAgi_xu_PUR
baruvuMxakkosuga baru(V16)+vuxu_#_DAT+Mxakkosuga_xu_BEN
baruvuMxakkosuga baru(V16)+vuxu_#_DAT+Mxakkosuga_xu_PUR
baruvuMxakkiMwa baru(V16)+vuxu_#_DAT+MxakkiMwa_xu_COMP
baruvaMweV baru(V16)+vaMweV_#_SIM
baruvaMwa baru(V16)+vaMwa_#_SIM
baruvaMwaha baru(V16)+vaMwaha_#_SIM
baruvuxaroVdaneV baru(V16)+vuxu_#_GEN+xaroVdaneV_xu_SOC
baruvuxaroVMxigeV baru(V16)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
baruvavanannu baru(V16)+ruva_ru_PRP+vavanu_va_ACC+nannu_nu_3SM
baruvavanannA baru(V16)+ruva_ru_PRP+vavanu_va_ACC+nannA_nu_INTR
baruvavanannU baru(V16)+ruva_ru_PRP+vavanu_va_ACC+nannU_nu_INCL
baruvavananno baru(V16)+ruva_ru_PRP+vavanu_va_ACC+nanno_nu_DUB
baruvavananno baru(V16)+ruva_ru_PRP+vavanu_va_ACC+nanno_nu_INDF
baruvavananno baru(V16)+ruva_ru_PRP+vavanu_va_ACC+nanno_nu_PRES
baruvavananne baru(V16)+ruva_ru_PRP+vavanu_va_ACC+nanne_nu_IMPH
baruvavananne baru(V16)+ruva_ru_PRP+vavanu_va_ACC+nanne_nu_DECL
baruvavananne baru(V16)+ruva_ru_PRP+vavanu_va_ACC+nanne_nu_RIS
baruvavaniMMxa baru(V16)+ruva_ru_PRP+vavanu_va_INS+niMMxa_nu_3SM
baruvavaniMMxalA baru(V16)+ruva_ru_PRP+vavanu_va_INS+niMMxalA_nu_INTR
baruvavaniMMxalU baru(V16)+ruva_ru_PRP+vavanu_va_INS+niMMxalU_nu_INCL
baruvavaniMMxalo baru(V16)+ruva_ru_PRP+vavanu_va_INS+niMMxalo_nu_DUB
baruvavaniMMxalo baru(V16)+ruva_ru_PRP+vavanu_va_INS+niMMxalo_nu_INDF
baruvavaniMMxalo baru(V16)+ruva_ru_PRP+vavanu_va_INS+niMMxalo_nu_PRES
baruvavaniMMxale baru(V16)+ruva_ru_PRP+vavanu_va_INS+niMMxale_nu_IMPH
baruvavaniMMxale baru(V16)+ruva_ru_PRP+vavanu_va_INS+niMMxale_nu_DECL
baruvavaniMMxale baru(V16)+ruva_ru_PRP+vavanu_va_INS+niMMxale_nu_RIS
baruvavanigeV baru(V16)+ruva_ru_PRP+vavanu_va_DAT+nigeV_nu_3SM
